chronology_event_id,session_id,attempt_id,entry_key,event_type,event_time_utc,event_time_lower_utc,event_time_upper_utc,event_time_quality,time_basis,event_order_lower_bound,event_order_upper_bound,withdrawal_evidence,requeue_evidence,lane_action,lane_evidence,queue_state_evidence,queue_fact_text,event_payload_json
fc2ec283-1fae-5875-b76e-f15fec26ba5c,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_15|1,ATTEMPT_START,2020-08-15T15:00:45Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""15\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
6462dad8-f217-5872-82aa-b77c8c3ae7f3,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_15|1,ATTEMPT_START,2020-08-15T19:26:40Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""15\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
df6959fc-8192-51fb-a716-7604b48d8be9,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_30|1,ATTEMPT_START,2020-08-15T15:06:35Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""30\""}"",""reason_codes"":[""CAPTURE_ATTEMPT_COUNT_MISMATCH"",""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
0bea1ede-8384-5975-bd03-3632a1398fb8,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_30|1,ATTEMPT_START,2020-08-15T18:55:50Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""30\""}"",""reason_codes"":[""CAPTURE_ATTEMPT_COUNT_MISMATCH"",""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
3eb50eaa-f725-558e-82b6-a70978c6e36c,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_41|1,ATTEMPT_START,2020-08-15T15:11:35Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""41\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
fe8b5729-7461-527b-8baa-098dc442bf89,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_21|1,ATTEMPT_START,2020-08-15T15:16:35Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""21\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
5fd1be18-792c-5cf7-9ad9-d0b1bb12610a,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_60|1,ATTEMPT_START,2020-08-15T15:20:45Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""60\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
c90d717a-bd2c-57ae-b8df-1bdf35afd6ff,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_60|1,ATTEMPT_START,2020-08-15T17:55:45Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""60\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
3bcdd399-8032-5a75-ab07-d348ce5552bb,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_9|1,ATTEMPT_START,2020-08-15T15:25:45Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""9\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
70c0d945-d447-5532-a57b-0eb788494bc0,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_9|1,ATTEMPT_START,2020-08-15T18:00:45Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""9\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
