entity_type,entity_id,analysis_target,ruleset_version,eligible,eligible_core_training,supporting_only,robustness_only,reason_codes,evaluated_at_utc
ATTEMPT,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,false,false,false,false,ORDERED_COMPATIBLE_REPEAT_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,d155ad85-3d5c-5b55-95d6-40ba696a0bde,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,d155ad85-3d5c-5b55-95d6-40ba696a0bde,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,false,false,false,false,ORDERED_COMPATIBLE_REPEAT_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,d155ad85-3d5c-5b55-95d6-40ba696a0bde,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,d155ad85-3d5c-5b55-95d6-40ba696a0bde,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,81f0c457-15fb-5f7f-9649-8663a142764d,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,81f0c457-15fb-5f7f-9649-8663a142764d,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,false,false,false,false,ORDERED_COMPATIBLE_REPEAT_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,81f0c457-15fb-5f7f-9649-8663a142764d,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,81f0c457-15fb-5f7f-9649-8663a142764d,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,917d4c7e-5c5e-5976-aa32-50a7bc958440,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,917d4c7e-5c5e-5976-aa32-50a7bc958440,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,false,false,false,false,ORDERED_COMPATIBLE_REPEAT_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,917d4c7e-5c5e-5976-aa32-50a7bc958440,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,917d4c7e-5c5e-5976-aa32-50a7bc958440,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,e132bf44-6808-5d6b-819c-a993af279439,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,e132bf44-6808-5d6b-819c-a993af279439,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,false,false,false,false,ORDERED_COMPATIBLE_REPEAT_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,e132bf44-6808-5d6b-819c-a993af279439,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,e132bf44-6808-5d6b-819c-a993af279439,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,b3ac1729-6563-5819-a04b-0f76aeae5b0f,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,b3ac1729-6563-5819-a04b-0f76aeae5b0f,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,false,false,false,false,ORDERED_COMPATIBLE_REPEAT_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,b3ac1729-6563-5819-a04b-0f76aeae5b0f,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,b3ac1729-6563-5819-a04b-0f76aeae5b0f,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,16cb7863-a6d0-5895-93e4-a76ac2c6c71f,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,16cb7863-a6d0-5895-93e4-a76ac2c6c71f,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,16cb7863-a6d0-5895-93e4-a76ac2c6c71f,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,16cb7863-a6d0-5895-93e4-a76ac2c6c71f,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,d5a2b4ee-b067-59ca-8f42-44e0bc51b5c8,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,d5a2b4ee-b067-59ca-8f42-44e0bc51b5c8,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,d5a2b4ee-b067-59ca-8f42-44e0bc51b5c8,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,d5a2b4ee-b067-59ca-8f42-44e0bc51b5c8,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,0817e595-17c0-5e20-94bc-6778006bf613,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,0817e595-17c0-5e20-94bc-6778006bf613,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,0817e595-17c0-5e20-94bc-6778006bf613,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,0817e595-17c0-5e20-94bc-6778006bf613,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,25ddda12-052a-5d71-ac52-6e96cf8edab9,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,25ddda12-052a-5d71-ac52-6e96cf8edab9,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,25ddda12-052a-5d71-ac52-6e96cf8edab9,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,25ddda12-052a-5d71-ac52-6e96cf8edab9,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,e2df4919-a45f-5b41-916e-55908e4f1abb,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,e2df4919-a45f-5b41-916e-55908e4f1abb,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,e2df4919-a45f-5b41-916e-55908e4f1abb,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,e2df4919-a45f-5b41-916e-55908e4f1abb,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,00d1c34a-f916-5fa9-803b-2cc6962f2595,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,00d1c34a-f916-5fa9-803b-2cc6962f2595,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,00d1c34a-f916-5fa9-803b-2cc6962f2595,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,00d1c34a-f916-5fa9-803b-2cc6962f2595,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,false,false,false,false,ORDERED_COMPATIBLE_REPEAT_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,757828a3-822d-5bd8-b9f0-681a6918b48b,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,757828a3-822d-5bd8-b9f0-681a6918b48b,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,757828a3-822d-5bd8-b9f0-681a6918b48b,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,757828a3-822d-5bd8-b9f0-681a6918b48b,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,893c5471-df02-55c0-946f-0af9d0a835d9,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,893c5471-df02-55c0-946f-0af9d0a835d9,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,893c5471-df02-55c0-946f-0af9d0a835d9,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,893c5471-df02-55c0-946f-0af9d0a835d9,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,2d3ae29a-bc6b-5723-9247-439f79da15a6,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,2d3ae29a-bc6b-5723-9247-439f79da15a6,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,2d3ae29a-bc6b-5723-9247-439f79da15a6,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,2d3ae29a-bc6b-5723-9247-439f79da15a6,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,df3c02a3-9655-512c-a2e6-4ffe9eadc505,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,df3c02a3-9655-512c-a2e6-4ffe9eadc505,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,df3c02a3-9655-512c-a2e6-4ffe9eadc505,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,df3c02a3-9655-512c-a2e6-4ffe9eadc505,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
ATTEMPT,1e794f15-e9b3-55c1-91a6-85cadd3ab366,FOUR_LAP_PERFORMANCE,ELIGIBILITY_V2,true,true,false,false,,2026-09-08T00:00:00Z
ATTEMPT,1e794f15-e9b3-55c1-91a6-85cadd3ab366,WITHIN_CAR_COMPARISON,ELIGIBILITY_V2,false,false,false,false,ORDERED_COMPATIBLE_REPEAT_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,1e794f15-e9b3-55c1-91a6-85cadd3ab366,CHRONOLOGY,ELIGIBILITY_V2,false,false,false,false,USABLE_EVENT_TIME_UNAVAILABLE,2026-09-08T00:00:00Z
ATTEMPT,1e794f15-e9b3-55c1-91a6-85cadd3ab366,QUEUE_CALIBRATION,ELIGIBILITY_V2,false,false,false,false,NO_DIRECT_QUEUE_OR_SERVICE_FACT,2026-09-08T00:00:00Z
