runtime,ftime,model,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_2,cig,vis,obv,station,t06
2020-08-15 12:00:00,2020-08-15 18:00:00,GFS,,82,67,BK,310,4,,,,,0.0,,,8,7,N ,KIND,
2020-08-15 12:00:00,2020-08-15 21:00:00,GFS,,83,67,BK,320,6,,,,,,,,8,7,N ,KIND,
2020-08-15 12:00:00,2020-08-16 00:00:00,GFS,,80,67,SC,310,5,7.0,,0.0,,17.0,8.0,,8,7,N ,KIND,17/8
2020-08-15 12:00:00,2020-08-16 03:00:00,GFS,,75,68,BK,250,3,,,,,,,,8,7,N ,KIND,
2020-08-15 12:00:00,2020-08-16 06:00:00,GFS,,72,67,BK,270,3,9.0,,0.0,,15.0,7.0,,8,6,BR,KIND,15/7
2020-08-15 12:00:00,2020-08-16 09:00:00,GFS,,70,66,BK,290,5,,,,,,,,6,6,BR,KIND,
2020-08-15 12:00:00,2020-08-16 12:00:00,GFS,68.0,69,66,OV,310,7,19.0,27.0,0.0,0.0,11.0,1.0,,4,6,BR,KIND,11/1
2020-08-15 12:00:00,2020-08-16 15:00:00,GFS,,73,66,OV,340,10,,,,,,,,4,7,N ,KIND,
2020-08-15 12:00:00,2020-08-16 18:00:00,GFS,,78,63,SC,330,13,3.0,,0.0,,4.0,1.0,,8,7,N ,KIND,4/1
2020-08-15 12:00:00,2020-08-16 21:00:00,GFS,,79,62,FW,320,13,,,,,,,,8,7,N ,KIND,
2020-08-15 12:00:00,2020-08-17 00:00:00,GFS,81.0,76,61,SC,320,9,0.0,19.0,0.0,0.0,1.0,3.0,,8,7,N ,KIND,1/3
2020-08-15 12:00:00,2020-08-17 03:00:00,GFS,,70,60,FW,310,5,,,,,,,,8,7,N ,KIND,
2020-08-15 12:00:00,2020-08-17 06:00:00,GFS,,66,59,CL,290,5,1.0,,0.0,,0.0,0.0,,8,7,N ,KIND,0/0
2020-08-15 12:00:00,2020-08-17 09:00:00,GFS,,64,59,FW,280,5,,,,,,,,8,7,N ,KIND,
2020-08-15 12:00:00,2020-08-17 12:00:00,GFS,62.0,64,59,SC,280,4,3.0,3.0,0.0,0.0,2.0,1.0,,8,7,N ,KIND,2/1
2020-08-15 12:00:00,2020-08-17 15:00:00,GFS,,73,60,FW,290,6,,,,,,,,8,7,N ,KIND,
2020-08-15 12:00:00,2020-08-17 18:00:00,GFS,,78,60,SC,300,9,5.0,,0.0,,3.0,2.0,,8,7,N ,KIND,3/2
2020-08-15 12:00:00,2020-08-17 21:00:00,GFS,,78,60,SC,310,9,,,,,,,,8,7,N ,KIND,
2020-08-15 12:00:00,2020-08-18 00:00:00,GFS,81.0,74,60,SC,330,7,9.0,9.0,0.0,0.0,10.0,1.0,11.0,8,7,N ,KIND,10/1
2020-08-15 12:00:00,2020-08-18 06:00:00,GFS,,65,59,FW,350,4,1.0,,0.0,,1.0,0.0,,8,7,N ,KIND,1/0
2020-08-15 12:00:00,2020-08-18 12:00:00,GFS,60.0,62,57,SC,10,4,3.0,6.0,0.0,0.0,0.0,0.0,,8,7,N ,KIND,0/0
