file,rows,columns,score,name_bonus,has_year,has_car,has_current_result,has_rank,has_benchmark,has_action,has_lane,has_time,has_time_quality,action_fields,current_result_fields,benchmark_fields,rank_fields,time_fields,error
r4p1_first_run_order_panel_v1.csv,150,47,29,0,True,True,False,True,False,True,True,True,True,lane_action;observed_proxy_time_rank_fraction,,,observed_proxy_time_rank;observed_proxy_time_rank_fraction,canonical_start_time_utc;canonical_end_time_utc;canonical_event_time_quality;time_evidence_class;time_point_utc;time_lower_utc;time_upper_utc;time_source;time_semantic;observed_proxy_time_rank;observed_proxy_time_rank_fraction;observed_proxy_time_peer_count,
r4p6_decision_safe_conditional_dataset_v1.csv,5,56,29,7,True,True,True,False,False,True,False,True,False,decision_time_utc;cycle_age_minutes_at_decision;decision_time_safe,current_four_lap_average_speed_mph,,,decision_time_utc;historical_future_run_time_utc;selected_hrrr_cycle_utc;decision_time_safe,
r4p1_attempt_four_lap_panel_v1.csv,329,42,27,2,True,True,False,False,False,True,True,True,True,lane_action,,,,canonical_start_time_utc;canonical_end_time_utc;canonical_event_time_quality;time_evidence_class;time_point_utc;time_lower_utc;time_upper_utc;time_source;time_semantic,
r4p1_multi_run_four_lap_panel_v1.csv,162,45,25,0,True,True,False,False,False,True,True,True,True,lane_action,,,,canonical_start_time_utc;canonical_end_time_utc;canonical_event_time_quality;time_evidence_class;time_point_utc;time_lower_utc;time_upper_utc;time_source;time_semantic,
r4p2_multi_run_transitions_v1.csv,92,54,25,0,True,True,False,False,False,True,True,True,True,strategy_before_lane_action;strategy_after_lane_action;performance_dataset_inclusion_depends_on_action,,,,before_time_utc;after_time_utc;before_time_class;after_time_class;elapsed_between_performance_observations_min;elapsed_semantic,
r4p2_environment_linked_transitions_v1.csv,39,54,25,0,True,True,False,False,False,True,True,True,True,strategy_before_lane_action;strategy_after_lane_action;performance_dataset_inclusion_depends_on_action,,,,before_time_utc;after_time_utc;before_time_class;after_time_class;elapsed_between_performance_observations_min;elapsed_semantic,
r4p5_decision_safe_forecast_scenarios_v1.csv,40,109,24,7,True,True,False,False,False,True,False,True,False,decision_time_utc;cycle_age_minutes_at_decision;decision_time_safe,,,,decision_time_utc;selected_hrrr_cycle_utc;actual_next_attempt_time_utc;decision_time_safe,
r4p2_past_only_cross_car_signal_v1.csv,40,24,22,0,True,True,True,False,False,True,False,True,False,prior_3_positive_speed_fraction;prior_3_fade_improvement_fraction;prior_5_positive_speed_fraction;prior_5_fade_improvement_fraction,current_delta_speed_mph;prior_3_median_delta_speed_mph;prior_3_mean_delta_speed_mph;prior_3_positive_speed_fraction;prior_5_median_delta_speed_mph;prior_5_mean_delta_speed_mph;prior_5_positive_speed_fraction,,,after_time_utc,
r4p10_thermal_conditioned_repeat_dataset_v1.csv,39,27,20,0,True,True,True,False,False,True,False,True,False,decision_time_utc,current_speed_mph,,,decision_time_utc,
r4p7_forecast_horizon_window_scores_v1.csv,40,20,17,0,True,True,False,False,False,True,False,True,False,decision_attempt_id;decision_time_utc;decision_time_safe,,,,decision_time_utc;decision_time_safe,
r4p8_track_temperature_training_dataset_v1.csv,312,35,12,0,True,False,False,False,False,True,False,True,False,decision_time_utc,,,,decision_time_utc;target_time_utc;selected_hrrr_cycle_utc,
r4p2_transition_environment_summary_v1.csv,5,12,12,0,True,False,False,False,False,True,False,True,False,speed_improvement_fraction,,,,timed_transition_rows,
r4p11_stochastic_wait_performance_mc_results_v1.csv,9,19,11,0,False,False,False,True,False,True,False,False,False,action,,,utility_rank,,
r4p9_track_temp_delta_direction_predictions_v1.csv,2628,9,10,0,False,False,False,False,False,True,False,True,False,decision_time_utc,,,,decision_time_utc,
r4p8_track_temperature_forecast_predictions_v1.csv,876,6,10,0,False,False,False,False,False,True,False,True,False,decision_time_utc,,,,decision_time_utc,
r4p6_decision_safe_probability_predictions_v1.csv,5,8,10,7,False,True,False,False,False,False,False,False,False,,,,,,
