file,group,field
hrrr_weather_qa.csv,year,year
section_reconstruction_validation.csv,year,year
2024_chronology_constraints.csv,attempt_id,attempt_id
2024_chronology_constraints.csv,car,car_number
2024_chronology_constraints.csv,driver,driver_name
canonical_year_summary.csv,year,year
chronology_reconciliation_report.csv,year,year
v1_year_usage_policy.csv,year,year
year_coverage_audit.csv,year,year
data_quality_report.csv,year,year
weather/timing71_environment_field_audit.csv,year,year
weather/track_condition_coverage_audit.csv,year,year
weather/ptsc_source_block_verification.csv,year,year
weather/track_temperature_anchor_reconciliation.csv,year,year
weather/track_condition_evidence.csv,year,year
weather/tire_telemetry_availability.csv,year,year
weather/track_condition_source_catalog.csv,year,year
r4/output/r4p1_attempt_four_lap_panel_v1.csv,year,year
r4/output/r4p1_attempt_four_lap_panel_v1.csv,attempt_id,attempt_id
r4/output/r4p1_attempt_four_lap_panel_v1.csv,car,car_number
r4/output/r4p1_attempt_four_lap_panel_v1.csv,driver,driver_name
r4/output/r4p1_attempt_four_lap_panel_v1.csv,lane,lane_action
r4/output/r4p1_attempt_four_lap_panel_v1.csv,time,time_point_utc
r4/output/r4p1_attempt_four_lap_panel_v1.csv,time,canonical_start_time_utc
r4/output/r4p1_attempt_four_lap_panel_v1.csv,time,canonical_end_time_utc
r4/output/r4p1_attempt_four_lap_panel_v1.csv,time_quality,time_evidence_class
r4/output/r4p1_attempt_four_lap_panel_v1.csv,time_quality,canonical_event_time_quality
r4/output/r4p0_time_window_coverage_v1.csv,year,year
r4/output/r4p8_track_temperature_training_dataset_v1.csv,year,year
r4/output/r4p8_track_temperature_training_dataset_v1.csv,time,decision_time_utc
r4/output/r4p4_improvement_probability_predictions_v1.csv,attempt_id,attempt_id
r4/output/r4p4_improvement_probability_predictions_v1.csv,car,car_number
r4/output/r4p4_improvement_probability_predictions_v1.csv,driver,driver_name
r4/output/r4p2_multi_run_transitions_v1.csv,year,year
r4/output/r4p2_multi_run_transitions_v1.csv,car,car_number
r4/output/r4p2_multi_run_transitions_v1.csv,driver,driver_name
r4/output/r4p6_decision_safe_conditional_dataset_v1.csv,year,year
r4/output/r4p6_decision_safe_conditional_dataset_v1.csv,car,car_number
r4/output/r4p6_decision_safe_conditional_dataset_v1.csv,driver,driver_name
r4/output/r4p6_decision_safe_conditional_dataset_v1.csv,current_result,current_four_lap_average_speed_mph
r4/output/r4p6_decision_safe_conditional_dataset_v1.csv,time,decision_time_utc
r4/output/r4p6_decision_safe_probability_predictions_v1.csv,attempt_id,attempt_id
r4/output/r4p6_decision_safe_probability_predictions_v1.csv,car,car_number
r4/output/r4p6_decision_safe_probability_predictions_v1.csv,driver,driver_name
r4/output/r4p11_stochastic_wait_performance_mc_draws_sample_v1.csv,action,action
r4/output/r4p0_cross_car_data_inventory_v1.csv,year,year
r4/output/r4p2_transition_environment_summary_v1.csv,year,year
r4/output/r4p1_four_lap_shape_summary_v1.csv,year,year
r4/output/r4p5_decision_safe_forecast_scenarios_v1.csv,year,year
r4/output/r4p5_decision_safe_forecast_scenarios_v1.csv,car,car_number
r4/output/r4p5_decision_safe_forecast_scenarios_v1.csv,driver,driver_name
