decision_id,year,session_regime,car_number,driver_name,decision_stage,source_attempt_id,current_result_mph,current_rank,benchmark_type,benchmark_rank,benchmark_speed_mph,margin_to_benchmark_mph,qualification_state,has_protected_result,feasible_action_set,action_mask_STOP,action_mask_REATTEMPT,action_mask_RETAIN_AND_REATTEMPT,action_mask_WITHDRAW_AND_REATTEMPT,action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT,observed_action,action_resolved,action_evidence_quality,decision_time_utc,time_quality,state_numeric_complete,thermal_state_available,performance_uncertainty_available,wait_model_available,shared_feature_link_status,upstream_safe_for_policy_fit,action_evidence_eligible,decision_state_eligible,counterfactual_model_input_eligible,validation_only,dataset_role,hard_optimality_truth,source_interface
DAY1_2020_1_POST_FIRST_ATTEMPT,2020,DAY1,1,Josef Newgarden,POST_FIRST_ATTEMPT,00d1c34a-f916-5fa9-803b-2cc6962f2595,230.296000,5,FAST_NINE_ADVANCEMENT,9,,,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T15:39:55+00:00,APPROXIMATE_POINT,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,False,False,False,STRUCTURAL_REATTEMPT_EVIDENCE,False,R4F1_DAY1
DAY1_2020_10_POST_FIRST_ATTEMPT,2020,DAY1,10,Felix Rosenqvist,POST_FIRST_ATTEMPT,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,230.254000,9,FAST_NINE_ADVANCEMENT,9,230.254000,0.000000,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T16:22:25+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_12_POST_FIRST_ATTEMPT,2020,DAY1,12,Will Power,POST_FIRST_ATTEMPT,449bb30a-dc85-5fd4-bc68-156753bda025,229.701000,,FAST_NINE_ADVANCEMENT,9,,,UNKNOWN,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,,UNKNOWN,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,False,False,False,STRUCTURAL_REATTEMPT_EVIDENCE,False,R4F1_DAY1
DAY1_2020_14_POST_FIRST_ATTEMPT,2020,DAY1,14,Tony Kanaan,POST_FIRST_ATTEMPT,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,229.154000,18,FAST_NINE_ADVANCEMENT,9,230.539000,-1.385000,CURRENTLY_OUTSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T17:19:05+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_15_POST_FIRST_ATTEMPT,2020,DAY1,15,Graham Rahal,POST_FIRST_ATTEMPT,16cb7863-a6d0-5895-93e4-a76ac2c6c71f,230.822000,1,FAST_NINE_ADVANCEMENT,9,,,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T15:00:45+00:00,APPROXIMATE_POINT,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,False,False,False,STRUCTURAL_REATTEMPT_EVIDENCE,False,R4F1_DAY1
DAY1_2020_18_POST_FIRST_ATTEMPT,2020,DAY1,18,Santino Ferrucci,POST_FIRST_ATTEMPT,1e794f15-e9b3-55c1-91a6-85cadd3ab366,229.924000,,FAST_NINE_ADVANCEMENT,9,,,UNKNOWN,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,,UNKNOWN,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,False,False,False,ACTION_EVIDENCE_ONLY,False,R4F1_DAY1
DAY1_2020_20_POST_FIRST_ATTEMPT,2020,DAY1,20,Ed Carpenter,POST_FIRST_ATTEMPT,9a2e168d-3dda-5e76-8daf-588c20d91341,229.811000,12,FAST_NINE_ADVANCEMENT,9,230.254000,-0.443000,CURRENTLY_OUTSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T16:27:25+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_21_POST_FIRST_ATTEMPT,2020,DAY1,21,Rinus VeeKay,POST_FIRST_ATTEMPT,e132bf44-6808-5d6b-819c-a993af279439,231.114000,1,FAST_NINE_ADVANCEMENT,9,,,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T15:16:35+00:00,APPROXIMATE_POINT,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,False,False,False,ACTION_EVIDENCE_ONLY,False,R4F1_DAY1
DAY1_2020_22_POST_FIRST_ATTEMPT,2020,DAY1,22,Simon Pagenaud,POST_FIRST_ATTEMPT,2fb75f25-92ad-5b41-90a1-3a1457ae8012,228.836000,18,FAST_NINE_ADVANCEMENT,9,230.472000,-1.636000,CURRENTLY_OUTSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T17:09:06+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_24_POST_FIRST_ATTEMPT,2020,DAY1,24,Sage Karam,POST_FIRST_ATTEMPT,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,227.099000,9,FAST_NINE_ADVANCEMENT,9,227.099000,0.000000,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T15:49:55+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_26_POST_FIRST_ATTEMPT,2020,DAY1,26,Zach Veach,POST_FIRST_ATTEMPT,2d3ae29a-bc6b-5723-9247-439f79da15a6,229.961000,,FAST_NINE_ADVANCEMENT,9,,,UNKNOWN,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,,UNKNOWN,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,False,False,False,STRUCTURAL_REATTEMPT_EVIDENCE,False,R4F1_DAY1
DAY1_2020_27_POST_FIRST_ATTEMPT,2020,DAY1,27,Alexander Rossi,POST_FIRST_ATTEMPT,81f0c457-15fb-5f7f-9649-8663a142764d,231.268000,1,FAST_NINE_ADVANCEMENT,9,228.880000,2.388000,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T15:54:05+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_28_POST_FIRST_ATTEMPT,2020,DAY1,28,Ryan Hunter-Reay,POST_FIRST_ATTEMPT,d155ad85-3d5c-5b55-95d6-40ba696a0bde,231.330000,1,FAST_NINE_ADVANCEMENT,9,229.861000,1.469000,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T16:04:05+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
