decision_id,year,session_regime,car_number,driver_name,source_attempt_id,decision_time_utc,performance_attempt_exact_link,performance_speed_mph,prior_other_car_attempts_10m,prior_other_car_attempts_20m,prior_other_car_attempts_30m,prior_other_car_median_speed_10m,prior_other_car_median_speed_20m,prior_other_car_median_speed_30m,whole_field_window_context_20m_ready,ptsc_prior_observation_available,ptsc_prior_observation_age_min,ptsc_track_temp,hrrr_decision_safe_cycle_available,hrrr_selected_cycle_utc,hrrr_supports_decision_time,hrrr_supports_plus_30m,thermal_context_ready,wait_model_structural_available,historical_wait_observed,historical_action_required_for_engine,engine_v1_state_ready,model_role,ptsc_selected_time_utc,ptsc_time_field_used,ptsc_temperature_field_used,ptsc_track_temp_c,ptsc_track_temperature_value_available
DAY1_2020_10_POST_FIRST_ATTEMPT,2020,DAY1,10,Felix Rosenqvist,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,2020-08-15T16:22:25+00:00,True,230.254000,2,3,5,230.116000,230.472000,230.472000,True,True,7.417,,True,2020-08-15T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T16:15:00+00:00,utc_datetime,track_c,46.666667,True
DAY1_2020_14_POST_FIRST_ATTEMPT,2020,DAY1,14,Tony Kanaan,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,2020-08-15T17:19:05+00:00,True,229.154000,2,2,3,230.093500,230.093500,229.884000,False,True,4.083,,True,2020-08-15T16:00:00+00:00,True,True,True,True,False,False,False,PARTIAL_STATE_EVIDENCE,2020-08-15T17:15:00+00:00,utc_datetime,track_c,50.555556,True
DAY1_2020_20_POST_FIRST_ATTEMPT,2020,DAY1,20,Ed Carpenter,9a2e168d-3dda-5e76-8daf-588c20d91341,2020-08-15T16:27:25+00:00,True,229.811000,2,3,5,230.007000,230.254000,230.254000,True,True,12.417,,True,2020-08-15T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T16:15:00+00:00,utc_datetime,track_c,46.666667,True
DAY1_2020_22_POST_FIRST_ATTEMPT,2020,DAY1,22,Simon Pagenaud,2fb75f25-92ad-5b41-90a1-3a1457ae8012,2020-08-15T17:09:06+00:00,True,228.836000,0,1,3,,229.884000,229.884000,False,True,9.100,,True,2020-08-15T16:00:00+00:00,True,True,True,True,False,False,False,PARTIAL_STATE_EVIDENCE,2020-08-15T17:00:00+00:00,utc_datetime,track_c,50.000000,True
DAY1_2020_24_POST_FIRST_ATTEMPT,2020,DAY1,24,Sage Karam,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,2020-08-15T15:49:55+00:00,True,227.099000,1,3,5,230.296000,230.296000,230.296000,True,True,4.917,,True,2020-08-15T14:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T15:45:00+00:00,utc_datetime,track_c,41.666667,True
DAY1_2020_27_POST_FIRST_ATTEMPT,2020,DAY1,27,Alexander Rossi,81f0c457-15fb-5f7f-9649-8663a142764d,2020-08-15T15:54:05+00:00,True,231.268000,1,3,5,227.099000,229.902000,230.296000,True,True,9.083,,True,2020-08-15T14:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T15:45:00+00:00,utc_datetime,track_c,41.666667,True
DAY1_2020_28_POST_FIRST_ATTEMPT,2020,DAY1,28,Ryan Hunter-Reay,d155ad85-3d5c-5b55-95d6-40ba696a0bde,2020-08-15T16:04:05+00:00,True,231.330000,2,3,5,230.018000,228.768000,229.902000,True,True,4.083,,True,2020-08-15T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T16:00:00+00:00,utc_datetime,track_c,43.333333,True
DAY1_2020_29_POST_FIRST_ATTEMPT,2020,DAY1,29,James Hinchcliffe,917d4c7e-5c5e-5976-aa32-50a7bc958440,2020-08-15T16:32:25+00:00,True,231.195000,2,4,5,230.032500,230.032500,230.254000,True,True,2.417,,True,2020-08-15T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T16:30:00+00:00,utc_datetime,track_c,47.777778,True
DAY1_2020_3_POST_FIRST_ATTEMPT,2020,DAY1,3,Helio Castroneves,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,2020-08-15T17:34:05+00:00,True,228.115000,2,4,5,228.189500,229.857000,229.154000,True,True,4.083,,True,2020-08-15T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2020-08-15T17:30:00+00:00,utc_datetime,track_c,51.666667,True
DAY1_2020_47_POST_FIRST_ATTEMPT,2020,DAY1,47,Conor Daly,a7f0ef57-a971-5870-9606-1fe1cd378e2a,2020-08-15T16:58:15+00:00,True,229.884000,0,2,4,,229.890500,229.890500,False,True,13.250,,True,2020-08-15T15:00:00+00:00,True,True,True,True,False,False,False,PARTIAL_STATE_EVIDENCE,2020-08-15T16:45:00+00:00,utc_datetime,track_c,48.888889,True
