year,car_number,driver_name,attempt_id,attempt_index,attempt_time_utc,reference_attempt_id,reference_time_utc,reference_speed_mph,observed_speed_mph,residual_vs_first_run_mph,minutes_since_reference,baseline_policy,past_only_eligible
2020,20,Ed Carpenter,893c5471-df02-55c0-946f-0af9d0a835d9,2,2020-08-15T18:47:30+00:00,9a2e168d-3dda-5e76-8daf-588c20d91341,2020-08-15T16:27:25+00:00,229.811000,230.211000,0.400000,140.083,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2020,3,Helio Castroneves,7799cc62-18bb-568d-9de2-16cb3622a0de,2,2020-08-15T19:39:10+00:00,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,2020-08-15T17:34:05+00:00,228.115000,228.373000,0.258000,125.083,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2020,47,Conor Daly,df3c02a3-9655-512c-a2e6-4ffe9eadc505,2,2020-08-15T19:00:50+00:00,a7f0ef57-a971-5870-9606-1fe1cd378e2a,2020-08-15T16:58:15+00:00,229.884000,229.955000,0.071000,122.583,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2020,5,Pato O'Ward,757828a3-822d-5bd8-b9f0-681a6918b48b,2,2020-08-15T20:22:30+00:00,194c9baa-3297-571e-82bf-ac3ba81e07fc,2020-08-15T15:34:55+00:00,229.902000,230.213000,0.311000,287.583,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2020,59,Max Chilton,fb65c8cf-d1c6-583e-9563-6c22e29bb081,2,2020-08-15T20:10:00+00:00,75519828-93ba-5485-a4bf-a06b93f7cec3,2020-08-15T17:29:05+00:00,225.819000,227.303000,1.484000,160.917,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2020,60,Jack Harvey,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,2,2020-08-15T17:55:45+00:00,954d29f8-6770-5c41-9322-b23c885935ef,2020-08-15T15:20:45+00:00,229.861000,229.757000,-0.104000,155.000,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2020,8,Marcus Ericsson,25ddda12-052a-5d71-ac52-6e96cf8edab9,2,2020-08-15T18:16:35+00:00,518373d9-25de-58cf-8315-f6c215b6f672,2020-08-15T16:13:15+00:00,230.472000,230.566000,0.094000,123.333,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2020,81,Ben Hanley,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,2,2020-08-15T19:30:50+00:00,a3016f3b-449e-576c-bf0f-284c71eddb34,2020-08-15T16:36:35+00:00,220.946000,222.917000,1.971000,174.250,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2020,88,Colton Herta,0817e595-17c0-5e20-94bc-6778006bf613,2,2020-08-15T19:05:50+00:00,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,2020-08-15T17:24:05+00:00,230.560000,230.775000,0.215000,101.750,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2020,9,Scott Dixon,33a57398-b346-53e3-b5e5-369a3ca71efc,2,2020-08-15T18:00:45+00:00,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,2020-08-15T15:25:45+00:00,231.094000,231.053000,-0.041000,155.000,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2020,9,Scott Dixon,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,3,2020-08-15T19:15:00+00:00,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,2020-08-15T15:25:45+00:00,231.094000,231.155000,0.061000,229.250,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,12,Will Power,5aa71106-e201-5143-bb9a-21ccf4063a9e,2,2021-05-22T21:33:54+00:00,6992580a-0371-5eda-b01d-2adaca099ff4,2021-05-22T17:21:36+00:00,229.052000,229.228000,0.176000,252.300,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,16,Simona De Silvestro,adc26df0-920d-5dc7-a952-03b3fb57700a,2,2021-05-22T21:30:13+00:00,8f660bff-74bd-551e-9007-95b730f87e7d,2021-05-22T18:26:36+00:00,228.173000,228.395000,0.222000,183.617,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
