year,car_number,attempt_id,repeat_time_utc,residual_mph,development_decision_count_year,decisions_before_repeat,decisions_at_or_after_repeat,temporal_position,minutes_after_last_development_decision
2020,60,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,2020-08-15T17:55:45+00:00,-0.104000,20,20,0,AFTER_ALL_DEVELOPMENT_DECISIONS,17.500
2020,9,33a57398-b346-53e3-b5e5-369a3ca71efc,2020-08-15T18:00:45+00:00,-0.041000,20,20,0,AFTER_ALL_DEVELOPMENT_DECISIONS,22.500
2020,8,25ddda12-052a-5d71-ac52-6e96cf8edab9,2020-08-15T18:16:35+00:00,0.094000,20,20,0,AFTER_ALL_DEVELOPMENT_DECISIONS,38.333
2020,20,893c5471-df02-55c0-946f-0af9d0a835d9,2020-08-15T18:47:30+00:00,0.400000,20,20,0,AFTER_ALL_DEVELOPMENT_DECISIONS,69.250
2020,47,df3c02a3-9655-512c-a2e6-4ffe9eadc505,2020-08-15T19:00:50+00:00,0.071000,20,20,0,AFTER_ALL_DEVELOPMENT_DECISIONS,82.583
2020,88,0817e595-17c0-5e20-94bc-6778006bf613,2020-08-15T19:05:50+00:00,0.215000,20,20,0,AFTER_ALL_DEVELOPMENT_DECISIONS,87.583
2020,9,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,2020-08-15T19:15:00+00:00,0.061000,20,20,0,AFTER_ALL_DEVELOPMENT_DECISIONS,96.750
2020,81,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,2020-08-15T19:30:50+00:00,1.971000,20,20,0,AFTER_ALL_DEVELOPMENT_DECISIONS,112.583
2020,3,7799cc62-18bb-568d-9de2-16cb3622a0de,2020-08-15T19:39:10+00:00,0.258000,20,20,0,AFTER_ALL_DEVELOPMENT_DECISIONS,120.917
2020,59,fb65c8cf-d1c6-583e-9563-6c22e29bb081,2020-08-15T20:10:00+00:00,1.484000,20,20,0,AFTER_ALL_DEVELOPMENT_DECISIONS,151.750
2020,5,757828a3-822d-5bd8-b9f0-681a6918b48b,2020-08-15T20:22:30+00:00,0.311000,20,20,0,AFTER_ALL_DEVELOPMENT_DECISIONS,164.250
