window_minutes,model,n,mae_mph,rmse_mph,pearson,sign_accuracy,metric_type
20,ZERO_COMMON_SUPPORT,36,0.580250,1.116440,,0.000000,MAGNITUDE
20,GLOBAL_LOO_MEAN,36,0.572009,1.032597,-1.000000,0.777778,MAGNITUDE
20,YEAR_LOO_MEAN,36,0.613861,1.084387,-0.678166,0.777778,MAGNITUDE
20,CROSS_CAR_POOLED,36,0.604233,1.087365,0.033043,0.750000,MAGNITUDE
20,FIRST_RUN_ONLY_DIAGNOSTIC,4,1.289467,1.306955,0.908736,0.250000,MAGNITUDE
30,ZERO_COMMON_SUPPORT,38,0.591105,1.111057,,0.000000,MAGNITUDE
30,GLOBAL_LOO_MEAN,38,0.605837,1.053541,-1.000000,0.736842,MAGNITUDE
30,YEAR_LOO_MEAN,38,0.643619,1.100525,-0.649366,0.736842,MAGNITUDE
30,CROSS_CAR_POOLED,38,0.628588,1.118067,0.015465,0.736842,MAGNITUDE
30,FIRST_RUN_ONLY_DIAGNOSTIC,7,1.897584,2.421033,0.445235,0.428571,MAGNITUDE
45,ZERO_COMMON_SUPPORT,39,0.584000,1.097873,,0.000000,MAGNITUDE
45,GLOBAL_LOO_MEAN,39,0.609024,1.046498,-1.000000,0.717949,MAGNITUDE
45,YEAR_LOO_MEAN,39,0.649845,1.095558,-0.653425,0.717949,MAGNITUDE
45,CROSS_CAR_POOLED,39,0.612592,1.116505,-0.048284,0.794872,MAGNITUDE
45,FIRST_RUN_ONLY_DIAGNOSTIC,8,1.452324,2.107264,0.071766,0.375000,MAGNITUDE
20,DIRECTION_BASELINE_AUDIT,36,,,,0.750000,DIRECTION | base=0.777778 | gain=-0.027778
30,DIRECTION_BASELINE_AUDIT,38,,,,0.736842,DIRECTION | base=0.736842 | gain=0.000000
45,DIRECTION_BASELINE_AUDIT,39,,,,0.794872,DIRECTION | base=0.717949 | gain=0.076923
