file,extension,size_bytes,years,categories,intended_roles,filename_hit,content_hit,header_hit,relevance_score,csv_fields_sample,priority
weather/evidence/raw_pages/2024_www.indycar.com_news_2024_05_05-18-buzz.txt,.txt,13102,2019;2020;2021;2022;2024;2026,FAST_FRIDAY;INDY_RACE;OTHER_OVAL;PRACTICE_GENERAL;QUALIFYING_OFFICIAL;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT;TIRE_THERMAL_PHYSICAL_PRIOR_ONLY;WEAK_TRANSFER_TIRE_TEAM_PHYSICAL_PRIOR,False,True,False,60,,HIGH
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_QUALFORMAT.txt,.txt,7732,2022;2026,FAST_FRIDAY;INDY_RACE;OTHER_OVAL;PRACTICE_GENERAL;QUALIFYING_OFFICIAL;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT;TIRE_THERMAL_PHYSICAL_PRIOR_ONLY;WEAK_TRANSFER_TIRE_TEAM_PHYSICAL_PRIOR,False,True,False,60,,HIGH
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_MORNING_PRACTICE.txt,.txt,4431,2022;2026,FAST_FRIDAY;OTHER_OVAL;PRACTICE_GENERAL;QUALIFYING_OFFICIAL;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT;WEAK_TRANSFER_TIRE_TEAM_PHYSICAL_PRIOR,True,True,False,55,,HIGH
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_QUALS_CHANGE.txt,.txt,4206,2022;2026,FAST_FRIDAY;OTHER_OVAL;PRACTICE_GENERAL;QUALIFYING_OFFICIAL;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT;WEAK_TRANSFER_TIRE_TEAM_PHYSICAL_PRIOR,True,True,False,55,,HIGH
weather/evidence/raw_pages/2024_doctorindy.com_2024_04_10_2024-indianapolis-500-archive.txt,.txt,13989,2018;2019;2020;2021;2022;2023;2024;2025;2026,FAST_FRIDAY;INDY_RACE;PRACTICE_GENERAL;QUALIFYING_OFFICIAL;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT;TIRE_THERMAL_PHYSICAL_PRIOR_ONLY,False,True,False,53,,HIGH
weather/evidence/raw_pages/2022_www.indycar.com_news_2022_05_05-21-buzz.txt,.txt,9467,2020;2022;2026,FAST_FRIDAY;OTHER_OVAL;PRACTICE_GENERAL;QUALIFYING_OFFICIAL;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT;WEAK_TRANSFER_TIRE_TEAM_PHYSICAL_PRIOR,False,True,False,50,,HIGH
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,.txt,8165,2018;2022;2026,FAST_FRIDAY;OTHER_OVAL;PRACTICE_GENERAL;QUALIFYING_OFFICIAL;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT;WEAK_TRANSFER_TIRE_TEAM_PHYSICAL_PRIOR,False,True,False,50,,HIGH
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_GANASSI.txt,.txt,7886,2019;2020;2022;2026,FAST_FRIDAY;OTHER_OVAL;PRACTICE_GENERAL;QUALIFYING_OFFICIAL;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT;WEAK_TRANSFER_TIRE_TEAM_PHYSICAL_PRIOR,False,True,False,50,,HIGH
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_SATO_BUZZ.txt,.txt,10689,2020;2022;2026,FAST_FRIDAY;OTHER_OVAL;PRACTICE_GENERAL;QUALIFYING_OFFICIAL;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT;WEAK_TRANSFER_TIRE_TEAM_PHYSICAL_PRIOR,False,True,False,50,,HIGH
weather/output/chronology_rescue_2022_editorial_candidates_v1.csv,.csv,48314,2018;2022;2026,FAST_FRIDAY;OTHER_OVAL;PRACTICE_GENERAL;QUALIFYING_OFFICIAL;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT;WEAK_TRANSFER_TIRE_TEAM_PHYSICAL_PRIOR,False,True,False,50,candidate_id;source_id;source_class;source_url;sentence_index;sentence;candidate_classes;explicit_clock_times;relative_time_terms;interruption_terms;attempt_terms;action_terms;session_terms;drivers_detected;speeds_detected_mph;matched_result_row_count;review_priority;normalized_time_lower_utc;normalized_time_upper_utc;normalized_ordering_relation;promotion_status;chronology_promoted;notes,HIGH
weather/output/chronology_rescue_2022_ilott_local_text_hits_v1.csv,.csv,19902,2021;2022,FAST_FRIDAY;INDY_RACE;PRACTICE_GENERAL;QUALIFYING_OFFICIAL,PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT;TIRE_THERMAL_PHYSICAL_PRIOR_ONLY,False,True,False,46,hit_id;source_class;source_path;sentence_index;sentence;context;action_terms;exact_speed_hits,HIGH
weather/evidence/download_manifest.csv,.csv,10877,2021;2024,FAST_FRIDAY;PRACTICE_GENERAL;QUALIFYING_OFFICIAL;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT,False,True,False,43,year;anchor_text;url;status;http_status;local_path;bytes;sha256;notes,HIGH
weather/evidence/indy500_discovered_sources.csv,.csv,9621,2021;2022;2023;2024,FAST_FRIDAY;PRACTICE_GENERAL;QUALIFYING_OFFICIAL;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT,False,True,False,43,year;archive_url;anchor_text;url;source_type;relevance_score;matched_terms;review_status;notes,HIGH
weather/output/rubber_grip_adjacent_mechanism_evidence_2022_v1.csv,.csv,787,2022,FAST_FRIDAY;PRACTICE_GENERAL;QUALIFYING_OFFICIAL,PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT,False,True,True,40,mechanism_evidence_id;year;date;session_context;source_name;source_class;source_title;source_url;supported_mechanism;driver_observation;event_specific_to_day1_qualifying;may21_interruption_promotion_allowed;use_policy;notes,HIGH
weather/evidence/priority_download_manifest.csv,.csv,4603,2021;2024;2026,FAST_FRIDAY;PRACTICE_GENERAL;QUALIFYING_OFFICIAL,PRESESSION_ENTRY_REFERENCE_HIGH;PRESESSION_REFERENCE_LOW_UNLESS_CONTEXT_CLEAN;QUALIFYING_PERFORMANCE_CONTEXT,False,True,False,36,year;anchor_text;url;status;http_status;local_path;bytes;sha256;downloaded_at_utc;notes,HIGH
weather/output/interruption_track_state_identifiability_2022_v1.csv,.csv,1063,2022,FAST_FRIDAY;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH,False,True,False,33,phase;year;interruption_chronology_support;wet_terminal_state_support;day1_rain_arrival_grip_effect;day1_rain_arrival_speed_effect;post_restart_grip_state;drying_trajectory;track_cleaning_support;track_reset_support;day1_rubber_washoff_support;green_track_support;post_restart_quantitative_grip_ready;rubber_reset_feature_ready;elapsed_time_as_track_evolution;rain_implies_full_reset;reopen_implies_known_grip;downstream_track_state_policy;notes,HIGH
weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,.txt,8643,2020;2021;2022;2026,FAST_FRIDAY;QUALIFYING_OFFICIAL,PRESESSION_ENTRY_REFERENCE_HIGH;QUALIFYING_PERFORMANCE_CONTEXT,False,True,False,32,,HIGH
weather/output/rubber_grip_identifiability_2022_v1.csv,.csv,1116,2022,FAST_FRIDAY;QUALIFYING_OFFICIAL,PRESESSION_ENTRY_REFERENCE_HIGH;QUALIFYING_PERFORMANCE_CONTEXT,False,True,False,32,phase;year;day1_rubber_state_status;day1_grip_evolution_status;direct_rubber_grip_evidence_rows;direct_track_evolution_grip_rows;green_track_evidence_rows;rain_rubber_mechanism_day1_rows;adjacent_mechanism_support;adjacent_mechanism;adjacent_mechanism_context;adjacent_to_day1_promotion_allowed;quantitative_rubber_feature_ready;quantitative_grip_feature_ready;elapsed_time_as_track_evolution;downstream_rubber_policy;downstream_grip_evolution_policy;notes,HIGH
r4/output/r4f5b_partial_pooled_latent_window_report_v1.json,.json,1183,,FAST_FRIDAY;TIRE_THERMAL,PHYSICAL_LAYER_SUPPORT;PRESESSION_ENTRY_REFERENCE_HIGH,False,True,False,30,,HIGH
r4/output/r4f5c_cross_car_window_anchor_report_v2.json,.json,802,,FAST_FRIDAY;OTHER_OVAL,PRESESSION_ENTRY_REFERENCE_HIGH;WEAK_TRANSFER_TIRE_TEAM_PHYSICAL_PRIOR,False,True,False,30,,HIGH
