year,session,source_type,reference_role,url,local_file,download_status,http_status,bytes,content_type,error
2020,Practice 3 (Fast Friday),OFFICIAL_RESULTS_HTML,GENERAL_FAST_FRIDAY_NUMERIC_REFERENCE,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/practice-3,r4/evidence/fast_friday/2020_fast_friday_practice3_results.html,DOWNLOADED,200,158066,text/html; charset=utf-8,
2021,Practice 5 (Fast Friday),OFFICIAL_RESULTS_HTML,FAST_FRIDAY_SESSION_REFERENCE,https://www.indycar.com/results/ntt-indycar-series/2021/105th-running-of-the-indianapolis-500/practice-5,r4/evidence/fast_friday/2021_fast_friday_practice5_results.html,DOWNLOADED,200,158092,text/html; charset=utf-8,
2021,Fast Friday Editorial,OFFICIAL_EDITORIAL_HTML,NO_TOW_REFERENCE_EVIDENCE,https://www.indycar.com/News/2021/05/05-21-Practice,r4/evidence/fast_friday/2021_fast_friday_official_editorial.html,DOWNLOADED,200,137192,text/html; charset=utf-8,
2022,Practice 5 (Fast Friday),OFFICIAL_RESULTS_HTML,GENERAL_FAST_FRIDAY_NUMERIC_REFERENCE,https://www.indycar.com/results/ntt-indycar-series/2022/106th-running-of-the-indianapolis-500/practice-5,r4/evidence/fast_friday/2022_fast_friday_practice5_results.html,DOWNLOADED,200,158066,text/html; charset=utf-8,
2023,Practice 5 (Fast Friday),OFFICIAL_RESULTS_HTML,FAST_FRIDAY_SESSION_REFERENCE,https://www.indycar.com/results/ntt-indycar-series/2023/107th-running-of-the-indianapolis-500/practice-5,r4/evidence/fast_friday/2023_fast_friday_practice5_results.html,DOWNLOADED,200,158092,text/html; charset=utf-8,
2023,Practice 5 (Fast Friday),OFFICIAL_RESULTS_PDF,FOUR_LAP_QUALIFYING_SIM_HIGH_PRIORITY,https://www.imscdn.com/INDYCAR/Documents/6200/2023-05-19/indycar-results-p5.pdf,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,URL_ERROR,,0,,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2023,Fast Friday Editorial,OFFICIAL_EDITORIAL_HTML,FOUR_LAP_SIM_CONTEXT_EVIDENCE,https://www.indycar.com/news/2023/05/05-19-fastfriday,r4/evidence/fast_friday/2023_fast_friday_official_editorial.html,DOWNLOADED,200,136736,text/html; charset=utf-8,
2024,Practice 5 (Fast Friday),OFFICIAL_RESULTS_HTML,VALIDATION_FAST_FRIDAY_SESSION_REFERENCE,https://www.indycar.com/results/ntt-indycar-series/2024/108th-running-of-the-indianapolis-500/practice-5,r4/evidence/fast_friday/2024_fast_friday_practice5_results.html,DOWNLOADED,200,158092,text/html; charset=utf-8,
2024,Practice 5 (Fast Friday),OFFICIAL_RESULTS_PDF,VALIDATION_FOUR_LAP_QUALIFYING_SIM,https://www.imscdn.com/INDYCAR/Documents/6380/2024-05-17/indycar-results-p5.pdf,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,URL_ERROR,,0,,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2024,Fast Friday Editorial,OFFICIAL_EDITORIAL_HTML,VALIDATION_FOUR_LAP_SIM_CONTEXT,https://www.indycar.com/News/2024/05/05-17-FastFriday-Report,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,DOWNLOADED,200,138279,text/html; charset=utf-8,
