year,anchor_pattern,mph_values,matched_drivers,context
2021,no[-\s]?tow,231.598,Alexander Rossi;Colton Herta;Scott Dixon,"h Saturday and Sunday for Crown Royal Armed Forces Qualifying. The additional boost added between 80 and 90 horsepower and increased speeds 8 mph from Thursday. 2008 Indy 500 winner Dixon&rsquo;s top lap came with the benefit of an aerodynamic tow, which drivers won&rsquo;t get in single-car qualifying this weekend. 2016 Indy 500 winner Alexander Rossi was the fastest driver running alone on the 2.5-mile oval, marking him as a favorite to win the NTT P1 Award for pole Sunday. Rossi&rsquo;s best no-tow lap today was 231.598 mph in the No. 27 NAPA AUTO PARTS/AutoNation Honda. &ldquo;I only I think (I got) just one four-lap (qualifying simulation) run because people kept jumping out or whatever,&rdquo; Rossi said. &ldquo;It's always interesting on days like this when you have an unfriendly wind in Turn 2. For whatever reason, Turn 2 is hard. I don&rsquo;t know if the air is different over there.&rdquo; All the top five overall speeds today came in a tow from traffic. Colton Herta was second at "
2021,no[-\s]?tow,232.784;232.690;232.531;232.155;231.518;231.510;232.034,Alex Palou;Alexander Rossi;Colton Herta;Graham Rahal;Marcus Ericsson;Pato O'Ward;Tony Kanaan,"om traffic. Colton Herta was second at 232.784 in the No. 26 Gainbridge Honda, while 2013 Indy winner Tony Kanaan &ndash; fastest Thursday &ndash; was third at 232.690 in the No. 48 The American Legion Honda. Marcus Ericsson was fourth at 232.531 in the No. 8 Huski Chocolate Chip Ganassi Racing Honda. Alex Palou helped Honda-powered drivers sweep the top five spots on the speed chart, clocking in fifth at 232.155 in the No. 10 NTT DATA Chip Ganassi Racing Honda. Rossi has been among the fastest no-tow drivers each day this week, so his perch atop that list today came as little surprise. Other drivers to watch this weekend based on their speeds without aerodynamic help include Graham Rahal, second today on the no-tow list at 231.518 in the No. 15 United Rentals Honda, and Pato O&rsquo;Ward, third among the no-tows at 231.510 in the No. 5 Arrow McLaren SP Chevrolet. O&rsquo;Ward and Rossi also were fast in traffic today. O&rsquo;Ward&rsquo;s best lap in the draft was 232.034, good for sixth ov"
2021,no[-\s]?tow,232.531;232.155;231.518;231.510;232.034;231.863,Alex Palou;Alexander Rossi;Graham Rahal;Pato O'Ward,"csson was fourth at 232.531 in the No. 8 Huski Chocolate Chip Ganassi Racing Honda. Alex Palou helped Honda-powered drivers sweep the top five spots on the speed chart, clocking in fifth at 232.155 in the No. 10 NTT DATA Chip Ganassi Racing Honda. Rossi has been among the fastest no-tow drivers each day this week, so his perch atop that list today came as little surprise. Other drivers to watch this weekend based on their speeds without aerodynamic help include Graham Rahal, second today on the no-tow list at 231.518 in the No. 15 United Rentals Honda, and Pato O&rsquo;Ward, third among the no-tows at 231.510 in the No. 5 Arrow McLaren SP Chevrolet. O&rsquo;Ward and Rossi also were fast in traffic today. O&rsquo;Ward&rsquo;s best lap in the draft was 232.034, good for sixth overall. Rossi&rsquo;s top tow lap was 231.863, seventh overall. &ldquo;There's always surprises,&rdquo; Rossi said when asked to predict qualifying. &ldquo;I think this year has proved that correctly across all the races"
2021,no[-\s]?tow,232.155;231.518;231.510;232.034;231.863,Alexander Rossi;Graham Rahal;Pato O'Ward,"ped Honda-powered drivers sweep the top five spots on the speed chart, clocking in fifth at 232.155 in the No. 10 NTT DATA Chip Ganassi Racing Honda. Rossi has been among the fastest no-tow drivers each day this week, so his perch atop that list today came as little surprise. Other drivers to watch this weekend based on their speeds without aerodynamic help include Graham Rahal, second today on the no-tow list at 231.518 in the No. 15 United Rentals Honda, and Pato O&rsquo;Ward, third among the no-tows at 231.510 in the No. 5 Arrow McLaren SP Chevrolet. O&rsquo;Ward and Rossi also were fast in traffic today. O&rsquo;Ward&rsquo;s best lap in the draft was 232.034, good for sixth overall. Rossi&rsquo;s top tow lap was 231.863, seventh overall. &ldquo;There's always surprises,&rdquo; Rossi said when asked to predict qualifying. &ldquo;I think this year has proved that correctly across all the races, right? How many races have we had, four or five? Five races, five winners. I think that's a test"
2021,four[-\s]?lap,231.598;232.784,Alexander Rossi;Colton Herta;Scott Dixon;Tony Kanaan,"nd increased speeds 8 mph from Thursday. 2008 Indy 500 winner Dixon&rsquo;s top lap came with the benefit of an aerodynamic tow, which drivers won&rsquo;t get in single-car qualifying this weekend. 2016 Indy 500 winner Alexander Rossi was the fastest driver running alone on the 2.5-mile oval, marking him as a favorite to win the NTT P1 Award for pole Sunday. Rossi&rsquo;s best no-tow lap today was 231.598 mph in the No. 27 NAPA AUTO PARTS/AutoNation Honda. &ldquo;I only I think (I got) just one four-lap (qualifying simulation) run because people kept jumping out or whatever,&rdquo; Rossi said. &ldquo;It's always interesting on days like this when you have an unfriendly wind in Turn 2. For whatever reason, Turn 2 is hard. I don&rsquo;t know if the air is different over there.&rdquo; All the top five overall speeds today came in a tow from traffic. Colton Herta was second at 232.784 in the No. 26 Gainbridge Honda, while 2013 Indy winner Tony Kanaan &ndash; fastest Thursday &ndash; was third at 2"
2021,qualifying simulation,,Scott Dixon,"NDYCAR SERIES champion Dixon topped the speed charts, as he also was fastest Wednesday in the No. 9 PNC Bank Grow Up Great Honda. &ldquo;The team was really fast,&rdquo; said Dixon, who also gained the advantage of drawing first in the qualifying order. &ldquo;I think any time one of the Ganassi cars went out, they improved and improved in a big way. &ldquo;It was really tough out there today. Just really tough to get a clear track. I know it's difficult. I know everybody wants to try to get a (qualifying simulation) run.&rdquo; Qualifying takes place from noon-5:50 p.m. (ET) Saturday, with positions 1-30 secured (noon-6 p.m., Peacock; 2-3 p.m., NBC; 3-6 p.m., NBCSN). On Sunday, the Fast Nine Shootout will determine the NTT P1 Award for pole and the order of the first three rows, and Last Chance Qualifying will determine which three of the five remaining cars will complete the starting field for the May 30 race. Today was the first day of the event with elevated boost levels in the engine turbochargers, wh"
2021,qualifying simulation,231.598;232.784;232.690,Alexander Rossi;Colton Herta;Scott Dixon;Tony Kanaan,"ed speeds 8 mph from Thursday. 2008 Indy 500 winner Dixon&rsquo;s top lap came with the benefit of an aerodynamic tow, which drivers won&rsquo;t get in single-car qualifying this weekend. 2016 Indy 500 winner Alexander Rossi was the fastest driver running alone on the 2.5-mile oval, marking him as a favorite to win the NTT P1 Award for pole Sunday. Rossi&rsquo;s best no-tow lap today was 231.598 mph in the No. 27 NAPA AUTO PARTS/AutoNation Honda. &ldquo;I only I think (I got) just one four-lap (qualifying simulation) run because people kept jumping out or whatever,&rdquo; Rossi said. &ldquo;It's always interesting on days like this when you have an unfriendly wind in Turn 2. For whatever reason, Turn 2 is hard. I don&rsquo;t know if the air is different over there.&rdquo; All the top five overall speeds today came in a tow from traffic. Colton Herta was second at 232.784 in the No. 26 Gainbridge Honda, while 2013 Indy winner Tony Kanaan &ndash; fastest Thursday &ndash; was third at 232.690 in the No. 48 Th"
2021,qualifying sim,,Scott Dixon,"NDYCAR SERIES champion Dixon topped the speed charts, as he also was fastest Wednesday in the No. 9 PNC Bank Grow Up Great Honda. &ldquo;The team was really fast,&rdquo; said Dixon, who also gained the advantage of drawing first in the qualifying order. &ldquo;I think any time one of the Ganassi cars went out, they improved and improved in a big way. &ldquo;It was really tough out there today. Just really tough to get a clear track. I know it's difficult. I know everybody wants to try to get a (qualifying simulation) run.&rdquo; Qualifying takes place from noon-5:50 p.m. (ET) Saturday, with positions 1-30 secured (noon-6 p.m., Peacock; 2-3 p.m., NBC; 3-6 p.m., NBCSN). On Sunday, the Fast Nine Shootout will determine the NTT P1 Award for pole and the order of the first three rows, and Last Chance Qualifying will determine which three of the five remaining cars will complete the starting field for the May 30 race. Today was the first day of the event with elevated boost levels in the engine turbocharg"
2021,qualifying sim,231.598;232.784;232.690,Alexander Rossi;Colton Herta;Scott Dixon;Tony Kanaan,"ed speeds 8 mph from Thursday. 2008 Indy 500 winner Dixon&rsquo;s top lap came with the benefit of an aerodynamic tow, which drivers won&rsquo;t get in single-car qualifying this weekend. 2016 Indy 500 winner Alexander Rossi was the fastest driver running alone on the 2.5-mile oval, marking him as a favorite to win the NTT P1 Award for pole Sunday. Rossi&rsquo;s best no-tow lap today was 231.598 mph in the No. 27 NAPA AUTO PARTS/AutoNation Honda. &ldquo;I only I think (I got) just one four-lap (qualifying simulation) run because people kept jumping out or whatever,&rdquo; Rossi said. &ldquo;It's always interesting on days like this when you have an unfriendly wind in Turn 2. For whatever reason, Turn 2 is hard. I don&rsquo;t know if the air is different over there.&rdquo; All the top five overall speeds today came in a tow from traffic. Colton Herta was second at 232.784 in the No. 26 Gainbridge Honda, while 2013 Indy winner Tony Kanaan &ndash; fastest Thursday &ndash; was third at 232.690 in the No"
2023,four[-\s]?lap,234.753;239.260,Takuma Sato,"ge practice lap since 1996 on the eve of the start of qualifying. Two-time &ldquo;500&rdquo; winner Sato led the six-hour session with a lap of 38.3382 seconds, 234.753 mph in the No. 11 Deloitte Honda fielded by Chip Ganassi Racing, the ninth-fastest practice lap in Indy 500 history. The eight fastest practice laps at Indy were turned in 1996, led by Arie Luyendyk&rsquo;s speed of 239.260. SEE: Practice Results | Saturday Qualifying Order | Qualifying Format Sato&rsquo;s best lap came during a four-lap qualifying simulation early in the six-hour session that he had to abandon after coming within a hair&rsquo;s width of touching the SAFER Barrier in Turn 4. &ldquo;The beginning of the run, first time today, was really too light,&rdquo; Sato said. &ldquo;The middle run, we had more downforce, and I was getting more comfortable. By the end of the day, I think I wanted to try to find the limit again, so we went to a little bit sketchy one (setup) again, so I had to lift in Turn 4. But overall, I "
