year,driver_name,normalized_name,surname,car_number
2021,Alex Palou,alex palou,palou,10
2021,Alexander Rossi,alexander rossi,rossi,27
2021,Charlie Kimball,charlie kimball,kimball,11
2021,Colton Herta,colton herta,herta,26
2021,Conor Daly,conor daly,daly,47
2021,Dalton Kellett,dalton kellett,kellett,4
2021,Ed Carpenter,ed carpenter,carpenter,20
2021,Ed Jones,ed jones,jones,18
2021,Felix Rosenqvist,felix rosenqvist,rosenqvist,7
2021,Graham Rahal,graham rahal,rahal,15
2021,Helio Castroneves,helio castroneves,castroneves,06
2021,JR Hildebrand,jr hildebrand,hildebrand,1
2021,Jack Harvey,jack harvey,harvey,60
2021,James Hinchcliffe,james hinchcliffe,hinchcliffe,29
2021,Josef Newgarden,josef newgarden,newgarden,2
2021,Juan Pablo Montoya,juan pablo montoya,montoya,86
2021,"Karam, Sage",karam sage,sage,24
2021,Marco Andretti,marco andretti,andretti,98
2021,Marcus Ericsson,marcus ericsson,ericsson,8
2021,Max Chilton,max chilton,chilton,59
2021,Pato O'Ward,pato o ward,ward,5
2021,Pietro Fittipaldi,pietro fittipaldi,fittipaldi,51
2021,RC Enerson,rc enerson,enerson,75
2021,Rinus VeeKay,rinus veekay,veekay,21
2021,Ryan Hunter-Reay,ryan hunter reay,reay,28
2021,Sage Karam,sage karam,karam,24
2021,Santino Ferrucci,santino ferrucci,ferrucci,45
2021,Scott Dixon,scott dixon,dixon,9
2021,Scott McLaughlin,scott mclaughlin,mclaughlin,3
2021,Sebastien Bourdais,sebastien bourdais,bourdais,14
2021,Simon Pagenaud,simon pagenaud,pagenaud,22
2021,Simona De Silvestro,simona de silvestro,silvestro,16
2021,Stefan Wilson,stefan wilson,wilson,25
2021,Takuma Sato,takuma sato,sato,30
2021,Tony Kanaan,tony kanaan,kanaan,48
2021,Will Power,will power,power,12
2023,Agustin Canapino,agustin canapino,canapino,78
2023,Alex Palou,alex palou,palou,10
2023,Alexander Rossi,alexander rossi,rossi,7
2023,"Andretti, Marco",andretti marco,marco,98
2023,Benjamin Pedersen,benjamin pedersen,pedersen,55
2023,Callum Ilott,callum ilott,ilott,77
2023,Christian Lundgaard,christian lundgaard,lundgaard,45
2023,Colton Herta,colton herta,herta,26
2023,Conor Daly,conor daly,daly,20
2023,David Malukas,david malukas,malukas,18
2023,Devlin DeFrancesco,devlin defrancesco,defrancesco,29
2023,Ed Carpenter,ed carpenter,carpenter,33
2023,Felix Rosenqvist,felix rosenqvist,rosenqvist,6
2023,Graham Rahal,graham rahal,rahal,15
2023,Helio Castroneves,helio castroneves,castroneves,06
2023,Jack Harvey,jack harvey,harvey,30
2023,Josef Newgarden,josef newgarden,newgarden,2
2023,Katherine Legge,katherine legge,legge,44
2023,Kyle Kirkwood,kyle kirkwood,kirkwood,27
2023,Marco Andretti,marco andretti,andretti,98
2023,Marcus Ericsson,marcus ericsson,ericsson,8
2023,Pato O'Ward,pato o ward,ward,5
2023,RC Enerson,rc enerson,enerson,50
2023,Rinus VeeKay,rinus veekay,veekay,21
2023,Romain Grosjean,romain grosjean,grosjean,28
2023,Ryan Hunter-Reay,ryan hunter reay,reay,23
2023,Santino Ferrucci,santino ferrucci,ferrucci,14
2023,Scott Dixon,scott dixon,dixon,9
2023,Scott McLaughlin,scott mclaughlin,mclaughlin,3
2023,Simon Pagenaud,simon pagenaud,pagenaud,60
2023,Stefan Wilson,stefan wilson,wilson,24
2023,Sting Ray Robb,sting ray robb,robb,51
2023,Takuma Sato,takuma sato,sato,11
2023,Tony Kanaan,tony kanaan,kanaan,66
2023,Will Power,will power,power,12
2024,Agustin Canapino,agustin canapino,canapino,78
2024,Alex Palou,alex palou,palou,10
2024,Alexander Rossi,alexander rossi,rossi,7
2024,Callum Ilott,callum ilott,ilott,6
2024,Christian Lundgaard,christian lundgaard,lundgaard,45
2024,Christian Rasmussen,christian rasmussen,rasmussen,33
2024,Colton Herta,colton herta,herta,26
2024,Conor Daly,conor daly,daly,24
2024,Ed Carpenter,ed carpenter,carpenter,20
2024,Felix Rosenqvist,felix rosenqvist,rosenqvist,60
2024,Graham Rahal,graham rahal,rahal,15
2024,Helio Castroneves,helio castroneves,castroneves,06
2024,Josef Newgarden,josef newgarden,newgarden,2
2024,Katherine Legge,katherine legge,legge,51
2024,Kyffin Simpson,kyffin simpson,simpson,4
2024,Kyle Kirkwood,kyle kirkwood,kirkwood,27
2024,Kyle Larson,kyle larson,larson,17
2024,"Legge, Katherine",legge katherine,katherine,51
2024,Linus Lundqvist,linus lundqvist,lundqvist,8
2024,Marco Andretti,marco andretti,andretti,98
2024,Marcus Armstrong,marcus armstrong,armstrong,11
2024,Marcus Ericsson,marcus ericsson,ericsson,28
2024,Nolan Siegel,nolan siegel,siegel,18
2024,Pato O'Ward,pato o ward,ward,5
2024,Pietro Fittipaldi,pietro fittipaldi,fittipaldi,30
2024,"Rahal, Graham",rahal graham,graham,15
2024,Rinus VeeKay,rinus veekay,veekay,21
2024,Romain Grosjean,romain grosjean,grosjean,77
2024,Ryan Hunter-Reay,ryan hunter reay,reay,23
2024,Santino Ferrucci,santino ferrucci,ferrucci,14
2024,Scott Dixon,scott dixon,dixon,9
2024,Scott McLaughlin,scott mclaughlin,mclaughlin,3
2024,"Siegel, Nolan (R)",siegel nolan r,r,18
2024,Sting Ray Robb,sting ray robb,robb,41
2024,Takuma Sato,takuma sato,sato,75
2024,Tom Blomqvist,tom blomqvist,blomqvist,66
2024,Will Power,will power,power,12
