year,driver_name,driver_key,car_number,reference_speed_mph,reference_type,reference_priority,source_quality,source_type,source_url,source_file,extraction_method,model_role,provenance_note,pdf_position,pdf_lap_time
2020,Alex Palou,alex palou,55,231.989,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,6,00:38.7949
2020,Alexander Rossi,alexander rossi,27,231.859,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,9,00:38.8167
2020,Ben Hanley,ben hanley,81,222.086,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,33,00:40.5248
2020,Charlie Kimball,charlie kimball,4,230.861,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,16,00:38.9845
2020,Colton Herta,colton herta,88,231.595,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,13,00:38.8610
2020,Conor Daly,conor daly,47,232.337,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,2,00:38.7368
2020,Dalton Kellett,dalton kellett,41,229.099,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,28,00:39.2844
2020,Ed Carpenter,ed carpenter,20,229.563,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,27,00:39.2050
2020,Felix Rosenqvist,felix rosenqvist,10,230.432,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,20,00:39.0571
2020,Fernando Alonso,fernando alonso,66,229.788,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,25,00:39.1666
2020,Graham Rahal,graham rahal,15,231.239,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,14,00:38.9208
2020,Helio Castroneves,helio castroneves,3,228.451,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,29,00:39.3957
2020,Jack Harvey,jack harvey,60,231.600,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,12,00:38.8601
2020,James Davison,james davison,51,229.766,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,26,00:39.1703
2020,James Hinchcliffe,james hinchcliffe,29,231.967,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,7,00:38.7987
2020,Josef Newgarden,josef newgarden,1,230.583,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,17,00:39.0315
2020,JR Hildebrand,jr hildebrand,67,228.275,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,30,00:39.4261
