file,column,classes,sample_nonempty,sample_numeric,numeric_fraction
r4f1_day1_fused_interface_summary_v1.csv,year,YEAR,5,5,1.0
r4f1_day1_fused_interface_v1.csv,benchmark_speed_mph,PERFORMANCE,50,50,1.0
r4f1_day1_fused_interface_v1.csv,decision_time_utc,TIME,79,0,0.0
r4f1_day1_fused_interface_v1.csv,driver_name,DRIVER_IDENTITY,138,0,0.0
r4f1_day1_fused_interface_v1.csv,year,YEAR,138,138,1.0
r4f2_canonical_fused_decision_dataset_v1.csv,benchmark_speed_mph,PERFORMANCE,60,60,1.0
r4f2_canonical_fused_decision_dataset_v1.csv,decision_time_utc,TIME,79,0,0.0
r4f2_canonical_fused_decision_dataset_v1.csv,driver_name,DRIVER_IDENTITY,148,0,0.0
r4f2_canonical_fused_decision_dataset_v1.csv,year,YEAR,148,148,1.0
r4f2_canonical_fused_decision_dataset_v2.csv,benchmark_speed_mph,PERFORMANCE,60,60,1.0
r4f2_canonical_fused_decision_dataset_v2.csv,decision_time_utc,TIME,79,0,0.0
r4f2_canonical_fused_decision_dataset_v2.csv,driver_name,DRIVER_IDENTITY,148,0,0.0
r4f2_canonical_fused_decision_dataset_v2.csv,year,YEAR,148,148,1.0
r4f2_canonical_fused_decision_summary_v1.csv,year,YEAR,8,8,1.0
r4f2_canonical_fused_decision_summary_v2.csv,year,YEAR,8,8,1.0
r4f3_shared_state_linkage_audit_v1.csv,decision_time_utc,TIME,50,0,0.0
r4f3_shared_state_linkage_audit_v1.csv,driver_name,DRIVER_IDENTITY,50,0,0.0
r4f3_shared_state_linkage_audit_v1.csv,hrrr_decision_safe_cycle_available,FORECAST,50,0,0.0
r4f3_shared_state_linkage_audit_v1.csv,hrrr_selected_cycle_utc,TIME;FORECAST,50,0,0.0
r4f3_shared_state_linkage_audit_v1.csv,hrrr_supports_decision_time,FORECAST,50,0,0.0
r4f3_shared_state_linkage_audit_v1.csv,hrrr_supports_plus_30m,FORECAST,50,0,0.0
r4f3_shared_state_linkage_audit_v1.csv,performance_speed_mph,PERFORMANCE,50,50,1.0
r4f3_shared_state_linkage_audit_v1.csv,prior_other_car_median_speed_10m,PERFORMANCE,48,48,1.0
r4f3_shared_state_linkage_audit_v1.csv,prior_other_car_median_speed_20m,PERFORMANCE,50,50,1.0
r4f3_shared_state_linkage_audit_v1.csv,prior_other_car_median_speed_30m,PERFORMANCE,50,50,1.0
r4f3_shared_state_linkage_audit_v1.csv,ptsc_track_temp,TRACK_TEMP,0,0,0.0
r4f3_shared_state_linkage_audit_v1.csv,whole_field_window_context_20m_ready,WIND,50,0,0.0
r4f3_shared_state_linkage_audit_v1.csv,year,YEAR,50,50,1.0
r4f3_shared_state_linkage_summary_v1.csv,hrrr30_ready,FORECAST,3,3,1.0
r4f3_shared_state_linkage_summary_v1.csv,window20_ready,WIND,3,3,1.0
