file,rows,file_type,track_numeric_cols,hrrr_weather_numeric_cols,time_columns,year_columns,track_columns,hrrr_weather_columns
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,168,TRACK_AND_HRRR,1,2,,year,track_c,pressure_raw;pressure
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,168,TRACK_AND_HRRR,1,2,,year,track_c,pressure_raw;pressure
weather/evidence/ptsc/indy500_day1_track_temp_excluded_blocks.csv,20,TRACK_AND_HRRR,1,2,,year,track_c,pressure_raw;pressure
r4/output/r4p0_cross_car_data_inventory_v1.csv,6,TRACK_AND_HRRR,1,1,timestamp_exact_attempts;timestamp_approximate_attempts;timestamp_bounded_attempts;timestamp_ordering_only_attempts;timestamp_unknown_attempts;point_timestamp_attempts;timestamp_evidenced_including_bounded,year,observed_ptsc_track_temp_attempts,leakage_safe_hrrr_attempts
r4/output/r4f3b_shared_state_linkage_thermal_fixed_v1.csv,50,TRACK,1,0,decision_time_utc;hrrr_selected_cycle_utc;ptsc_selected_time_utc,year,ptsc_track_temp_c,
r4/output/r4f4_decision_window_residual_context_v1.csv,50,TRACK,1,0,decision_time_utc;hrrr_selected_cycle_utc;ptsc_selected_time_utc,year,ptsc_track_temp_c,
r4/output/r4p5_decision_safe_forecast_scenarios_v1.csv,40,HRRR_WEATHER,0,60,decision_time_utc;selected_hrrr_cycle_utc;actual_next_attempt_time_utc,year,,forecast_now_relative_humidity_pct;forecast_now_wind_speed_10m_ms;forecast_now_pressure_hpa;forecast_now_gust_ms;forecast_now_cloud_cover_pct;forecast_now_shortwave_radiation_wm2;forecast_plus_10m_relative_humidity_pct;forecast_delta_10m_relative_humidity_pct;forecast_rate_10m_relative_humidity_pct_per_min;forecast_plus_10m_wind_speed_10m_ms;forecast_delta_10m_wind_speed_10m_ms;forecast_rate_10m_wind_speed_10m_ms_per_min;forecast_plus_10m_pressure_hpa;forecast_delta_10m_pressure_hpa;forecast_rate_10m_pressure_hpa_per_min;forecast_plus_10m_gust_ms;forecast_delta_10m_gust_ms;forecast_rate_10m_gust_ms_per_min;forecast_plus_10m_cloud_cover_pct;forecast_delta_10m_cloud_cover_pct;forecast_rate_10m_cloud_cover_pct_per_min;forecast_plus_10m_shortwave_radiation_wm2;forecast_delta_10m_shortwave_radiation_wm2;forecast_rate_10m_shortwave_radiation_wm2_per_min;forecast_plus_20m_relative_humidity_pct;forecast_delta_20m_relative_humidity_pct;forecast_rate_20m_relative_humidity_pct_per_min;forecast_plus_20m_wind_speed_10m_ms;forecast_delta_20m_wind_speed_10m_ms;forecast_rate_20m_wind_speed_10m_ms_per_min;forecast_plus_20m_pressure_hpa;forecast_delta_20m_pressure_hpa;forecast_rate_20m_pressure_hpa_per_min;forecast_plus_20m_gust_ms;forecast_delta_20m_gust_ms;forecast_rate_20m_gust_ms_per_min;forecast_plus_20m_cloud_cover_pct;forecast_delta_20m_cloud_cover_pct;forecast_rate_20m_cloud_cover_pct_per_min;forecast_plus_20m_shortwave_radiation_wm2;forecast_delta_20m_shortwave_radiation_wm2;forecast_rate_20m_shortwave_radiation_wm2_per_min;forecast_plus_30m_relative_humidity_pct;forecast_delta_30m_relative_humidity_pct;forecast_rate_30m_relative_humidity_pct_per_min;forecast_plus_30m_wind_speed_10m_ms;forecast_delta_30m_wind_speed_10m_ms;forecast_rate_30m_wind_speed_10m_ms_per_min;forecast_plus_30m_pressure_hpa;forecast_delta_30m_pressure_hpa;forecast_rate_30m_pressure_hpa_per_min;forecast_plus_30m_gust_ms;forecast_delta_30m_gust_ms;forecast_rate_30m_gust_ms_per_min;forecast_plus_30m_cloud_cover_pct;forecast_delta_30m_cloud_cover_pct;forecast_rate_30m_cloud_cover_pct_per_min;forecast_plus_30m_shortwave_radiation_wm2;forecast_delta_30m_shortwave_radiation_wm2;forecast_rate_30m_shortwave_radiation_wm2_per_min
r4/output/r4p6_decision_safe_conditional_dataset_v1.csv,5,HRRR_WEATHER,0,24,decision_time_utc;historical_future_run_time_utc;selected_hrrr_cycle_utc,year,,forecast_now_relative_humidity_pct;forecast_future_relative_humidity_pct;forecast_change_relative_humidity_pct;forecast_rate_relative_humidity_pct_per_min;forecast_now_wind_speed_10m_ms;forecast_future_wind_speed_10m_ms;forecast_change_wind_speed_10m_ms;forecast_rate_wind_speed_10m_ms_per_min;forecast_now_pressure_hpa;forecast_future_pressure_hpa;forecast_change_pressure_hpa;forecast_rate_pressure_hpa_per_min;forecast_now_gust_ms;forecast_future_gust_ms;forecast_change_gust_ms;forecast_rate_gust_ms_per_min;forecast_now_cloud_cover_pct;forecast_future_cloud_cover_pct;forecast_change_cloud_cover_pct;forecast_rate_cloud_cover_pct_per_min;forecast_now_shortwave_radiation_wm2;forecast_future_shortwave_radiation_wm2;forecast_change_shortwave_radiation_wm2;forecast_rate_shortwave_radiation_wm2_per_min
weather/output/performance_context_features.csv,136,HRRR_WEATHER,0,21,performance_time_utc;most_recent_supported_attempt_time_utc;selected_issue_time_utc;before_valid_time_utc;after_valid_time_utc,,,forecast_GUST_surface;forecast_GUST_surface_before;forecast_GUST_surface_after;forecast_cloud_cover_pct;forecast_cloud_cover_pct_before;forecast_cloud_cover_pct_after;forecast_gust_ms;forecast_gust_ms_before;forecast_gust_ms_after;forecast_pressure_hpa;forecast_pressure_hpa_before;forecast_pressure_hpa_after;forecast_relative_humidity_pct;forecast_relative_humidity_pct_before;forecast_relative_humidity_pct_after;forecast_shortwave_radiation_wm2;forecast_shortwave_radiation_wm2_before;forecast_shortwave_radiation_wm2_after;forecast_wind_speed_10m_ms;forecast_wind_speed_10m_ms_before;forecast_wind_speed_10m_ms_after
weather/output/performance_grade_hrrr_forecast_alignment.csv,136,HRRR_WEATHER,0,21,performance_time_utc;selected_issue_time_utc;before_valid_time_utc;after_valid_time_utc,,,forecast_GUST_surface;forecast_GUST_surface_before;forecast_GUST_surface_after;forecast_cloud_cover_pct;forecast_cloud_cover_pct_before;forecast_cloud_cover_pct_after;forecast_gust_ms;forecast_gust_ms_before;forecast_gust_ms_after;forecast_pressure_hpa;forecast_pressure_hpa_before;forecast_pressure_hpa_after;forecast_relative_humidity_pct;forecast_relative_humidity_pct_before;forecast_relative_humidity_pct_after;forecast_shortwave_radiation_wm2;forecast_shortwave_radiation_wm2_before;forecast_shortwave_radiation_wm2_after;forecast_wind_speed_10m_ms;forecast_wind_speed_10m_ms_before;forecast_wind_speed_10m_ms_after
