file,column,nonempty_rows,numeric_fraction,numeric_unique,numeric_min,numeric_max,datetime_fraction,sample_1,sample_2,sample_3
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,year,168,1.0,5,2020.0,2024.0,0.0,2020,2021,2022
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,session_date,168,0.0,0,,,1.0,2020-08-15,2021-05-22,2022-05-21
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,local_time,168,0.0,0,,,1.0,08:15:00,08:30:00,08:45:00
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,source_sheet,168,0.0,0,,,0.0,2020 Temp Archive,2021 Temp Archive,2022 Temp Archive
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,source_row_index,168,1.0,121,325.0,501.0,0.0,325,326,327
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,source_block_occurrence,168,1.0,1,1.0,1.0,0.0,1,,
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,ambient_f,168,1.0,32,55.0,90.0,0.0,70.0,71.0,72.0
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,ambient_c,168,1.0,32,12.777777777777779,32.22222222222222,0.0,21.11111111111111,21.666666666666668,22.22222222222222
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,track_f,168,1.0,58,65.0,130.0,0.0,80.0,81.0,82.0
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,track_c,168,1.0,58,18.333333333333332,54.44444444444444,0.0,26.666666666666668,27.22222222222222,27.77777777777778
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,humidity,168,1.0,47,0.37,0.95,0.0,0.87,0.85,0.82
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,wind_raw,168,1.0,15,0.0,14.0,0.0,0,4,2
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,wind,168,1.0,15,0.0,14.0,0.0,0.0,4.0,2.0
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,wind_direction,168,0.0,0,,,0.0,E,SE,ESE
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,pressure_raw,168,1.0,36,29.08,239.13,0.0,29.17,29.16,29.18
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,pressure,167,1.0,35,29.08,29.63,0.0,29.17,29.16,29.18
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,pressure_quality,168,0.0,0,,,0.0,VALID,SOURCE_VALUE_OUT_OF_RANGE,
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,sensor_1_name,168,0.0,0,,,0.0,SF,T1T,I2
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,sensor_1_f,168,1.0,131,67.1,133.7,0.0,79.0,80.6,83.3
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,sensor_2_name,168,0.0,0,,,0.0,I6,T2T,I3T
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,sensor_2_f,168,1.0,129,58.5,131.9,0.0,77.9,78.1,78.3
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,sensor_3_name,168,0.0,0,,,0.0,I10,T3,I5
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,sensor_3_f,168,1.0,132,61.7,134.2,0.0,79.0,79.3,80.4
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,sensor_4_name,168,0.0,0,,,0.0,I15,T4T,I6
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,sensor_4_f,168,1.0,127,70.9,137.1,0.0,82.9,85.3,87.3
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,sensor_avg_f,168,1.0,161,64.57499999999999,130.22500000000002,0.0,79.7,80.825,82.325
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,year,168,1.0,5,2020.0,2024.0,0.0,2020,2021,2022
