support,year,model,n,mae_mph,rmse_mph,bias_mph,correlation
N_GE_1,2020,FAST_FRIDAY_REFERENCE_ONLY,38,1.0263947368421078,1.1925301827803392,0.8942894736842106,0.9461839333904464
N_GE_1,2020,REFERENCE_PLUS_PAST_OTHER_MEAN,38,0.6478568117334768,0.8356142872429794,0.12877076395197662,0.943078999595367
N_GE_1,2020,REFERENCE_PLUS_PAST_OTHER_MEDIAN,38,0.6499342105263171,0.824976526779306,0.10501315789473677,0.9446758033008671
N_GE_1,2020,REFERENCE_PLUS_PAST_OTHER_EWMA20,38,0.6256987751359768,0.848102202251002,0.04595520588085983,0.9387735996746492
N_GE_1,2020,REFERENCE_PLUS_PAST_OTHER_EWMA45,38,0.6206796475739255,0.8298930246399421,0.06655976782354407,0.9424418548134292
N_GE_1,2021,FAST_FRIDAY_REFERENCE_ONLY,47,0.8309148936170224,1.182630092704481,0.6795531914893633,0.6367237144929159
N_GE_1,2021,REFERENCE_PLUS_PAST_OTHER_MEAN,47,0.6710565294697342,1.0076214102013183,-0.0028620750458534325,0.6125153335031402
N_GE_1,2021,REFERENCE_PLUS_PAST_OTHER_MEDIAN,47,0.6893617021276597,1.024946698147058,0.01961702127660173,0.5950756983322105
N_GE_1,2021,REFERENCE_PLUS_PAST_OTHER_EWMA20,47,0.7232559223092742,1.0519643540575643,-0.015195343336174307,0.5951402303329748
N_GE_1,2021,REFERENCE_PLUS_PAST_OTHER_EWMA45,47,0.6941140822676756,1.024289945051669,-0.01374930263279005,0.6067151111991375
N_GE_1,2023,FAST_FRIDAY_REFERENCE_ONLY,16,0.5712499999999974,0.7955375541104227,0.24375000000000036,0.8770834517746624
N_GE_1,2023,REFERENCE_PLUS_PAST_OTHER_MEAN,16,0.5392687996898928,0.8116945438555164,0.04307442947677487,0.8645318609372113
N_GE_1,2023,REFERENCE_PLUS_PAST_OTHER_MEDIAN,16,0.5619687499999948,0.8199879095907385,-0.06196874999999835,0.8641496676156443
