year,driver_name,driver_key,reference_speed_mph,reference_type,transfer_role,qualifying_outcome_available_locally,performance_validation_performed
2025,Alex Palou,alexpalou,232.307,FOUR_LAP_QUALIFYING_SIM,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Alexander Rossi,alexanderrossi,229.632,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Callum Ilott,callumilott,230.857,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Christian Lundgaard,christianlundgaard,231.814,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Christian Rasmussen,christianrasmussen,231.182,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Colton Herta,coltonherta,232.066,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Conor Daly,conordaly,231.689,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,David Malukas,davidmalukas,230.749,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Devlin DeFrancesco,devlindefrancesco,229.166,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Ed Carpenter,edcarpenter,231.054,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Felix Rosenqvist,felixrosenqvist,231.389,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Graham Rahal,grahamrahal,229.527,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Helio Castroneves,heliocastroneves,230.643,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Jack Harvey,jackharvey,229.013,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Jacob Abel,jacobabel,229.611,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
2025,Josef Newgarden,josefnewgarden,231.033,GENERAL_FAST_FRIDAY_BEST_SPEED,TECHNICAL_REGIME_REFERENCE_TRANSFER_EVIDENCE_ONLY,False,False
