file,rows,columns,score,action_columns,current_result_columns,benchmark_columns,rank_columns,queue_columns,time_columns,probability_columns,monte_carlo_columns,completion_columns,identity_columns,all_columns
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,148,39,102,10,1,4,2,1,1,0,2,1,6,decision_id;year;session_regime;car_number;driver_name;decision_stage;source_attempt_id;current_result_mph;current_rank;benchmark_type;benchmark_rank;benchmark_speed_mph;margin_to_benchmark_mph;qualification_state;has_protected_result;feasible_action_set;action_mask_STOP;action_mask_REATTEMPT;action_mask_RETAIN_AND_REATTEMPT;action_mask_WITHDRAW_AND_REATTEMPT;action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT;observed_action;action_resolved;action_evidence_quality;decision_time_utc;time_quality;state_numeric_complete;thermal_state_available;performance_uncertainty_available;wait_model_available;shared_feature_link_status;upstream_safe_for_policy_fit;action_evidence_eligible;decision_state_eligible;counterfactual_model_input_eligible;validation_only;dataset_role;hard_optimality_truth;source_interface
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,148,37,96,9,1,4,2,1,1,0,2,1,6,decision_id;year;session_regime;car_number;driver_name;decision_stage;source_attempt_id;current_result_mph;current_rank;benchmark_type;benchmark_rank;benchmark_speed_mph;margin_to_benchmark_mph;qualification_state;has_protected_result;feasible_action_set;action_mask_STOP;action_mask_REATTEMPT;action_mask_RETAIN_AND_REATTEMPT;action_mask_WITHDRAW_AND_REATTEMPT;action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT;observed_action;action_resolved;action_evidence_quality;decision_time_utc;time_quality;state_numeric_complete;thermal_state_available;performance_uncertainty_available;wait_model_available;shared_feature_link_status;dataset_role;behaviour_supervision_role;safe_for_policy_fit;hard_optimality_truth;validation_only;source_interface
r4/output/r4f4_decision_window_residual_context_v1.csv,50,52,55,5,0,0,0,2,4,1,0,0,6,decision_id;year;session_regime;car_number;driver_name;source_attempt_id;decision_time_utc;performance_attempt_exact_link;performance_speed_mph;prior_other_car_attempts_10m;prior_other_car_attempts_20m;prior_other_car_attempts_30m;prior_other_car_median_speed_10m;prior_other_car_median_speed_20m;prior_other_car_median_speed_30m;whole_field_window_context_20m_ready;ptsc_prior_observation_available;ptsc_prior_observation_age_min;ptsc_track_temp;hrrr_decision_safe_cycle_available;hrrr_selected_cycle_utc;hrrr_supports_decision_time;hrrr_supports_plus_30m;thermal_context_ready;wait_model_structural_available;historical_wait_observed;historical_action_required_for_engine;engine_v1_state_ready;model_role;ptsc_selected_time_utc;ptsc_time_field_used;ptsc_temperature_field_used;ptsc_track_temp_c;ptsc_track_temperature_value_available;residual_window_10m_car_count;residual_window_10m_median_mph;residual_window_10m_mean_mph;residual_window_10m_improve_fraction;residual_window_20m_car_count;residual_window_20m_median_mph;residual_window_20m_mean_mph;residual_window_20m_improve_fraction;residual_window_30m_car_count;residual_window_30m_median_mph;residual_window_30m_mean_mph;residual_window_30m_improve_fraction;residual_window_45m_car_count;residual_window_45m_median_mph;residual_window_45m_mean_mph;residual_window_45m_improve_fraction;residual_window_primary_ready;whole_field_latent_window_evidence_status
r4/output/r4lc5b_last_chance_predecision_state_ledger_v1.csv,7,23,47,3,2,3,0,0,2,1,0,0,8,year;session_regime;car_number;driver_name;decision_id;attempt_ordinal_next;current_result_mph;current_result_status;current_field_status;bubble_reference_driver;bubble_reference_mph;gap_to_bubble_mph;session_remaining_status;exact_session_remaining_seconds;chronology_quality;observed_action;action_semantics_quality;outcome_status;resulting_speed_mph;source_basis;training_role;safe_for_action_policy_fit;note
r4/output/r4p5_decision_safe_forecast_scenarios_v1.csv,40,109,42,0,0,0,0,0,4,10,0,0,6,year;session_id;car_number;driver_name;before_attempt_id;after_attempt_id;decision_time_utc;selected_hrrr_cycle_utc;cycle_age_minutes_at_decision;availability_lag_guard_minutes;actual_next_attempt_time_utc;actual_between_attempt_observation_minutes;actual_next_run_speed_delta_mph;actual_next_run_improved;realized_future_environment_used;decision_time_safe;forecast_now_temp_c;forecast_now_dewpoint_c;forecast_now_relative_humidity_pct;forecast_now_wind_speed_10m_ms;forecast_now_wind_direction_deg;forecast_now_pressure_hpa;forecast_now_gust_ms;forecast_now_cloud_cover_pct;forecast_now_shortwave_radiation_wm2;forecast_plus_10m_available;forecast_plus_10m_temp_c;forecast_delta_10m_temp_c;forecast_rate_10m_temp_c_per_min;forecast_plus_10m_dewpoint_c;forecast_delta_10m_dewpoint_c;forecast_rate_10m_dewpoint_c_per_min;forecast_plus_10m_relative_humidity_pct;forecast_delta_10m_relative_humidity_pct;forecast_rate_10m_relative_humidity_pct_per_min;forecast_plus_10m_wind_speed_10m_ms;forecast_delta_10m_wind_speed_10m_ms;forecast_rate_10m_wind_speed_10m_ms_per_min;forecast_plus_10m_wind_direction_deg;forecast_delta_10m_wind_direction_deg;forecast_rate_10m_wind_direction_deg_per_min;forecast_plus_10m_pressure_hpa;forecast_delta_10m_pressure_hpa;forecast_rate_10m_pressure_hpa_per_min;forecast_plus_10m_gust_ms;forecast_delta_10m_gust_ms;forecast_rate_10m_gust_ms_per_min;forecast_plus_10m_cloud_cover_pct;forecast_delta_10m_cloud_cover_pct;forecast_rate_10m_cloud_cover_pct_per_min;forecast_plus_10m_shortwave_radiation_wm2;forecast_delta_10m_shortwave_radiation_wm2;forecast_rate_10m_shortwave_radiation_wm2_per_min;forecast_plus_20m_available;forecast_plus_20m_temp_c;forecast_delta_20m_temp_c;forecast_rate_20m_temp_c_per_min;forecast_plus_20m_dewpoint_c;forecast_delta_20m_dewpoint_c;forecast_rate_20m_dewpoint_c_per_min;forecast_plus_20m_relative_humidity_pct;forecast_delta_20m_relative_humidity_pct;forecast_rate_20m_relative_humidity_pct_per_min;forecast_plus_20m_wind_speed_10m_ms;forecast_delta_20m_wind_speed_10m_ms;forecast_rate_20m_wind_speed_10m_ms_per_min;forecast_plus_20m_wind_direction_deg;forecast_delta_20m_wind_direction_deg;forecast_rate_20m_wind_direction_deg_per_min;forecast_plus_20m_pressure_hpa;forecast_delta_20m_pressure_hpa;forecast_rate_20m_pressure_hpa_per_min;forecast_plus_20m_gust_ms;forecast_delta_20m_gust_ms;forecast_rate_20m_gust_ms_per_min;forecast_plus_20m_cloud_cover_pct;forecast_delta_20m_cloud_cover_pct;forecast_rate_20m_cloud_cover_pct_per_min;forecast_plus_20m_shortwave_radiation_wm2;forecast_delta_20m_shortwave_radiation_wm2;forecast_rate_20m_shortwave_radiation_wm2_per_min;forecast_plus_30m_available;forecast_plus_30m_temp_c;forecast_delta_30m_temp_c;forecast_rate_30m_temp_c_per_min;forecast_plus_30m_dewpoint_c;forecast_delta_30m_dewpoint_c;forecast_rate_30m_dewpoint_c_per_min;forecast_plus_30m_relative_humidity_pct;forecast_delta_30m_relative_humidity_pct;forecast_rate_30m_relative_humidity_pct_per_min;forecast_plus_30m_wind_speed_10m_ms;forecast_delta_30m_wind_speed_10m_ms;forecast_rate_30m_wind_speed_10m_ms_per_min;forecast_plus_30m_wind_direction_deg;forecast_delta_30m_wind_direction_deg;forecast_rate_30m_wind_direction_deg_per_min;forecast_plus_30m_pressure_hpa;forecast_delta_30m_pressure_hpa;forecast_rate_30m_pressure_hpa_per_min;forecast_plus_30m_gust_ms;forecast_delta_30m_gust_ms;forecast_rate_30m_gust_ms_per_min;forecast_plus_30m_cloud_cover_pct;forecast_delta_30m_cloud_cover_pct;forecast_rate_30m_cloud_cover_pct_per_min;forecast_plus_30m_shortwave_radiation_wm2;forecast_delta_30m_shortwave_radiation_wm2;forecast_rate_30m_shortwave_radiation_wm2_per_min
r4/output/r4lc5d_last_chance_decision_opportunity_panel_v1.csv,10,21,42,3,1,2,1,0,2,1,0,0,6,decision_id;year;session_regime;car_number;driver_name;decision_stage;current_speed_mph;current_rank_within_last_chance;qualification_state;bubble_speed_mph;gap_to_bubble_mph;observed_action;feasible_actions;action_quality;state_quality;exact_timestamp;exact_session_remaining_seconds;outcome;evidence_role;safe_for_policy_fit;note
r4/output/r4p11_stochastic_wait_performance_mc_results_v1.csv,9,19,41,1,0,0,1,4,0,3,1,0,0,action;risk_profile;utility_rank;mc_draws;p_improve;p_worse;p_unchanged;mean_raw_repeat_delta_mph;mean_effective_result_delta_mph;q05_effective_delta_mph;q50_effective_delta_mph;q95_effective_delta_mph;mean_wait_minutes;q50_wait_minutes;q95_wait_minutes;mean_utility;performance_source;wait_source;thermal_mph_correction_applied
r4/output/r4p6_decision_safe_conditional_dataset_v1.csv,5,56,37,0,0,0,0,2,4,5,0,0,6,year;session_id;car_number;driver_name;before_attempt_id;after_attempt_id;decision_time_utc;historical_future_run_time_utc;historical_wait_to_next_run_min;historical_wait_role;selected_hrrr_cycle_utc;cycle_age_minutes_at_decision;availability_lag_guard_minutes;current_four_lap_average_speed_mph;current_lap1_to_lap4_delta_mph;current_late_run_fade_mph;actual_next_run_speed_delta_mph;actual_next_run_improved;future_realized_weather_used;decision_time_safe;forecast_now_temp_c;forecast_future_temp_c;forecast_change_temp_c;forecast_rate_temp_c_per_min;forecast_now_dewpoint_c;forecast_future_dewpoint_c;forecast_change_dewpoint_c;forecast_rate_dewpoint_c_per_min;forecast_now_relative_humidity_pct;forecast_future_relative_humidity_pct;forecast_change_relative_humidity_pct;forecast_rate_relative_humidity_pct_per_min;forecast_now_wind_speed_10m_ms;forecast_future_wind_speed_10m_ms;forecast_change_wind_speed_10m_ms;forecast_rate_wind_speed_10m_ms_per_min;forecast_now_wind_direction_deg;forecast_future_wind_direction_deg;forecast_change_wind_direction_deg;forecast_rate_wind_direction_deg_per_min;forecast_now_pressure_hpa;forecast_future_pressure_hpa;forecast_change_pressure_hpa;forecast_rate_pressure_hpa_per_min;forecast_now_gust_ms;forecast_future_gust_ms;forecast_change_gust_ms;forecast_rate_gust_ms_per_min;forecast_now_cloud_cover_pct;forecast_future_cloud_cover_pct;forecast_change_cloud_cover_pct;forecast_rate_cloud_cover_pct_per_min;forecast_now_shortwave_radiation_wm2;forecast_future_shortwave_radiation_wm2;forecast_change_shortwave_radiation_wm2;forecast_rate_shortwave_radiation_wm2_per_min
r4/output/r4f2_canonical_fused_decision_summary_v1.csv,8,14,18,2,0,0,0,0,0,0,2,0,2,session_regime;year;rows;resolved_action_rows;unresolved_action_rows;numeric_state_rows;policy_fit_rows;validation_rows;STOP;REATTEMPT;RETAIN_AND_REATTEMPT;WITHDRAW_AND_REATTEMPT;WITHDRAW_AND_PRIORITY_REATTEMPT;UNRESOLVED
r4/output/r4lc5a_last_chance_chronology_action_ledger_v1.csv,22,22,17,1,0,0,0,0,2,1,0,1,4,year;session_regime;car_number;driver_name;event_kind;attempt_ordinal;attempt_ordinal_quality;performance_mph;completion_status;chronology_quality;relative_order;strategy_event;result_before;result_after;exact_timestamp;timestamp_status;source_class;source_name;source_url;evidence_note;safe_for_action_training;safe_for_performance_training
r4/output/r4p11_stochastic_wait_performance_mc_draws_sample_v1.csv,1500,7,14,1,0,0,0,1,0,0,1,0,0,action;risk_profile;draw_index;wait_minutes;raw_repeat_delta_mph;effective_result_delta_mph;utility
r4/output/r4lc5b_last_chance_predecision_state_summary_v1.csv,3,7,14,1,1,1,0,0,0,0,0,0,2,year;decision_episodes;high_value_replay_episodes;numeric_current_result_rows;numeric_bubble_reference_rows;session_end_bounded_rows;safe_for_action_policy_fit
r4/output/r4f2_canonical_fused_decision_summary_v2.csv,8,14,12,1,0,0,0,0,0,0,2,0,2,session_regime;year;rows;validation_rows;action_evidence_rows;decision_state_rows;counterfactual_model_input_rows;STOP;REATTEMPT;RETAIN_AND_REATTEMPT;WITHDRAW_AND_REATTEMPT;WITHDRAW_AND_PRIORITY_REATTEMPT;UNRESOLVED;roles
r4/output/r4lc5a_last_chance_chronology_action_summary_v1.csv,3,8,11,1,0,0,0,0,1,0,0,1,1,year;ledger_rows;complete_numeric_performance_rows;reattempt_events;exact_attempt_ordinals;exact_timestamps;action_training_rows;status
r4/output/r4lc2f_last_chance_session_details_summary_v1.csv,0,12,9,0,0,0,0,0,0,3,0,0,4,year;event_id;session_id;event_name;session_name;session_type;http_status;bytes;top_level_key_count;top_level_keys;result_container_keys;raw_json_path
r4/output/r4lc2f_last_chance_session_details_summary_v2.csv,3,11,6,0,0,0,0,0,0,2,0,0,4,year;event_id;session_id;session_name;session_type;event_name;http_status;bytes;top_level_keys;list_containers;raw_json_path
r4/output/r4lc5d_last_chance_decision_opportunity_summary_v1.csv,3,6,5,0,0,0,0,0,0,1,0,1,1,year;decision_rows;stop_rows;reattempt_rows;policy_fit_rows;complete_numeric_state_rows
r4/output/r4f6a_presession_physical_local_assets_v1.csv,453,12,3,0,0,0,0,0,0,0,1,0,1,file;extension;size_bytes;years;categories;intended_roles;filename_hit;content_hit;header_hit;relevance_score;csv_fields_sample;priority
r4/output/r4p6_decision_safe_probability_predictions_v1.csv,5,8,3,0,0,0,0,0,0,1,0,0,4,model_name;test_year;attempt_id;car_number;driver_name;actual_improved;predicted_probability_improve;predicted_class
r4/output/r4f6f_fast_friday_extraction_diagnostics_v1.csv,88,4,0,0,0,0,0,0,0,0,0,0,1,year;source_file;status;detail
r4/output/r4lc2f_last_chance_session_registry_v2.csv,38,9,0,0,0,0,0,0,0,0,0,0,7,year;event_id;session_id;session_name;target_last_chance;first_driver_id_seen;first_driver_name_seen;drivers_exposing_session;drivers_exposing_count
r4/output/r4lc2f_last_chance_session_registry_v1.csv,26,7,0,0,0,0,0,0,0,0,0,0,5,year;event_id;driver_id_used;driver_name_used;session_id;session_name;target_last_chance
r4/output/r4f6b_presession_candidate_semantic_verification_v1.csv,21,14,0,0,0,0,0,0,0,0,0,0,2,file;years_detected;fast_friday_mentions;numeric_speed_hits;has_driver_or_car_context;has_practice_context;has_no_tow_or_qual_sim_context;result_structure_score;meta_reference_score;classification;model_role;context_1;context_2;context_3
r4/output/r4lc2d_indy500_event_session_registry_qa_v1.csv,15,4,0,0,0,0,0,0,0,0,0,0,0,metric;value;expected;status
r4/output/r4lc2f_last_chance_session_details_qa_v2.csv,15,4,0,0,0,0,0,0,0,0,0,0,0,metric;value;expected;status
r4/output/r4f6h_presession_reference_validation_qa_v1.csv,10,4,0,0,0,0,0,0,0,0,0,0,0,metric;value;expected;status
r4/output/r4lc2f_last_chance_session_details_qa_v1.csv,9,4,0,0,0,0,0,0,0,0,0,0,0,metric;value;expected;status
r4/output/r4f2_canonical_fused_decision_qa_v2.csv,8,4,0,0,0,0,0,0,0,0,0,0,0,metric;value;expected;status
r4/output/r4f6a_presession_physical_local_asset_summary_v1.csv,7,8,0,0,0,0,0,0,0,0,0,0,2,category;files;years;year_file_counts;high_priority_files;medium_priority_files;low_priority_files;intended_role
r4/output/r4lc5a_last_chance_chronology_action_qa_v1.csv,7,4,0,0,0,0,0,0,0,0,0,0,0,metric;value;expected;status
r4/output/r4p11_stochastic_wait_performance_mc_qa_v1.csv,7,4,0,0,0,0,0,0,0,0,0,0,0,metric;value;expected;status
r4/output/r4p6_decision_safe_probability_qa_v1.csv,7,4,0,0,0,0,0,0,0,0,0,0,0,metric;value;expected;status
r4/output/r4f2_canonical_fused_decision_qa_v1.csv,6,4,0,0,0,0,0,0,0,0,0,0,0,metric;value;expected;status
r4/output/r4f6b_presession_candidate_year_coverage_v1.csv,6,6,0,0,0,0,0,0,0,0,0,0,1,year;candidate_files;likely_numeric_files;editorial_numeric_files;mention_or_meta_only_files;local_reference_status
