decision_id,year,session_regime,driver_name,car_number,source_attempt_id,decision_time_utc,action,current_result_mph,current_rank,benchmark_type,benchmark_rank,benchmark_speed_mph,requires_wait_draw,requires_new_attempt,protected_result_retained,withdrawal_risk,wait_model_available
DAY1_2020_10_POST_FIRST_ATTEMPT,2020,DAY1,Felix Rosenqvist,10,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,2020-08-15T16:22:25+00:00,STOP,230.254,9,FAST_NINE_ADVANCEMENT,9,230.254,False,False,True,False,True
DAY1_2020_10_POST_FIRST_ATTEMPT,2020,DAY1,Felix Rosenqvist,10,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,2020-08-15T16:22:25+00:00,RETAIN_AND_REATTEMPT,230.254,9,FAST_NINE_ADVANCEMENT,9,230.254,True,True,True,False,True
DAY1_2020_10_POST_FIRST_ATTEMPT,2020,DAY1,Felix Rosenqvist,10,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,2020-08-15T16:22:25+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,230.254,9,FAST_NINE_ADVANCEMENT,9,230.254,True,True,False,True,True
DAY1_2020_14_POST_FIRST_ATTEMPT,2020,DAY1,Tony Kanaan,14,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,2020-08-15T17:19:05+00:00,STOP,229.154,18,FAST_NINE_ADVANCEMENT,9,230.539,False,False,True,False,True
DAY1_2020_14_POST_FIRST_ATTEMPT,2020,DAY1,Tony Kanaan,14,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,2020-08-15T17:19:05+00:00,RETAIN_AND_REATTEMPT,229.154,18,FAST_NINE_ADVANCEMENT,9,230.539,True,True,True,False,True
DAY1_2020_14_POST_FIRST_ATTEMPT,2020,DAY1,Tony Kanaan,14,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,2020-08-15T17:19:05+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,229.154,18,FAST_NINE_ADVANCEMENT,9,230.539,True,True,False,True,True
DAY1_2020_20_POST_FIRST_ATTEMPT,2020,DAY1,Ed Carpenter,20,9a2e168d-3dda-5e76-8daf-588c20d91341,2020-08-15T16:27:25+00:00,STOP,229.811,12,FAST_NINE_ADVANCEMENT,9,230.254,False,False,True,False,True
DAY1_2020_20_POST_FIRST_ATTEMPT,2020,DAY1,Ed Carpenter,20,9a2e168d-3dda-5e76-8daf-588c20d91341,2020-08-15T16:27:25+00:00,RETAIN_AND_REATTEMPT,229.811,12,FAST_NINE_ADVANCEMENT,9,230.254,True,True,True,False,True
DAY1_2020_20_POST_FIRST_ATTEMPT,2020,DAY1,Ed Carpenter,20,9a2e168d-3dda-5e76-8daf-588c20d91341,2020-08-15T16:27:25+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,229.811,12,FAST_NINE_ADVANCEMENT,9,230.254,True,True,False,True,True
DAY1_2020_22_POST_FIRST_ATTEMPT,2020,DAY1,Simon Pagenaud,22,2fb75f25-92ad-5b41-90a1-3a1457ae8012,2020-08-15T17:09:06+00:00,STOP,228.836,18,FAST_NINE_ADVANCEMENT,9,230.472,False,False,True,False,True
DAY1_2020_22_POST_FIRST_ATTEMPT,2020,DAY1,Simon Pagenaud,22,2fb75f25-92ad-5b41-90a1-3a1457ae8012,2020-08-15T17:09:06+00:00,RETAIN_AND_REATTEMPT,228.836,18,FAST_NINE_ADVANCEMENT,9,230.472,True,True,True,False,True
DAY1_2020_22_POST_FIRST_ATTEMPT,2020,DAY1,Simon Pagenaud,22,2fb75f25-92ad-5b41-90a1-3a1457ae8012,2020-08-15T17:09:06+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,228.836,18,FAST_NINE_ADVANCEMENT,9,230.472,True,True,False,True,True
DAY1_2020_24_POST_FIRST_ATTEMPT,2020,DAY1,Sage Karam,24,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,2020-08-15T15:49:55+00:00,STOP,227.099,9,FAST_NINE_ADVANCEMENT,9,227.099,False,False,True,False,True
DAY1_2020_24_POST_FIRST_ATTEMPT,2020,DAY1,Sage Karam,24,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,2020-08-15T15:49:55+00:00,RETAIN_AND_REATTEMPT,227.099,9,FAST_NINE_ADVANCEMENT,9,227.099,True,True,True,False,True
DAY1_2020_24_POST_FIRST_ATTEMPT,2020,DAY1,Sage Karam,24,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,2020-08-15T15:49:55+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,227.099,9,FAST_NINE_ADVANCEMENT,9,227.099,True,True,False,True,True
DAY1_2020_27_POST_FIRST_ATTEMPT,2020,DAY1,Alexander Rossi,27,81f0c457-15fb-5f7f-9649-8663a142764d,2020-08-15T15:54:05+00:00,STOP,231.268,1,FAST_NINE_ADVANCEMENT,9,228.88,False,False,True,False,True
DAY1_2020_27_POST_FIRST_ATTEMPT,2020,DAY1,Alexander Rossi,27,81f0c457-15fb-5f7f-9649-8663a142764d,2020-08-15T15:54:05+00:00,RETAIN_AND_REATTEMPT,231.268,1,FAST_NINE_ADVANCEMENT,9,228.88,True,True,True,False,True
DAY1_2020_27_POST_FIRST_ATTEMPT,2020,DAY1,Alexander Rossi,27,81f0c457-15fb-5f7f-9649-8663a142764d,2020-08-15T15:54:05+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,231.268,1,FAST_NINE_ADVANCEMENT,9,228.88,True,True,False,True,True
