fused_decision_id,regime,source_decision_id,protected_result_exists,performance_state_class,source_file
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_10_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_14_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_20_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_22_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_24_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_27_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_28_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_29_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_3_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_47_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_51_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_55_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_55_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_59_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_59_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_66_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_66_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_67_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_67_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_7_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_7_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_8_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_8_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_81_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_81_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_88_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_88_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2020_98_POST_FIRST_ATTEMPT,DAY1,DAY1_2020_98_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2021_1_POST_FIRST_ATTEMPT,DAY1,DAY1_2021_1_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2021_11_POST_FIRST_ATTEMPT,DAY1,DAY1_2021_11_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2021_12_POST_FIRST_ATTEMPT,DAY1,DAY1_2021_12_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2021_14_POST_FIRST_ATTEMPT,DAY1,DAY1_2021_14_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2021_15_POST_FIRST_ATTEMPT,DAY1,DAY1_2021_15_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2021_16_POST_FIRST_ATTEMPT,DAY1,DAY1_2021_16_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
DAY1::DAY1_2021_2_POST_FIRST_ATTEMPT,DAY1,DAY1_2021_2_POST_FIRST_ATTEMPT,True,FULL_PERFORMANCE_MODEL_STATE,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv
