file,rows,matching_columns
r4/output/r4p11_stochastic_wait_performance_mc_draws_sample_v1.csv,1500,wait_minutes
r4/output/r4f8b_final_mc_action_expansion_v1.csv,150,requires_wait_draw;wait_model_available
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,148,wait_model_available
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,148,wait_model_available
r4/output/r4f1_day1_fused_interface_v1.csv,138,wait_model_available
r4/output/r4f3_shared_state_linkage_audit_v1.csv,50,wait_model_structural_available;historical_wait_observed
r4/output/r4f3a_shared_state_linkage_repaired_v1.csv,50,wait_model_structural_available;historical_wait_observed
r4/output/r4f3b_shared_state_linkage_thermal_fixed_v1.csv,50,wait_model_structural_available;historical_wait_observed
r4/output/r4f4_decision_window_residual_context_v1.csv,50,wait_model_structural_available;historical_wait_observed
r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,50,wait_model_available
r4/output/r4f8a_action_mc_candidate_files_v1.csv,42,queue_columns;completion_columns
r4/output/r4p10_thermal_conditioned_repeat_dataset_v1.csv,39,historical_wait_used_as_feature
r4/output/r4lc5a_last_chance_chronology_action_ledger_v1.csv,22,completion_status
r4/output/r4lc5e_last_chance_fused_interface_v1.csv,10,wait_model_available
r4/output/r4lc5e_last_chance_fused_interface_v2.csv,10,wait_model_available
r4/output/r4p11_stochastic_wait_performance_mc_results_v1.csv,9,mean_wait_minutes;q50_wait_minutes;q95_wait_minutes;wait_source
r4/output/r4p6_decision_safe_conditional_dataset_v1.csv,5,historical_wait_to_next_run_min;historical_wait_role
