regime,field,decision_rows,resolved_rows,unresolved_rows,resolved_fraction,resolution_rule
ALL,decision_time_utc,60,50,10,0.833333,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
ALL,year,60,60,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
ALL,car_number,60,60,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
ALL,driver_name,60,60,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
ALL,source_attempt_id,60,57,3,0.950000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
ALL,current_protected_result_speed_mph,60,56,4,0.933333,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
ALL,current_best_speed_mph,60,57,3,0.950000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
ALL,current_rank,60,60,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
ALL,current_best_rank,60,60,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
ALL,benchmark_speed_mph,60,60,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
ALL,benchmark_rank,60,60,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
ALL,session_remaining_seconds,60,0,60,0.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
ALL,decision_state_leaderboard_context,60,60,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,decision_time_utc,50,50,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,year,50,50,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,car_number,50,50,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,driver_name,50,50,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,source_attempt_id,50,50,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,current_protected_result_speed_mph,50,50,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,current_best_speed_mph,50,50,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,current_rank,50,50,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,current_best_rank,50,50,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,benchmark_speed_mph,50,50,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,benchmark_rank,50,50,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,session_remaining_seconds,50,0,50,0.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
DAY1,decision_state_leaderboard_context,50,50,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,decision_time_utc,10,0,10,0.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,year,10,10,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,car_number,10,10,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
