fused_decision_id,regime,protected_result_exists,feasible_action,current_result_retained_before_attempt,requires_new_attempt,priority_lane_semantics,year,car_number,driver_name,source_decision_id,source_attempt_id,decision_time_utc,decision_time_quality,session_remaining_seconds,protected_result_speed_before_action_mph,current_best_speed_mph,current_rank,benchmark_type,benchmark_rank,benchmark_speed_mph,margin_to_benchmark_mph,qualification_state,decision_state_leaderboard_context,numeric_state_join_status,numeric_state_unresolved_fields,numeric_state_source_interface,leakage_safe
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,True,STOP,True,False,NONE,2020,10,Felix Rosenqvist,DAY1_2020_10_POST_FIRST_ATTEMPT,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,2020-08-15T16:22:25+00:00,APPROXIMATE_POINT,,230.254000,230.254000,9,FAST_NINE_ADVANCEMENT,9,230.254000,0.000000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=9|CURRENT_BEST_MPH=230.254|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.254|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,True,RETAIN_AND_REATTEMPT,True,True,DAY1_LANE2_RETAIN,2020,10,Felix Rosenqvist,DAY1_2020_10_POST_FIRST_ATTEMPT,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,2020-08-15T16:22:25+00:00,APPROXIMATE_POINT,,230.254000,230.254000,9,FAST_NINE_ADVANCEMENT,9,230.254000,0.000000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=9|CURRENT_BEST_MPH=230.254|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.254|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,True,WITHDRAW_AND_PRIORITY_REATTEMPT,False,True,DAY1_LANE1_WITHDRAW_PRIORITY,2020,10,Felix Rosenqvist,DAY1_2020_10_POST_FIRST_ATTEMPT,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,2020-08-15T16:22:25+00:00,APPROXIMATE_POINT,,230.254000,230.254000,9,FAST_NINE_ADVANCEMENT,9,230.254000,0.000000,CURRENTLY_INSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=9|CURRENT_BEST_MPH=230.254|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.254|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,True,STOP,True,False,NONE,2020,14,Tony Kanaan,DAY1_2020_14_POST_FIRST_ATTEMPT,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,2020-08-15T17:19:05+00:00,APPROXIMATE_POINT,,229.154000,229.154000,18,FAST_NINE_ADVANCEMENT,9,230.539000,-1.385000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=18|CURRENT_BEST_MPH=229.154|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.539|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,True,RETAIN_AND_REATTEMPT,True,True,DAY1_LANE2_RETAIN,2020,14,Tony Kanaan,DAY1_2020_14_POST_FIRST_ATTEMPT,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,2020-08-15T17:19:05+00:00,APPROXIMATE_POINT,,229.154000,229.154000,18,FAST_NINE_ADVANCEMENT,9,230.539000,-1.385000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=18|CURRENT_BEST_MPH=229.154|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.539|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,True,WITHDRAW_AND_PRIORITY_REATTEMPT,False,True,DAY1_LANE1_WITHDRAW_PRIORITY,2020,14,Tony Kanaan,DAY1_2020_14_POST_FIRST_ATTEMPT,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,2020-08-15T17:19:05+00:00,APPROXIMATE_POINT,,229.154000,229.154000,18,FAST_NINE_ADVANCEMENT,9,230.539000,-1.385000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=18|CURRENT_BEST_MPH=229.154|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.539|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,True,STOP,True,False,NONE,2020,20,Ed Carpenter,DAY1_2020_20_POST_FIRST_ATTEMPT,9a2e168d-3dda-5e76-8daf-588c20d91341,2020-08-15T16:27:25+00:00,APPROXIMATE_POINT,,229.811000,229.811000,12,FAST_NINE_ADVANCEMENT,9,230.254000,-0.443000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=12|CURRENT_BEST_MPH=229.811|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.254|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,True,RETAIN_AND_REATTEMPT,True,True,DAY1_LANE2_RETAIN,2020,20,Ed Carpenter,DAY1_2020_20_POST_FIRST_ATTEMPT,9a2e168d-3dda-5e76-8daf-588c20d91341,2020-08-15T16:27:25+00:00,APPROXIMATE_POINT,,229.811000,229.811000,12,FAST_NINE_ADVANCEMENT,9,230.254000,-0.443000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=12|CURRENT_BEST_MPH=229.811|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.254|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,True,WITHDRAW_AND_PRIORITY_REATTEMPT,False,True,DAY1_LANE1_WITHDRAW_PRIORITY,2020,20,Ed Carpenter,DAY1_2020_20_POST_FIRST_ATTEMPT,9a2e168d-3dda-5e76-8daf-588c20d91341,2020-08-15T16:27:25+00:00,APPROXIMATE_POINT,,229.811000,229.811000,12,FAST_NINE_ADVANCEMENT,9,230.254000,-0.443000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=12|CURRENT_BEST_MPH=229.811|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.254|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,True,STOP,True,False,NONE,2020,22,Simon Pagenaud,DAY1_2020_22_POST_FIRST_ATTEMPT,2fb75f25-92ad-5b41-90a1-3a1457ae8012,2020-08-15T17:09:06+00:00,APPROXIMATE_POINT,,228.836000,228.836000,18,FAST_NINE_ADVANCEMENT,9,230.472000,-1.636000,CURRENTLY_OUTSIDE_ADVANCEMENT,DAY1|CURRENT_RANK=18|CURRENT_BEST_MPH=228.836|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.472|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT,COMPLETE_EXCEPT_EXPLICIT_UNRESOLVED_FIELDS,session_remaining_seconds,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,True
