metric,value,expected,status
decision_universe_unchanged,60,60,PASS
action_universe_unchanged,170,170,PASS
stop_wait_exactly_zero,{'0.000000'},{'0.000000'},PASS
stop_probability_mass_one,{'1.000000'},{'1.000000'},PASS
no_stop_stochastic_draws,False,False,PASS
day1_retain_withdraw_distribution_ids_distinct,2,2,PASS
last_chance_protection_actions_distinct,2,2,PASS
all_non_stop_probability_mass_sums_one,True,True,PASS
direct_queue_wait_observations,0,0,WARN
old_r4p11_final_probabilities_reused,False,False,PASS
old_r4p11_generated_draws_not_evidence,REJECTED_AS_INDEPENDENT_EVIDENCE,REJECTED_AS_INDEPENDENT_EVIDENCE,PASS
inter_attempt_gap_not_queue_wait,PROHIBITED,PROHIBITED,PASS
throughput_proxy_not_direct_wait,0,0,PASS
no_fake_queue_entry_timestamps,False,False,PASS
no_fake_last_chance_decision_timestamps,False,False,PASS
no_fake_session_remaining,NOT_DEFINED_IN_R4F8F,NOT_DEFINED_IN_R4F8F,PASS
unknown_remaining_not_infinite,False,False,PASS
all_assumptions_versioned,True,True,PASS
all_evidence_traceable,True,True,PASS
no_final_mc_run,True,True,PASS
last_chance_prior_support,WEAK,WEAK,WARN
r4f7_r4f8b_to_r4f8e_hashes_preserved,True,True,PASS
