model_version,fused_decision_id,source_decision_id,regime,year,car_number,driver_name,driver_key,source_attempt_id,decision_time_utc,fast_friday_reference_mph,fast_friday_reference_type,reference_source_file,same_session_other_support_count,same_session_support_basis,observed_field_mean_residual_mph,frozen_prior_mean_residual_mph,shrinkage_k,posterior_calibration_mph,predictive_mean_speed_mph,predictive_sd_mph,q05_speed_mph,q25_speed_mph,q50_speed_mph,q75_speed_mph,q95_speed_mph,uncertainty_class,performance_sample_ready,readiness_status,degraded_or_unresolved_reasons,point_prediction_formula,uncertainty_formula,calibration_evidence_file,uncertainty_parameter_file,future_outcome_or_leaderboard_used
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,2020,10,Felix Rosenqvist,felix rosenqvist,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,2020-08-15T16:22:25+00:00,230.432000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,14,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.775857142857,-0.685759615385,3.000000,-0.759957579186,229.672042420814,1.006927726693,228.015793697485,228.992879989972,229.672042420814,230.351204851657,231.328291144143,MODERATE_N_10_19,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,2020,14,Tony Kanaan,tony kanaan,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,2020-08-15T17:19:05+00:00,229.946000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,23,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.896695652174,-0.685759615385,3.000000,-0.872356878698,229.073643121302,0.982030913133,227.458346012056,228.411273336018,229.073643121302,229.736012906586,230.688940230547,LATER_N_20_PLUS,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,2020,20,Ed Carpenter,ed carpenter,9a2e168d-3dda-5e76-8daf-588c20d91341,2020-08-15T16:27:25+00:00,229.563000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,15,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.736000000000,-0.685759615385,3.000000,-0.727626602564,228.835373397436,1.002973576869,227.185628671786,228.158878000120,228.835373397436,229.511868794752,230.485118123085,MODERATE_N_10_19,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,2020,22,Simon Pagenaud,simon pagenaud,2fb75f25-92ad-5b41-90a1-3a1457ae8012,2020-08-15T17:09:06+00:00,230.189000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,21,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.815761904762,-0.685759615385,3.000000,-0.799511618590,229.389488381410,0.985991546434,227.767676610115,228.724447189561,229.389488381410,230.054529573260,231.011300152706,LATER_N_20_PLUS,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,2020,24,Sage Karam,sage karam,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,2020-08-15T15:49:55+00:00,228.187000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,8,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.666375000000,-0.685759615385,3.000000,-0.671661713287,227.515338286713,1.044955962974,225.796538681011,226.810526200281,227.515338286713,228.220150373146,229.234137892416,LIMITED_N_3_9,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,2020,27,Alexander Rossi,alexander rossi,81f0c457-15fb-5f7f-9649-8663a142764d,2020-08-15T15:54:05+00:00,231.859000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,9,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.713222222222,-0.685759615385,3.000000,-0.706356570513,231.152643429487,1.036102952614,229.448405729985,230.453802607801,231.152643429487,231.851484251173,232.856881128989,LIMITED_N_3_9,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,2020,28,Ryan Hunter-Reay,ryan hunter reay,d155ad85-3d5c-5b55-95d6-40ba696a0bde,2020-08-15T16:04:05+00:00,232.124000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,11,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.730000000000,-0.685759615385,3.000000,-0.720519917582,231.403480082418,1.022036154054,229.722380207546,230.714127172178,231.403480082418,232.092832992657,233.084579957289,MODERATE_N_10_19,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,2020,29,James Hinchcliffe,james hinchcliffe,917d4c7e-5c5e-5976-aa32-50a7bc958440,2020-08-15T16:32:25+00:00,231.967000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,16,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.674500000000,-0.685759615385,3.000000,-0.676277834008,231.290722165992,0.999422392581,229.646818618699,230.616622006080,231.290722165992,231.964822325904,232.934625713285,MODERATE_N_10_19,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,2020,3,Helio Castroneves,helio castroneves,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,2020-08-15T17:34:05+00:00,228.451000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,26,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.932384615385,-0.685759615385,3.000000,-0.906871684350,227.544128315650,0.977091930269,225.936955110282,226.885089823684,227.544128315650,228.203166807616,229.151301521018,LATER_N_20_PLUS,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,2020,47,Conor Daly,conor daly,a7f0ef57-a971-5870-9606-1fe1cd378e2a,2020-08-15T16:58:15+00:00,232.337000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,20,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.733900000000,-0.685759615385,3.000000,-0.727620819398,231.609379180602,0.988223143708,229.983896758437,230.942832799264,231.609379180602,232.275925561940,233.234861602767,LATER_N_20_PLUS,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
