model_version,test_year,training_years,attempt_id,driver_key,performance_time_utc,same_session_other_support_count,support_class,reference_speed_mph,observed_speed_mph,held_out_prior_mean_residual_mph,past_other_mean_residual_mph,posterior_calibration_mph,predicted_speed_mph,prediction_error_observed_minus_predicted_mph,absolute_error_mph,estimation_role,future_information_used
R4F8G_PERFORMANCE_UNCERTAINTY_V1,2020,2021;2023,16cb7863-a6d0-5895-93e4-a76ac2c6c71f,graham rahal,2020-08-15T15:00:45Z,0,EARLY_BROAD_N_0_2,231.239000,230.822000,-0.567984615385,0.000000000000,-0.567984615385,230.671015384615,0.150984615385,0.150984615385,DEVELOPMENT_LOYO_UNCERTAINTY_CALIBRATION,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,2020,2021;2023,a6295479-1996-5baa-b116-ab56a03c118d,dalton kellett,2020-08-15T15:11:35Z,1,EARLY_BROAD_N_0_2,229.099000,228.880000,-0.567984615385,-0.417000000000,-0.530238461538,228.568761538462,0.311238461538,0.311238461538,DEVELOPMENT_LOYO_UNCERTAINTY_CALIBRATION,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,2020,2021;2023,e132bf44-6808-5d6b-819c-a993af279439,rinus veekay,2020-08-15T15:16:35Z,2,EARLY_BROAD_N_0_2,230.331000,231.114000,-0.567984615385,-0.318000000000,-0.467990769231,229.863009230769,1.250990769231,1.250990769231,DEVELOPMENT_LOYO_UNCERTAINTY_CALIBRATION,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,2020,2021;2023,954d29f8-6770-5c41-9322-b23c885935ef,jack harvey,2020-08-15T15:20:45Z,3,LIMITED_N_3_9,231.600000,229.861000,-0.567984615385,0.049000000000,-0.259492307692,231.340507692308,-1.479507692308,1.479507692308,DEVELOPMENT_LOYO_UNCERTAINTY_CALIBRATION,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,2020,2021;2023,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,scott dixon,2020-08-15T15:25:45Z,4,LIMITED_N_3_9,232.290000,231.094000,-0.567984615385,-0.398000000000,-0.470850549451,231.819149450549,-0.725149450549,0.725149450549,DEVELOPMENT_LOYO_UNCERTAINTY_CALIBRATION,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,2020,2021;2023,e2df4919-a45f-5b41-916e-55908e4f1abb,spencer pigot,2020-08-15T15:29:55Z,5,LIMITED_N_3_9,232.116000,230.539000,-0.567984615385,-0.557600000000,-0.561494230769,231.554505769231,-1.015505769231,1.015505769231,DEVELOPMENT_LOYO_UNCERTAINTY_CALIBRATION,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,2020,2021;2023,194c9baa-3297-571e-82bf-ac3ba81e07fc,pato o ward,2020-08-15T15:34:55Z,6,LIMITED_N_3_9,230.581000,229.902000,-0.567984615385,-0.727500000000,-0.674328205128,229.906671794872,-0.004671794872,0.004671794872,DEVELOPMENT_LOYO_UNCERTAINTY_CALIBRATION,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,2020,2021;2023,00d1c34a-f916-5fa9-803b-2cc6962f2595,josef newgarden,2020-08-15T15:39:55Z,7,LIMITED_N_3_9,230.583000,230.296000,-0.567984615385,-0.720571428571,-0.674795384615,229.908204615385,0.387795384615,0.387795384615,DEVELOPMENT_LOYO_UNCERTAINTY_CALIBRATION,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,2020,2021;2023,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,sage karam,2020-08-15T15:49:55Z,8,LIMITED_N_3_9,228.187000,227.099000,-0.567984615385,-0.666375000000,-0.639541258741,227.547458741259,-0.448458741259,0.448458741259,DEVELOPMENT_LOYO_UNCERTAINTY_CALIBRATION,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,2020,2021;2023,81f0c457-15fb-5f7f-9649-8663a142764d,alexander rossi,2020-08-15T15:54:05Z,9,LIMITED_N_3_9,231.859000,231.268000,-0.567984615385,-0.713222222222,-0.676912820513,231.182087179487,0.085912820513,0.085912820513,DEVELOPMENT_LOYO_UNCERTAINTY_CALIBRATION,False
