fused_decision_id,regime,feasible_action,performance_sample_ready,wait_model_match_count,wait_model_ready,wait_distribution_id,wait_mean_minutes,wait_median_minutes,wait_q95_minutes,current_state_ready,decision_time_available,session_remaining_available,cutoff_completion_ready,pre_mc_core_ready_except_cutoff
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,STOP,True,1,True,DETERMINISTIC_ZERO_WAIT,0.0,0.0,0.0,True,True,False,False,True
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,True,4,True,,,,,True,True,False,False,True
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,True,4,True,,,,,True,True,False,False,True
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,STOP,True,1,True,DETERMINISTIC_ZERO_WAIT,0.0,0.0,0.0,True,True,False,False,True
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,True,4,True,,,,,True,True,False,False,True
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,True,4,True,,,,,True,True,False,False,True
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,STOP,True,1,True,DETERMINISTIC_ZERO_WAIT,0.0,0.0,0.0,True,True,False,False,True
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,True,4,True,,,,,True,True,False,False,True
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,True,4,True,,,,,True,True,False,False,True
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,STOP,True,1,True,DETERMINISTIC_ZERO_WAIT,0.0,0.0,0.0,True,True,False,False,True
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,True,4,True,,,,,True,True,False,False,True
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,True,4,True,,,,,True,True,False,False,True
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,STOP,True,1,True,DETERMINISTIC_ZERO_WAIT,0.0,0.0,0.0,True,True,False,False,True
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,True,4,True,,,,,True,True,False,False,True
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,True,4,True,,,,,True,True,False,False,True
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,STOP,True,1,True,DETERMINISTIC_ZERO_WAIT,0.0,0.0,0.0,True,True,False,False,True
