dataset_group,filename,dataset_rows,field,nonempty_rows,numeric_rows,example_values
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,fused_decision_id,60,0,DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT | DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT | DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,regime,60,0,DAY1 | LAST_CHANCE
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,source_decision_id,60,0,DAY1_2020_10_POST_FIRST_ATTEMPT | DAY1_2020_14_POST_FIRST_ATTEMPT | DAY1_2020_20_POST_FIRST_ATTEMPT
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,source_file,60,0,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv | r4/output/r4lc5e_last_chance_fused_interface_v2.csv
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,year,60,60,2020 | 2021 | 2023
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,car_number,60,60,10 | 14 | 20
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,driver_name,60,0,Felix Rosenqvist | Tony Kanaan | Ed Carpenter
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,decision_stage,60,0,POST_FIRST_ATTEMPT | POST_GUARANTEED_BREAK | FINAL_DECISION
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,source_attempt_id,57,7,6041dd38-4b6d-5e38-81fd-8006cbe0bafd | cbdbf766-10d3-516e-83ad-3cb56f8c02fb | 9a2e168d-3dda-5e76-8daf-588c20d91341
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,source_attempt_id_status,60,0,RESOLVED_CANONICAL_ATTEMPT_ID | RESOLVED_OFFICIAL_SESSION_DETAIL_ID_BY_EXACT_STATE_SPEED | UNRESOLVED_WITHOUT_SAFE_ATTEMPT_LEVEL_JOIN
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,source_result_context,60,0,POST_FIRST_ATTEMPT | POST_GUARANTEED_BREAK | FINAL_DECISION
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,decision_time_utc,50,0,2020-08-15T16:22:25+00:00 | 2020-08-15T17:19:05+00:00 | 2020-08-15T16:27:25+00:00
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,decision_time_quality,60,0,APPROXIMATE_POINT | UNKNOWN
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,session_remaining_seconds,0,0,
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,session_remaining_status,60,0,UNRESOLVED_NO_DECISION_SAFE_SESSION_END_IN_SOURCE_INTERFACE | UNRESOLVED_IN_FROZEN_LAST_CHANCE_INTERFACE
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,protected_result_exists,60,0,True | False
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,current_protected_result_speed_mph,56,56,230.254000 | 229.154000 | 229.811000
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,current_best_speed_mph,57,57,230.254000 | 229.154000 | 229.811000
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,current_rank,60,60,9 | 18 | 12
f8e_decision,r4f8e_reconstructed_decision_numeric_state_v1.csv,60,current_best_rank,60,60,9 | 18 | 12
