path,file_type,dataset_rows,field,nonempty_count,unique_nonempty_count,example_values
year_coverage_audit.csv,csv,5,live_leaderboard_reconstructable,5,3,partial | yes | no
r4/output/r4lc4_last_chance_repeat_group_summary_v1.csv,csv,13,position_finish_values,13,9,72;73 | 32 | 33 | 31 | 74;75
r4/output/r4f1_day1_fused_interface_v1.csv,csv,138,later_attempt_count,138,4,1 | 0 | 2 | 3
r4/output/r4f1_day1_fused_interface_v1.csv,csv,138,current_rank,79,23,5 | 9 | 18 | 1 | 12
r4/output/r4f1_day1_fused_interface_v1.csv,csv,138,benchmark_type,138,2,FAST_NINE_ADVANCEMENT | TOP_12_ADVANCEMENT
r4/output/r4f1_day1_fused_interface_v1.csv,csv,138,benchmark_rank,138,2,9 | 12
r4/output/r4f1_day1_fused_interface_v1.csv,csv,138,benchmark_speed_mph,50,23,230.254000 | 230.539000 | 230.472000 | 227.099000 | 228.880000
r4/output/r4f1_day1_fused_interface_v1.csv,csv,138,margin_to_benchmark_mph,50,47,0.000000 | -1.385000 | -0.443000 | -1.636000 | 2.388000
r4/output/r4f8a_action_mc_candidate_files_v1.csv,csv,42,benchmark_columns,42,5,4 | 0 | 3 | 2 | 1
r4/output/r4f8a_action_mc_candidate_files_v1.csv,csv,42,rank_columns,42,3,2 | 0 | 1
r4/output/r4lc2c_bundle_endpoint_hits_v1.csv,csv,433,position,433,433,73945 | 74119 | 74717 | 74761 | 74784
r4/output/r4f6k_2021_fast_friday_general_reference_rows_v1.csv,csv,35,pdf_position,35,35,1 | 2 | 3 | 4 | 5
r4/output/r4f6g_fast_friday_all_reference_evidence_v1.csv,csv,81,pdf_position,68,34,14 | 1 | 12 | 7 | 33
r4/output/r4f8e_reconstructed_action_numeric_interface_v1.csv,csv,170,current_rank,170,23,9 | 18 | 12 | 1 | 3
r4/output/r4f8e_reconstructed_action_numeric_interface_v1.csv,csv,170,benchmark_type,170,3,FAST_NINE_ADVANCEMENT | TOP_12_ADVANCEMENT | LAST_CHANCE_SURVIVAL_BUBBLE
r4/output/r4f8e_reconstructed_action_numeric_interface_v1.csv,csv,170,benchmark_rank,170,3,9 | 12 | 3
r4/output/r4f8e_reconstructed_action_numeric_interface_v1.csv,csv,170,benchmark_speed_mph,170,26,230.254000 | 230.539000 | 230.472000 | 227.099000 | 228.880000
r4/output/r4f8e_reconstructed_action_numeric_interface_v1.csv,csv,170,margin_to_benchmark_mph,164,52,0.000000 | -1.385000 | -0.443000 | -1.636000 | 2.388000
r4/output/r4f8e_reconstructed_action_numeric_interface_v1.csv,csv,170,decision_state_leaderboard_context,170,60,DAY1|CURRENT_RANK=9|CURRENT_BEST_MPH=230.254|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.254|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT | DAY1|CURRENT_RANK=18|CURRENT_BEST_MPH=229.154|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.539|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT | DAY1|CURRENT_RANK=12|CURRENT_BEST_MPH=229.811|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.254|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT | DAY1|CURRENT_RANK=18|CURRENT_BEST_MPH=228.836|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.472|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT | DAY1|CURRENT_RANK=9|CURRENT_BEST_MPH=227.099|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=227.099|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT
r4/output/r4f8h_c_cutoff_completion_sensitivity_policy_v1.csv,csv,7,existing_grid_completion_rate,7,5,0.0 | 0.25 | 0.5 | 0.75 | 1.0
r4/output/r4f4b_repeat_residual_temporal_position_audit_v2.csv,csv,40,temporal_position,40,2,AFTER_ALL_DEVELOPMENT_DECISIONS | NO_DEVELOPMENT_DECISION_TIMES
r4/output/r4f8f_wait_support_summary_v1.csv,csv,6,completion_before_cutoff_status,6,2,NOT_APPLICABLE_NO_ATTEMPT | REQUIRES_LATER_SEPARATE_POLICY_AND_SESSION_REMAINING_INPUT
r4/output/r4f6g_fast_friday_all_reference_evidence_v2.csv,csv,81,pdf_position,68,34,1 | 2 | 3 | 4 | 5
r4/output/r4f4b_repeat_residual_temporal_position_audit_v1.csv,csv,40,temporal_position,40,2,AFTER_ALL_DEVELOPMENT_DECISIONS | NO_DEVELOPMENT_DECISION_TIMES
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,csv,148,current_rank,89,23,5 | 9 | 18 | 1 | 12
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,csv,148,benchmark_type,148,3,FAST_NINE_ADVANCEMENT | TOP_12_ADVANCEMENT | LAST_CHANCE_SURVIVAL_BUBBLE
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,csv,148,benchmark_rank,138,2,9 | 12
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,csv,148,benchmark_speed_mph,60,26,230.254000 | 230.539000 | 230.472000 | 227.099000 | 228.880000
r4/output/r4f2_canonical_fused_decision_dataset_v2.csv,csv,148,margin_to_benchmark_mph,57,52,0.000000 | -1.385000 | -0.443000 | -1.636000 | 2.388000
r4/output/r4f8e_reconstructed_decision_numeric_state_v1.csv,csv,60,current_rank,60,23,9 | 18 | 12 | 1 | 3
r4/output/r4f8e_reconstructed_decision_numeric_state_v1.csv,csv,60,current_best_rank,60,23,9 | 18 | 12 | 1 | 3
r4/output/r4f8e_reconstructed_decision_numeric_state_v1.csv,csv,60,benchmark_type,60,3,FAST_NINE_ADVANCEMENT | TOP_12_ADVANCEMENT | LAST_CHANCE_SURVIVAL_BUBBLE
r4/output/r4f8e_reconstructed_decision_numeric_state_v1.csv,csv,60,benchmark_rank,60,3,9 | 12 | 3
r4/output/r4f8e_reconstructed_decision_numeric_state_v1.csv,csv,60,benchmark_rank_basis,60,2,DIRECT_SOURCE_FIELD | FROZEN_LAST_CHANCE_TOP_THREE_CONTRACT
r4/output/r4f8e_reconstructed_decision_numeric_state_v1.csv,csv,60,benchmark_speed_mph,60,26,230.254000 | 230.539000 | 230.472000 | 227.099000 | 228.880000
r4/output/r4f8e_reconstructed_decision_numeric_state_v1.csv,csv,60,margin_to_benchmark_mph,57,52,0.000000 | -1.385000 | -0.443000 | -1.636000 | 2.388000
r4/output/r4f8e_reconstructed_decision_numeric_state_v1.csv,csv,60,decision_state_leaderboard_context,60,60,DAY1|CURRENT_RANK=9|CURRENT_BEST_MPH=230.254|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.254|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT | DAY1|CURRENT_RANK=18|CURRENT_BEST_MPH=229.154|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.539|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT | DAY1|CURRENT_RANK=12|CURRENT_BEST_MPH=229.811|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.254|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT | DAY1|CURRENT_RANK=18|CURRENT_BEST_MPH=228.836|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=230.472|QUALIFICATION_STATE=CURRENTLY_OUTSIDE_ADVANCEMENT | DAY1|CURRENT_RANK=9|CURRENT_BEST_MPH=227.099|BENCHMARK=FAST_NINE_ADVANCEMENT|BENCHMARK_RANK=9|BENCHMARK_MPH=227.099|QUALIFICATION_STATE=CURRENTLY_INSIDE_ADVANCEMENT
r4/output/r4f8e_reconstructed_decision_numeric_state_v1.csv,csv,60,leaderboard_context_quality,60,4,SOURCE_DECISION_STATE | FROZEN_LAST_CHANCE_STATE_MEDIUM | FROZEN_LAST_CHANCE_STATE_LOW | FROZEN_LAST_CHANCE_STATE_HIGH
r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,csv,104,session_elapsed_minutes,104,102,0.0 | 10.833333333333334 | 15.833333333333334 | 20.0 | 25.0
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,csv,148,current_rank,89,23,5 | 9 | 18 | 1 | 12
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,csv,148,benchmark_type,148,3,FAST_NINE_ADVANCEMENT | TOP_12_ADVANCEMENT | LAST_CHANCE_SURVIVAL_BUBBLE
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,csv,148,benchmark_rank,138,2,9 | 12
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,csv,148,benchmark_speed_mph,60,26,230.254000 | 230.539000 | 230.472000 | 227.099000 | 228.880000
r4/output/r4f2_canonical_fused_decision_dataset_v1.csv,csv,148,margin_to_benchmark_mph,57,52,0.000000 | -1.385000 | -0.443000 | -1.636000 | 2.388000
r4/output/r4f8f_wait_evidence_mapping_v1.csv,csv,11,disposition,11,6,ADOPTED | SANITY_CHECK_ONLY | DEFERRED_COMPLETION_COMPONENT | REJECTED_FOR_F8F_CALIBRATION | REJECTED_AS_INDEPENDENT_EVIDENCE
r4/output/r4f6j_missing_fast_friday_reference_evidence_v1.csv,csv,108,pdf_position,100,34,6 | 9 | 33 | 16 | 13
r4/output/r4f6j_candidate_expanded_fast_friday_reference_panel_v1.csv,csv,171,pdf_position,150,34,6 | 9 | 33 | 16 | 13
r4/output/r4lc5d_last_chance_decision_opportunity_panel_v1.csv,csv,10,current_rank_within_last_chance,10,5,1 | 2 | 3 | 4 | 5
r4/output/r4f6k_expanded_fast_friday_canonical_panel_v1.csv,csv,202,pdf_position,181,35,6 | 9 | 33 | 16 | 13
