field,nonempty_count,numeric_count,unique_nonempty_count,example_values,numeric_min,numeric_max,numeric_mean,numeric_median
year,132,132,4,2020 | 2021 | 2023 | 2024,2020.0,2024.0,2021.1969696969697,2021.0
prior_attempt_id,132,0,132,16cb7863-a6d0-5895-93e4-a76ac2c6c71f | a6295479-1996-5baa-b116-ab56a03c118d | e132bf44-6808-5d6b-819c-a993af279439 | 954d29f8-6770-5c41-9322-b23c885935ef | 25f997a4-1a33-565b-b2b0-1c30d3a0f19c,,,,
current_attempt_id,132,0,132,a6295479-1996-5baa-b116-ab56a03c118d | e132bf44-6808-5d6b-819c-a993af279439 | 954d29f8-6770-5c41-9322-b23c885935ef | 25f997a4-1a33-565b-b2b0-1c30d3a0f19c | e2df4919-a45f-5b41-916e-55908e4f1abb,,,,
prior_time_utc,132,0,132,2020-08-15T15:00:45+00:00 | 2020-08-15T15:11:35+00:00 | 2020-08-15T15:16:35+00:00 | 2020-08-15T15:20:45+00:00 | 2020-08-15T15:25:45+00:00,,,,
current_time_utc,132,0,132,2020-08-15T15:11:35+00:00 | 2020-08-15T15:16:35+00:00 | 2020-08-15T15:20:45+00:00 | 2020-08-15T15:25:45+00:00 | 2020-08-15T15:29:55+00:00,,,,
spacing_seconds,132,132,67,650.0 | 300.0 | 250.0 | 600.0 | 550.0,15.0,9782.0,615.4090909090909,300.0
proxy_type,132,0,1,SUPPORTED_ATTEMPT_TIMESTAMP_SPACING,,,,
queue_wait_usable,132,0,1,False,,,,
interpretation,132,0,1,SYSTEM_THROUGHPUT_PROXY_ONLY;NOT_QUEUE_WAIT,,,,
policy_hash,132,0,1,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707,,,,
