fused_decision_id,year,driver,regime,action,scenario_count,scenario_minutes,aggregation_semantics,p_reattempt_completed_min,p_reattempt_completed_max,p_final_result_exists_min,p_final_result_exists_max,p_no_final_result_min,p_no_final_result_max,p_final_result_meets_or_exceeds_decision_benchmark_min,p_final_result_meets_or_exceeds_decision_benchmark_max,p_final_result_worse_than_current_min,p_final_result_worse_than_current_max,expected_final_result_speed_conditional_mph_min,expected_final_result_speed_conditional_mph_max
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,230.254,230.43278495894222
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,230.254,230.254
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2815,0.7185,1.0,229.6520501980558,229.6937715970991
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.06495,0.0,0.0,229.154,229.49976021908626
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,229.154,229.154
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0686,0.53305,1.0,229.0681836415678,229.08303003317747
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0799,0.0,0.0,229.811,229.90018894291143
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,229.811,229.811
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.07805,0.8385,1.0,228.8214637240071,228.84310775976778
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.13305,0.0,0.0,228.8360000000001,229.56786199374068
