fused_decision_id,year,driver,assumed_time_remaining_minutes,current_result_speed_mph,benchmark_speed_mph,current_margin_to_benchmark_mph,benchmark_probability_crossover_status,first_tested_priority_reduction_percent_with_crossover,delta_benchmark_probability_at_crossover,withdraw_downside_probability_at_crossover,withdraw_no_result_probability_at_crossover,interpretation
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,5,230.254,230.254,0.0,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,10,230.254,230.254,0.0,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,15,230.254,230.254,0.0,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,20,230.254,230.254,0.0,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,30,230.254,230.254,0.0,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,45,230.254,230.254,0.0,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,60,230.254,230.254,0.0,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,5,229.154,230.539,-1.384999999999991,CROSSOVER_WITHIN_TESTED_GRID,75,0.01745,0.8834,0.75235,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,10,229.154,230.539,-1.384999999999991,CROSSOVER_WITHIN_TESTED_GRID,75,0.016500000000000004,0.76165,0.496,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,15,229.154,230.539,-1.384999999999991,CROSSOVER_WITHIN_TESTED_GRID,25,0.016499999999999997,0.76635,0.49865,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,20,229.154,230.539,-1.384999999999991,CROSSOVER_WITHIN_TESTED_GRID,50,0.017,0.6422,0.245,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,30,229.154,230.539,-1.384999999999991,CROSSOVER_WITHIN_TESTED_GRID,25,0.0178,0.64955,0.24935,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,45,229.154,230.539,-1.384999999999991,CROSSOVER_WITHIN_TESTED_GRID,25,0.01815,0.5341,0.0,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,60,229.154,230.539,-1.384999999999991,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,5,229.811,230.254,-0.44299999999998363,CROSSOVER_WITHIN_TESTED_GRID,75,0.01915,0.9587,0.74995,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,10,229.811,230.254,-0.44299999999998363,CROSSOVER_WITHIN_TESTED_GRID,75,0.02045,0.9156,0.49835,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,15,229.811,230.254,-0.44299999999998363,CROSSOVER_WITHIN_TESTED_GRID,25,0.0191,0.91905,0.49915,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,20,229.811,230.254,-0.44299999999998363,CROSSOVER_WITHIN_TESTED_GRID,50,0.020749999999999998,0.87215,0.24875,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,30,229.811,230.254,-0.44299999999998363,CROSSOVER_WITHIN_TESTED_GRID,25,0.020950000000000003,0.87735,0.25155,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,45,229.811,230.254,-0.44299999999998363,CROSSOVER_WITHIN_TESTED_GRID,25,0.01845,0.83535,0.0,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,60,229.811,230.254,-0.44299999999998363,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,5,228.836,230.472,-1.6359999999999957,CROSSOVER_WITHIN_TESTED_GRID,75,0.03635,0.81755,0.74535,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,10,228.836,230.472,-1.6359999999999957,CROSSOVER_WITHIN_TESTED_GRID,75,0.03384999999999999,0.6419,0.49645,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,15,228.836,230.472,-1.6359999999999957,CROSSOVER_WITHIN_TESTED_GRID,25,0.03264999999999999,0.64645,0.50295,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,20,228.836,230.472,-1.6359999999999957,CROSSOVER_WITHIN_TESTED_GRID,50,0.03480000000000001,0.4698,0.2521,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,30,228.836,230.472,-1.6359999999999957,CROSSOVER_WITHIN_TESTED_GRID,25,0.03255000000000001,0.46665,0.2505,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,45,228.836,230.472,-1.6359999999999957,CROSSOVER_WITHIN_TESTED_GRID,25,0.033149999999999985,0.2887,0.0,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,60,228.836,230.472,-1.6359999999999957,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,5,227.099,227.099,0.0,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,10,227.099,227.099,0.0,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,15,227.099,227.099,0.0,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,20,227.099,227.099,0.0,NO_BENCHMARK_CROSSOVER_UP_TO_75_PERCENT,,,,,Benchmark-probability crossover only; not an optimal-action or utility threshold.
