fused_decision_id,source_attempt_id,canonical_next_attempt_id,r4p5_after_attempt_id,attempt_id_match,canonical_next_attempt_time_utc,r4p5_actual_next_attempt_time_utc,r4p5_actual_between_attempt_observation_minutes,canonical_speed_delta_vs_current_mph,r4p5_actual_next_run_speed_delta_mph,r4p5_decision_time_safe,queue_wait_interpretation_allowed
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,9a2e168d-3dda-5e76-8daf-588c20d91341,893c5471-df02-55c0-946f-0af9d0a835d9,893c5471-df02-55c0-946f-0af9d0a835d9,True,2020-08-15T18:47:30Z,2020-08-15T18:47:30Z,140.083333,0.4000000000000057,0.400000,True,False
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,7799cc62-18bb-568d-9de2-16cb3622a0de,7799cc62-18bb-568d-9de2-16cb3622a0de,True,2020-08-15T19:39:10Z,2020-08-15T19:39:10Z,125.083333,0.25799999999998136,0.258000,True,False
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,a7f0ef57-a971-5870-9606-1fe1cd378e2a,df3c02a3-9655-512c-a2e6-4ffe9eadc505,df3c02a3-9655-512c-a2e6-4ffe9eadc505,True,2020-08-15T19:00:50Z,2020-08-15T19:00:50Z,122.583333,0.07100000000002638,0.071000,True,False
DAY1::DAY1_2020_59_POST_FIRST_ATTEMPT,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,fb65c8cf-d1c6-583e-9563-6c22e29bb081,True,2020-08-15T20:10:00Z,2020-08-15T20:10:00Z,160.916667,1.4840000000000089,1.484000,True,False
DAY1::DAY1_2020_8_POST_FIRST_ATTEMPT,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,25ddda12-052a-5d71-ac52-6e96cf8edab9,True,2020-08-15T18:16:35Z,2020-08-15T18:16:35Z,123.333333,0.09399999999999409,0.094000,True,False
DAY1::DAY1_2020_81_POST_FIRST_ATTEMPT,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,True,2020-08-15T19:30:50Z,2020-08-15T19:30:50Z,174.250000,1.9710000000000036,1.971000,True,False
DAY1::DAY1_2020_88_POST_FIRST_ATTEMPT,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,0817e595-17c0-5e20-94bc-6778006bf613,True,2020-08-15T19:05:50Z,2020-08-15T19:05:50Z,101.750000,0.2150000000000034,0.215000,True,False
DAY1::DAY1_2021_12_POST_FIRST_ATTEMPT,6992580a-0371-5eda-b01d-2adaca099ff4,5aa71106-e201-5143-bb9a-21ccf4063a9e,5aa71106-e201-5143-bb9a-21ccf4063a9e,True,2021-05-22T21:33:54Z,2021-05-22T21:33:54Z,252.300000,0.17600000000001614,0.176000,True,False
DAY1::DAY1_2021_16_POST_FIRST_ATTEMPT,8f660bff-74bd-551e-9007-95b730f87e7d,adc26df0-920d-5dc7-a952-03b3fb57700a,adc26df0-920d-5dc7-a952-03b3fb57700a,True,2021-05-22T21:30:13Z,2021-05-22T21:30:13Z,183.616667,0.2220000000000084,0.222000,True,False
DAY1::DAY1_2021_2_POST_FIRST_ATTEMPT,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2493785c-dc47-5ba6-8d28-5398e7a11983,2493785c-dc47-5ba6-8d28-5398e7a11983,True,2021-05-22T18:44:56Z,2021-05-22T18:44:56Z,125.833333,0.02199999999999136,0.022000,True,False
