fused_decision_id,year,driver_name,car_number,historical_action,historical_action_used_as_optimal_label,realized_next_attempt_speed_mph,current_result_speed_mph,decision_time_benchmark_speed_mph,predictive_mean_mph,predictive_sd_mph,prediction_error_actual_minus_mean_mph,absolute_error_mph,squared_error_mph2,standardized_residual_z,pit_value,predicted_p_improve_current,realized_improved_current,brier_improve,logloss_improve,predicted_p_cross_decision_benchmark,realized_crossed_decision_benchmark,brier_benchmark,logloss_benchmark,performance_support_count,uncertainty_class,evaluation_role,future_outcome_used_for_prediction,pi50_lower_mph,pi50_upper_mph,pi50_hit,pi80_lower_mph,pi80_upper_mph,pi80_hit,pi90_lower_mph,pi90_upper_mph,pi90_hit,pi95_lower_mph,pi95_upper_mph,pi95_hit
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,20,REATTEMPT_SEMANTICS_UNRESOLVED,False,230.211,229.811,230.254,228.835373397436,1.002973576869,1.3756266025640116,1.3756266025640116,1.892348549681805,1.371548198566037,0.914897935358,0.16534273563844493,1,0.6966527489515149,1.7997347737613703,0.07861920587628835,0,0.006180979532618212,0.08188187093056681,,MODERATE_N_10_19,RETROSPECTIVE_REPLAY_NOT_EXTERNAL_HOLDOUT,False,228.15887800012035,229.51186879475165,False,227.55001103979967,230.12073575507233,False,227.18562867178653,230.48511812308547,True,226.86958130932746,230.80116548554454,True
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,2020,Helio Castroneves,3,REATTEMPT_SEMANTICS_UNRESOLVED,False,228.373,228.115,230.56,227.54412831565,0.977091930269,0.8288716843499913,0.8288716843499913,0.6870282691171915,0.8483047077482231,0.8018658517700581,0.2795240927692184,1,0.5190855329000178,1.274666790569862,0.0010123698060658937,0,1.024892624233895e-06,0.001012882598497607,,LATER_N_20_PLUS,RETROSPECTIVE_REPLAY_NOT_EXTERNAL_HOLDOUT,False,226.88508982368427,228.20316680761573,False,226.29193462273275,228.79632200856724,True,225.936955110282,229.15130152101798,True,225.62906332273803,229.45919330856196,True
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,2020,Conor Daly,47,REATTEMPT_SEMANTICS_UNRESOLVED,False,229.955,229.884,230.472,231.609379180602,0.988223143708,-1.6543791806019783,1.6543791806019783,2.736970473209273,-1.6740947539383007,0.047055989318065324,0.9595893869099041,1,0.0016330176503174267,0.041249807988238026,0.8751202149794207,0,0.7658353906656276,2.0804037242644364,,LATER_N_20_PLUS,RETROSPECTIVE_REPLAY_NOT_EXTERNAL_HOLDOUT,False,230.9428327992644,232.27592556193957,False,230.3429202636756,232.87583809752837,False,229.98389675843652,233.23486160276747,False,229.67249741024537,233.5462609509586,True
DAY1::DAY1_2020_59_POST_FIRST_ATTEMPT,2020,Max Chilton,59,REATTEMPT_SEMANTICS_UNRESOLVED,False,227.303,225.819,230.56,226.734704326923,0.978623326684,0.5682956730769888,0.5682956730769888,0.32295997203802773,0.5807093062073442,0.7192818057195658,0.8252878698175761,1,0.030524328432880245,0.19202302039824337,4.6367498443777855e-05,0,2.1499449119337418e-09,4.6368573449464164e-05,,LATER_N_20_PLUS,RETROSPECTIVE_REPLAY_NOT_EXTERNAL_HOLDOUT,False,226.07463292377187,227.39477573007414,True,225.48054807053268,227.98886058331334,True,225.12501219860752,228.3443964552385,True,224.8166378521916,228.6527708016544,True
DAY1::DAY1_2020_81_POST_FIRST_ATTEMPT,2020,Ben Hanley,81,REATTEMPT_SEMANTICS_UNRESOLVED,False,222.917,220.946,230.296,221.404936057692,0.996215503491,1.5120639423080036,1.5120639423080036,2.2863373656280217,1.5178080816945085,0.9354686064195055,0.6774857167292432,1,0.10401546291364998,0.38936680876897656,0.0,0,0.0,9.999778782803785e-13,,MODERATE_N_10_19,RETROSPECTIVE_REPLAY_NOT_EXTERNAL_HOLDOUT,False,220.7329989116009,222.0768732037831,False,220.1282345195733,222.68163759581068,False,219.76630737354955,223.04356474183444,True,219.4523895500092,223.3574825653748,True
DAY1::DAY1_2020_88_POST_FIRST_ATTEMPT,2020,Colton Herta,88,REATTEMPT_SEMANTICS_UNRESOLVED,False,230.775,230.56,230.56,230.725619301994,0.980265495102,0.04938069800601852,0.04938069800601852,0.0024384533355616012,0.05037482014082347,0.5200881492394396,0.5670833977307028,1,0.18741678452039284,0.5672489001256599,0.5670833977307028,1,0.18741678452039284,0.5672489001256599,,LATER_N_20_PLUS,RETROSPECTIVE_REPLAY_NOT_EXTERNAL_HOLDOUT,False,230.0644402730768,231.38679833091118,True,229.46935852209666,231.98188008189132,True,229.11322604700007,232.3380125569879,True,228.80433423630674,232.64690436768123,True
DAY1::DAY1_2020_8_POST_FIRST_ATTEMPT,2020,Marcus Ericsson,8,REATTEMPT_SEMANTICS_UNRESOLVED,False,230.566,230.472,229.902,231.037581410256,1.016354922704,-0.4715814102559932,0.4715814102559932,0.22238902649903136,-0.46399284317072675,0.32132643659425486,0.7110586934184047,1,0.08348707864907946,0.3410003020678527,0.868068656030296,1,0.017405879521652342,0.14148447064067773,,MODERATE_N_10_19,RETROSPECTIVE_REPLAY_NOT_EXTERNAL_HOLDOUT,False,230.35206043233083,231.72310238818116,True,229.73507016791572,232.34009265259627,True,229.36582632937635,232.70933649113564,True,229.04556236624617,233.02960045426582,True
DAY1::DAY1_2021_12_POST_FIRST_ATTEMPT,2021,Will Power,12,REATTEMPT_SEMANTICS_UNRESOLVED,False,229.228,229.052,230.557,229.259143218623,0.999422392581,-0.031143218622986524,0.031143218622986524,0.0009699000661991346,-0.031161217573442018,0.48757048438815415,0.5820977404956138,1,0.17464229849887133,0.5411169063549738,0.0970394401804422,0,0.009416652950533618,0.1020764033522816,,MODERATE_N_10_19,RETROSPECTIVE_REPLAY_NOT_EXTERNAL_HOLDOUT,False,228.58504305871065,229.93324337853534,True,227.9783318867705,230.5399545504755,True,227.61523967132962,230.90304676591637,True,227.30031132382138,231.21797511342461,True
DAY1::DAY1_2021_16_POST_FIRST_ATTEMPT,2021,Simona De Silvestro,16,REATTEMPT_SEMANTICS_UNRESOLVED,False,228.395,228.173,230.864,228.737710036058,0.973060547934,-0.34271003605798,0.34271003605798,0.11745016881486195,-0.3521980587802282,0.3623448663355162,0.7191587336700961,1,0.07887181687378403,0.32967317557144654,0.014438672468257918,0,0.00020847526264562922,0.014543924460778455,,LATER_N_20_PLUS,RETROSPECTIVE_REPLAY_NOT_EXTERNAL_HOLDOUT,False,228.08139067015634,229.39402940195964,True,227.4906827674835,229.9847373046325,True,227.13716786454538,230.3382522075706,True,226.83054640733053,230.64487366478545,True
DAY1::DAY1_2021_21_POST_FIRST_ATTEMPT,2021,Rinus VeeKay,21,REATTEMPT_SEMANTICS_UNRESOLVED,False,231.483,230.841,229.714,230.602143429487,1.036102952614,0.8808565705130036,0.8808565705130036,0.7759082978159301,0.8501631698767744,0.8023828124913641,0.4088385686589966,1,0.3494718379051439,0.8944348985082221,0.8043317464041702,1,0.03828606546524198,0.21774347500167004,,LIMITED_N_3_9,RETROSPECTIVE_REPLAY_NOT_EXTERNAL_HOLDOUT,False,229.90330260780095,231.30098425117305,False,229.27432406849914,231.92996279047486,True,228.89790572998473,232.30638112898927,True,228.57141895808795,232.63286790088605,True
