fused_decision_id,year,driver_name,car_number,historical_action,current_result_speed_mph,decision_time_benchmark_speed_mph,realized_session_outcome,realized_final_qualified,explicit_crash_incomplete,numeric_final_qualification_probability_scored,historical_action_is_optimal_label,evaluation_role
LAST_CHANCE::2021_11_POST_GUARANTEED_BREAK,2021,Charlie Kimball,11,REATTEMPT,,228.353000,FAILED_TO_QUALIFY,False,False,False,False,DESCRIPTIVE_LAST_CHANCE_CASE_REPLAY
LAST_CHANCE::2021_12_POST_GUARANTEED_BREAK,2021,Will Power,12,STOP,228.876000,228.353000,QUALIFIED_P32,True,False,False,False,DESCRIPTIVE_LAST_CHANCE_CASE_REPLAY
LAST_CHANCE::2021_16_POST_GUARANTEED_BREAK,2021,Simona De Silvestro,16,STOP,228.353000,228.353000,QUALIFIED_P33,True,False,False,False,DESCRIPTIVE_LAST_CHANCE_CASE_REPLAY
LAST_CHANCE::2021_24_POST_GUARANTEED_BREAK,2021,Sage Karam,24,STOP,229.156000,228.353000,QUALIFIED_P31,True,False,False,False,DESCRIPTIVE_LAST_CHANCE_CASE_REPLAY
LAST_CHANCE::2021_75_POST_GUARANTEED_BREAK,2021,RC Enerson,75,REATTEMPT,,228.353000,FAILED_TO_QUALIFY,False,False,False,False,DESCRIPTIVE_LAST_CHANCE_CASE_REPLAY
LAST_CHANCE::2023_15_POST_GUARANTEED_BREAK,2023,Graham Rahal,15,STOP,229.159000,229.159000,ULTIMATELY_BUMPED_BY_HARVEY,False,False,False,False,DESCRIPTIVE_LAST_CHANCE_CASE_REPLAY
LAST_CHANCE::2023_30_POST_GUARANTEED_BREAK,2023,Jack Harvey,30,REATTEMPT,,229.159000,ULTIMATELY_QUALIFIED_P33,True,False,False,False,DESCRIPTIVE_LAST_CHANCE_CASE_REPLAY
LAST_CHANCE::2023_45_POST_GUARANTEED_BREAK,2023,Christian Lundgaard,45,STOP,229.649000,229.159000,QUALIFIED_P31,True,False,False,False,DESCRIPTIVE_LAST_CHANCE_CASE_REPLAY
LAST_CHANCE::2023_51_POST_GUARANTEED_BREAK,2023,Sting Ray Robb,51,STOP,229.549000,229.159000,QUALIFIED_P32,True,False,False,False,DESCRIPTIVE_LAST_CHANCE_CASE_REPLAY
LAST_CHANCE::2024_18_FINAL_DECISION,2024,Nolan Siegel,18,REATTEMPT,229.566000,229.974000,CRASH_INCOMPLETE_FAILED_TO_QUALIFY,False,True,False,False,DESCRIPTIVE_LAST_CHANCE_CASE_REPLAY
