model_name,test_year,test_rows,brier_score,log_loss,accuracy,balanced_accuracy,roc_auc
BASE_RATE,2020,11,0.1682513914656772,0.5236226949778945,0.8181818181818182,0.5,0.5
CURRENT_SHAPE,2020,11,0.17610596136587692,0.5388041509304382,0.8181818181818182,0.5,0.6666666666666667
THERMAL_30,2020,11,0.13646205824116978,0.44795368577241723,0.8181818181818182,0.5,1.0
CURRENT_SHAPE_PLUS_THERMAL_30,2020,11,0.12694580016837162,0.42577467864771096,0.8181818181818182,0.5,1.0
THERMAL_15_30,2020,11,0.13584638356900455,0.4359355708369893,0.8181818181818182,0.5,0.8888888888888888
BASE_RATE,2021,15,0.3388888888888889,0.9333925825965348,0.5333333333333333,0.5,0.5
CURRENT_SHAPE,2021,15,0.258123342967183,0.7048136101621053,0.5333333333333333,0.5,0.5
THERMAL_30,2021,15,0.3377131222344055,0.8877878784974698,0.3333333333333333,0.3214285714285714,0.4285714285714286
CURRENT_SHAPE_PLUS_THERMAL_30,2021,15,0.33032312732994046,0.864834166442906,0.3333333333333333,0.3214285714285714,0.32142857142857145
THERMAL_15_30,2021,15,0.35807889829327005,0.9335760388727391,0.3333333333333333,0.3214285714285714,0.4285714285714286
BASE_RATE,2023,12,0.16666666666666666,0.5209896382014887,0.8333333333333334,0.5,0.5
CURRENT_SHAPE,2023,12,0.1824375716622737,0.5529734898356166,0.8333333333333334,0.5,0.7
THERMAL_30,2023,12,0.20131591662901838,0.5939195221859314,0.8333333333333334,0.9,0.9
CURRENT_SHAPE_PLUS_THERMAL_30,2023,12,0.19022870287593588,0.5698613263262626,0.8333333333333334,0.9,0.9
THERMAL_15_30,2023,12,0.1566510939645671,0.495329121879663,0.8333333333333334,0.7,0.9
BASE_RATE,2024,1,0.08379501385041552,0.3417492937220567,1.0,1.0,
CURRENT_SHAPE,2024,1,0.20981545974946608,0.612592927417167,1.0,1.0,
THERMAL_30,2024,1,0.08051582815593855,0.33373035479639557,1.0,1.0,
CURRENT_SHAPE_PLUS_THERMAL_30,2024,1,0.13305391114927786,0.45376114573731974,1.0,1.0,
THERMAL_15_30,2024,1,0.06811410062773511,0.3024394725065659,1.0,1.0,
BASE_RATE,POOLED_LOYO,39,0.2312280423924666,0.6757529060473022,0.717948717948718,0.5,0.32792207792207795
CURRENT_SHAPE,POOLED_LOYO,39,0.21046364203151646,0.6089057594387427,0.717948717948718,0.5,0.5162337662337662
THERMAL_30,POOLED_LOYO,39,0.2323868282531567,0.659104444666313,0.6410256410256411,0.5292207792207793,0.5292207792207793
CURRENT_SHAPE_PLUS_THERMAL_30,POOLED_LOYO,39,0.22479612967850515,0.6396956672672021,0.6410256410256411,0.5292207792207793,0.5584415584415584
THERMAL_15_30,POOLED_LOYO,39,0.22598515184258047,0.6421877127528332,0.6410256410256411,0.5016233766233766,0.5616883116883116
