year,subset,rows,distinct_cars,mean_four_lap_average_speed_mph,median_four_lap_average_speed_mph,mean_lap1_to_lap4_delta_mph,median_lap1_to_lap4_delta_mph,mean_late_run_fade_mph,median_late_run_fade_mph
2020,ALL_COMPLETE_FOUR_LAP,46,33,229.430978,229.939500,-1.535087,-1.122500,-0.954239,-0.713250
2020,MULTI_RUN_COMPLETE_FOUR_LAP,24,11,229.153875,229.928500,-1.505708,-1.166500,-0.932417,-0.705500
2020,FIRST_RUN_COMPLETE_FOUR_LAP,33,33,229.436000,229.902000,-1.642303,-1.118000,-1.028121,-0.726500
2021,ALL_COMPLETE_FOUR_LAP,51,35,229.995980,230.071000,-1.186980,-1.091000,-0.792225,-0.720500
2021,MULTI_RUN_COMPLETE_FOUR_LAP,29,13,229.701552,229.872000,-1.361172,-1.097000,-0.907793,-0.744500
2021,FIRST_RUN_COMPLETE_FOUR_LAP,35,35,230.085600,230.427000,-1.176457,-0.987000,-0.756929,-0.719000
2022,ALL_COMPLETE_FOUR_LAP,40,32,230.762000,231.172500,-2.089400,-1.479500,-1.294137,-0.994250
2022,MULTI_RUN_COMPLETE_FOUR_LAP,16,8,230.231313,230.638000,-2.571312,-1.271500,-1.543562,-0.900250
2022,FIRST_RUN_COMPLETE_FOUR_LAP,32,32,230.774969,231.308000,-2.316719,-1.631500,-1.402937,-1.063250
2023,ALL_COMPLETE_FOUR_LAP,69,34,231.884406,232.081000,-1.404609,-1.142000,-0.941261,-0.825000
2023,MULTI_RUN_COMPLETE_FOUR_LAP,57,22,231.811737,232.081000,-1.442632,-1.260000,-0.960482,-0.825000
2023,FIRST_RUN_COMPLETE_FOUR_LAP,34,34,231.806353,232.163500,-1.353412,-1.067500,-0.951618,-0.780250
2024,ALL_COMPLETE_FOUR_LAP,54,34,231.599222,231.829500,-0.797204,-0.781000,-0.529000,-0.487500
2024,MULTI_RUN_COMPLETE_FOUR_LAP,36,16,231.249722,231.374500,-0.857194,-0.846000,-0.549625,-0.501250
2024,FIRST_RUN_COMPLETE_FOUR_LAP,10,10,232.633100,232.521500,-0.579700,-0.555000,-0.349550,-0.347250
