year,session_id,car_number,driver_name,decision_attempt_id,decision_time_utc,selected_environment_response_model,historical_model_loyo_brier,historical_model_loyo_auc,score_plus_10m,score_plus_20m,score_plus_30m,best_forecast_horizon_min,best_environment_score,worst_forecast_horizon_min,worst_environment_score,forecast_horizon_score_spread,score_interpretation,decision_time_safe,realized_future_weather_used
2020,INDY500_DAY1_2020,20,Ed Carpenter,9a2e168d-3dda-5e76-8daf-588c20d91341,2020-08-15T16:27:25+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648586,0.645391,0.642182,10,0.648586,30,0.642182,0.006404,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2020,INDY500_DAY1_2020,3,Helio Castroneves,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,2020-08-15T17:34:05+00:00,ATMOS_THERMAL,0.281890,0.154762,0.649626,0.647478,0.645433,10,0.649626,30,0.645433,0.004194,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2020,INDY500_DAY1_2020,47,Conor Daly,a7f0ef57-a971-5870-9606-1fe1cd378e2a,2020-08-15T16:58:15+00:00,ATMOS_THERMAL,0.281890,0.154762,0.649865,0.648230,0.646590,10,0.649865,30,0.646590,0.003275,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2020,INDY500_DAY1_2020,5,Pato O'Ward,194c9baa-3297-571e-82bf-ac3ba81e07fc,2020-08-15T15:34:55+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648096,0.644405,0.640744,10,0.648096,30,0.640744,0.007352,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2020,INDY500_DAY1_2020,59,Max Chilton,75519828-93ba-5485-a4bf-a06b93f7cec3,2020-08-15T17:29:05+00:00,ATMOS_THERMAL,0.281890,0.154762,0.649626,0.647478,0.645323,10,0.649626,30,0.645323,0.004303,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2020,INDY500_DAY1_2020,60,Jack Harvey,954d29f8-6770-5c41-9322-b23c885935ef,2020-08-15T15:20:45+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648096,0.644405,0.640698,10,0.648096,30,0.640698,0.007398,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2020,INDY500_DAY1_2020,8,Marcus Ericsson,518373d9-25de-58cf-8315-f6c215b6f672,2020-08-15T16:13:15+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648586,0.645391,0.642182,10,0.648586,30,0.642182,0.006404,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2020,INDY500_DAY1_2020,81,Ben Hanley,a3016f3b-449e-576c-bf0f-284c71eddb34,2020-08-15T16:36:35+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648586,0.645391,0.643212,10,0.648586,30,0.643212,0.005374,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2020,INDY500_DAY1_2020,88,Colton Herta,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,2020-08-15T17:24:05+00:00,ATMOS_THERMAL,0.281890,0.154762,0.649626,0.647478,0.645323,10,0.649626,30,0.645323,0.004303,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
2020,INDY500_DAY1_2020,9,Scott Dixon,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,2020-08-15T15:25:45+00:00,ATMOS_THERMAL,0.281890,0.154762,0.648096,0.644405,0.640698,10,0.648096,30,0.640698,0.007398,ENVIRONMENT_CONDITIONAL_IMPROVEMENT_PROPENSITY_NOT_FINAL_STRATEGY_PROBABILITY,True,False
