year,session_regime,car_number,driver_name,event_kind,attempt_ordinal,attempt_ordinal_quality,performance_mph,completion_status,chronology_quality,relative_order,strategy_event,result_before,result_after,exact_timestamp,timestamp_status,source_class,source_name,source_url,evidence_note,safe_for_action_training,safe_for_performance_training
2021,LAST_ROW,24,Sage Karam,GUARANTEED_FIRST_ATTEMPT,1,EXACT,229.156,COMPLETE,PARTIAL_ORDER,INITIAL_ORDER_1_OF_5,INITIAL_ATTEMPT,NO_LAST_ROW_RESULT,OFFICIAL_RESULT_AVAILABLE,,UNKNOWN,OFFICIAL_INDYCAR_REPORT,Green Flag: Crown Royal Armed Forces Qualifying Day 2,https://www.indycar.com/news/2021/05/05-23-greenflag,"Official source establishes initial Last Row order. For Kimball and Enerson, API contains two complete records but this ledger does not yet assign which speed belongs to attempt 1 versus attempt 2.",False,True
2021,LAST_ROW,12,Will Power,GUARANTEED_FIRST_ATTEMPT,1,EXACT,228.876,COMPLETE,PARTIAL_ORDER,INITIAL_ORDER_2_OF_5,INITIAL_ATTEMPT,NO_LAST_ROW_RESULT,OFFICIAL_RESULT_AVAILABLE,,UNKNOWN,OFFICIAL_INDYCAR_REPORT,Green Flag: Crown Royal Armed Forces Qualifying Day 2,https://www.indycar.com/news/2021/05/05-23-greenflag,"Official source establishes initial Last Row order. For Kimball and Enerson, API contains two complete records but this ledger does not yet assign which speed belongs to attempt 1 versus attempt 2.",False,True
2021,LAST_ROW,75,RC Enerson,GUARANTEED_FIRST_ATTEMPT,1,EXACT,,COMPLETE,PARTIAL_ORDER,INITIAL_ORDER_3_OF_5,INITIAL_ATTEMPT,NO_LAST_ROW_RESULT,RESULT_VALUE_NOT_BOUND_TO_THIS_ATTEMPT_YET,,UNKNOWN,OFFICIAL_INDYCAR_REPORT,Green Flag: Crown Royal Armed Forces Qualifying Day 2,https://www.indycar.com/news/2021/05/05-23-greenflag,"Official source establishes initial Last Row order. For Kimball and Enerson, API contains two complete records but this ledger does not yet assign which speed belongs to attempt 1 versus attempt 2.",False,False
2021,LAST_ROW,16,Simona De Silvestro,GUARANTEED_FIRST_ATTEMPT,1,EXACT,228.353,COMPLETE,PARTIAL_ORDER,INITIAL_ORDER_4_OF_5,INITIAL_ATTEMPT,NO_LAST_ROW_RESULT,OFFICIAL_RESULT_AVAILABLE,,UNKNOWN,OFFICIAL_INDYCAR_REPORT,Green Flag: Crown Royal Armed Forces Qualifying Day 2,https://www.indycar.com/news/2021/05/05-23-greenflag,"Official source establishes initial Last Row order. For Kimball and Enerson, API contains two complete records but this ledger does not yet assign which speed belongs to attempt 1 versus attempt 2.",False,True
2021,LAST_ROW,11,Charlie Kimball,GUARANTEED_FIRST_ATTEMPT,1,EXACT,,COMPLETE,PARTIAL_ORDER,INITIAL_ORDER_5_OF_5,INITIAL_ATTEMPT,NO_LAST_ROW_RESULT,RESULT_VALUE_NOT_BOUND_TO_THIS_ATTEMPT_YET,,UNKNOWN,OFFICIAL_INDYCAR_REPORT,Green Flag: Crown Royal Armed Forces Qualifying Day 2,https://www.indycar.com/news/2021/05/05-23-greenflag,"Official source establishes initial Last Row order. For Kimball and Enerson, API contains two complete records but this ledger does not yet assign which speed belongs to attempt 1 versus attempt 2.",False,False
2021,LAST_ROW,11,Charlie Kimball,COMPLETE_REPEAT_RECORD,,UNRESOLVED_BETWEEN_ATTEMPT_1_AND_2,227.811,COMPLETE,UNRESOLVED_WITHIN_ENTRY,ONE_OF_TWO_SHOTS,REATTEMPT_EVIDENCE,UNKNOWN,UNKNOWN,,UNKNOWN,OFFICIAL_API_PLUS_OFFICIAL_REPORT,INDYCAR EventsSessionDetails + Paddock Buzz,https://www.indycar.com/news/2021/05/05-23-paddockbuzz,Official API preserves two complete Kimball records. INDYCAR states Kimball took two shots. Record ordering is not assumed chronological.,False,True
2021,LAST_ROW,11,Charlie Kimball,COMPLETE_REPEAT_RECORD,,UNRESOLVED_BETWEEN_ATTEMPT_1_AND_2,227.584,COMPLETE,UNRESOLVED_WITHIN_ENTRY,ONE_OF_TWO_SHOTS,REATTEMPT_EVIDENCE,UNKNOWN,UNKNOWN,,UNKNOWN,OFFICIAL_API_PLUS_OFFICIAL_REPORT,INDYCAR EventsSessionDetails + Paddock Buzz,https://www.indycar.com/news/2021/05/05-23-paddockbuzz,Official API preserves two complete Kimball records. INDYCAR states Kimball took two shots. Record ordering is not assumed chronological.,False,True
2021,LAST_ROW,75,RC Enerson,COMPLETE_REPEAT_RECORD,,UNRESOLVED_BETWEEN_ATTEMPT_1_AND_2,227.298,COMPLETE,UNRESOLVED_WITHIN_ENTRY,ONE_OF_TWO_SHOTS,REATTEMPT_EVIDENCE,UNKNOWN,UNKNOWN,,UNKNOWN,OFFICIAL_API_PLUS_OFFICIAL_REPORT,INDYCAR EventsSessionDetails + Paddock Buzz,https://www.indycar.com/news/2021/05/05-23-paddockbuzz,Official API preserves two complete Enerson records. INDYCAR states Enerson took two shots. Record ordering is not assumed chronological.,False,True
2021,LAST_ROW,75,RC Enerson,COMPLETE_REPEAT_RECORD,,UNRESOLVED_BETWEEN_ATTEMPT_1_AND_2,226.813,COMPLETE,UNRESOLVED_WITHIN_ENTRY,ONE_OF_TWO_SHOTS,REATTEMPT_EVIDENCE,UNKNOWN,UNKNOWN,,UNKNOWN,OFFICIAL_API_PLUS_OFFICIAL_REPORT,INDYCAR EventsSessionDetails + Paddock Buzz,https://www.indycar.com/news/2021/05/05-23-paddockbuzz,Official API preserves two complete Enerson records. INDYCAR states Enerson took two shots. Record ordering is not assumed chronological.,False,True
2023,LAST_CHANCE,45,Christian Lundgaard,OFFICIAL_COMPLETE_RESULT,1,NOT_PROVEN_SINGLE_ATTEMPT_BUT_NO_REPEAT_REPORTED,229.649,COMPLETE,UNKNOWN,UNKNOWN,INITIAL_OR_ONLY_ATTEMPT,NO_LAST_CHANCE_RESULT,OFFICIAL_RESULT,,UNKNOWN,OFFICIAL_API_PLUS_OFFICIAL_REPORT,RLL Rides Roller Coaster of Agony,https://www.indycar.com/news/2023/05/05-21-rll-lastchance,Official final result; no repeat attempt attributed to this driver in the cited official chronology.,False,True
