year,session_regime,session_id,car_number,driver_name,team_name,official_record_index,same_entry_record_index,same_entry_record_count,events_sessions_details_id,events_entrylist_id,position_finish_raw,elapsed_time_raw,lap1_s,lap2_s,lap3_s,lap4_s,four_lap_average_speed_mph,recomputed_four_lap_average_speed_mph,speed_recompute_error_mph,lap1_to_lap4_delta_s,late_run_fade_s,is_deleted_api,status_raw,repeat_evidence,chronology_status,attempt_sequence_status,strategy_action,withdraw_before_attempt,result_retained_before_attempt,time_quality,source_type,source_semantics
2021,LAST_ROW,5847,11,Charlie Kimball,A.J. Foyt Enterprises,4,1,2,101341,33923,72,02:38.0256,39.4129,39.4789,39.5297,39.6041,227.811000,227.811190,0.000190,0.191200,0.121000,False,,MULTIPLE_OFFICIAL_RECORDS_SAME_ENTRY,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL
2021,LAST_ROW,5847,11,Charlie Kimball,A.J. Foyt Enterprises,5,2,2,101342,33923,73,02:38.1831,39.4758,39.5510,39.5601,39.5962,227.584000,227.584363,0.000363,0.120400,0.064750,False,,MULTIPLE_OFFICIAL_RECORDS_SAME_ENTRY,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL
2021,LAST_ROW,5847,12,Will Power,Team Penske,2,1,1,101339,33904,32,02:37.2905,39.1215,39.2831,39.3316,39.5543,228.876000,228.875870,-0.000130,0.432800,0.240650,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL
2021,LAST_ROW,5847,16,Simona De Silvestro,Paretta Autosport,3,1,1,101340,33924,33,02:37.6504,39.3222,39.3830,39.4528,39.4924,228.353000,228.353369,0.000369,0.170200,0.120000,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL
2021,LAST_ROW,5847,24,Sage Karam,Dreyer & Reinbold Racing,1,1,1,101338,33926,31,02:37.0982,39.1250,39.2288,39.3235,39.4209,229.156000,229.156031,0.000031,0.295900,0.195300,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL
2021,LAST_ROW,5847,75,RC Enerson,Top Gun Racing,6,1,2,101343,33929,74,02:38.3823,39.4854,39.5940,39.6357,39.6672,227.298000,227.298126,0.000126,0.181800,0.111750,False,,MULTIPLE_OFFICIAL_RECORDS_SAME_ENTRY,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL
2021,LAST_ROW,5847,75,RC Enerson,Top Gun Racing,7,2,2,101344,33929,75,02:38.7212,39.6084,39.6850,39.6822,39.7456,226.813000,226.812801,-0.000199,0.137200,0.067200,False,,MULTIPLE_OFFICIAL_RECORDS_SAME_ENTRY,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL
2023,LAST_CHANCE,6205,15,Graham Rahal,Rahal Letterman Lanigan Racing,4,1,1,108670,35302,4,02:37.0960,39.1960,39.2503,39.3056,39.3441,229.159000,229.159240,0.000240,0.148100,0.101700,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL
2023,LAST_CHANCE,6205,30,Jack Harvey,Rahal Letterman Lanigan Racing,3,1,1,108669,35310,3,02:37.0916,39.2268,39.2873,39.2712,39.3063,229.166000,229.165659,-0.000341,0.079500,0.031700,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL
2023,LAST_CHANCE,6205,45,Christian Lundgaard,Rahal Letterman Lanigan Racing,1,1,1,108667,35311,1,02:36.7607,39.0753,39.1685,39.2377,39.2792,229.649000,229.649396,0.000396,0.203900,0.136550,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL
2023,LAST_CHANCE,6205,51,Sting Ray Robb,Dale Coyne Racing with RWR,2,1,1,108668,35312,2,02:36.8293,39.1195,39.2052,39.2133,39.2913,229.549000,229.548943,-0.000057,0.171800,0.089950,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL
