delta_track_temp_c,predicted_delta_speed_mph,bootstrap_beta_based_low_mph,bootstrap_beta_based_high_mph
-15,2.0658657282079,1.021564123057602,3.874855219196694
-10,1.695489171629667,0.9992881015294683,2.9014821656221965
-7.5,1.5103008933405504,0.9881500907654015,2.4147956388349474
-5,1.325112615051434,0.9770120800013348,1.9281091120476987
-2.5,1.1399243367623175,0.9658740692372679,1.4414225852604499
0,0.9547360584732011,0.9547360584732011,0.9547360584732011
2.5,0.7695477801840847,0.46804953168595226,0.9435980477091342
5,0.5843595018949681,-0.018636995101296572,0.9324600369450674
7.5,0.39917122360585167,-0.5053235218885453,0.9213220261810007
10,0.21398294531673523,-0.9920100486757942,0.9101840154169338
15,-0.15639361126149776,-1.965383102250292,0.8879079938888002
