transition_id,year,car_number,driver_name,before_attempt_id,after_attempt_id,before_attempt_index,after_attempt_index,before_time_utc,after_time_utc,elapsed_minutes,speed_before,speed_after,delta_speed_mph,track_temp_c_before,track_temp_c_after,delta_track_temp_c,air_temp_c_before,air_temp_c_after,delta_air_temp_c,dewpoint_c_before,dewpoint_c_after,delta_dewpoint_c,relative_humidity_pct_before,relative_humidity_pct_after,delta_relative_humidity_pct,wind_speed_ms_before,wind_speed_ms_after,delta_wind_speed_ms,wind_direction_deg_before,wind_direction_deg_after,delta_wind_direction_deg,gust_ms_before,gust_ms_after,delta_gust_ms,pressure_hpa_before,pressure_hpa_after,delta_pressure_hpa,cloud_cover_fraction_before,cloud_cover_fraction_after,delta_cloud_cover_fraction,solar_radiation_wm2_before,solar_radiation_wm2_after,delta_solar_radiation_wm2,solar_elevation_deg_before,solar_elevation_deg_after,delta_solar_elevation_deg,solar_azimuth_deg_before,solar_azimuth_deg_after,delta_solar_azimuth_deg,delta_track_temp_centered_sq_c2,fast_friday_reference_mph_before,fast_friday_reference_mph_after,both_ptsc_past_safe,both_hrrr_leakage_safe
954d29f8-6770-5c41-9322-b23c885935ef__TO__e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,2020,60,Jack Harvey,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,1,2,2020-08-15T15:20:45Z,2020-08-15T17:55:45Z,155,229.861,229.757,-0.104,39.44444444,53.33333333,13.88888889,25.95787392,29.79119644,3.833322525,19.15229975,18.5119606,-0.640339152,66.24004704,50.83332555,-15.4067215,0.6540063842,0.6597157305,0.005709346226,338.5758888,65.76110585,87.18521708,1.768787297,1.339890713,-0.4288965841,987.685,987.6070833,-0.07791666667,0,0,0,729.7475,918.3,188.5525,48.42984921,64.08125048,15.65140127,117.8087705,183.4350256,65.6262551,177.4691358,231.6,231.6,True,True
25f997a4-1a33-565b-b2b0-1c30d3a0f19c__TO__33a57398-b346-53e3-b5e5-369a3ca71efc,2020,9,Scott Dixon,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,33a57398-b346-53e3-b5e5-369a3ca71efc,1,2,2020-08-15T15:25:45Z,2020-08-15T18:00:45Z,155,231.094,231.053,-0.041,39.44444444,50,10.55555556,26.08356819,29.89255295,3.808984756,19.1249204,18.45642204,-0.6684983571,65.64559834,50.3426897,-15.30290863,0.6552458024,0.6517202647,-0.003525537719,342.4547056,64.2902584,81.8355528,1.739203873,1.368391869,-0.3708120048,987.585,987.59125,0.00625,0,0,0,741.3975,919.15,177.7525,49.27345675,63.99946971,14.72601296,119.1341432,186.201162,67.06701872,99.69135802,232.29,232.29,True,True
194c9baa-3297-571e-82bf-ac3ba81e07fc__TO__757828a3-822d-5bd8-b9f0-681a6918b48b,2020,5,Pato O'Ward,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,1,2,2020-08-15T15:34:55Z,2020-08-15T20:22:30Z,287.5833333,229.902,230.213,0.311,40.55555556,52.22222222,11.66666667,26.46430147,31.32206879,4.857767317,19.95757832,18.25851784,-1.699060482,67.62613475,45.83656701,-21.78956774,0.9136247043,0.6295622216,-0.2840624827,8.55784601,19.59215492,11.03430891,2.313106343,2.274922261,-0.03818408244,987.0090278,986.925,-0.08402777778,0,0,0,762.0102778,703.9125,-58.09777778,50.79095287,47.68033759,-3.110615282,121.6666608,243.1846909,121.5180301,149.0740741,230.581,230.581,True,True
518373d9-25de-58cf-8315-f6c215b6f672__TO__25ddda12-052a-5d71-ac52-6e96cf8edab9,2020,8,Marcus Ericsson,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,1,2,2020-08-15T16:13:15Z,2020-08-15T18:16:35Z,123.3333333,230.472,230.566,0.094,43.33333333,51.11111111,7.777777778,27.4609876,30.14985428,2.688866679,19.55552317,18.26007576,-1.295447413,62.18621359,49.04551507,-13.14069853,0.9362099434,0.6757844024,-0.2604255411,33.87108683,52.08055685,18.20947002,1.796980523,1.59147312,-0.205507403,986.8441667,987.4065278,0.5623611111,0,0,0,831.7445833,901.2055556,69.46097222,56.61034452,63.44096863,6.830624104,133.9745576,194.7951526,60.820595,112.345679,231.763,231.763,True,True
9a2e168d-3dda-5e76-8daf-588c20d91341__TO__893c5471-df02-55c0-946f-0af9d0a835d9,2020,20,Ed Carpenter,9a2e168d-3dda-5e76-8daf-588c20d91341,893c5471-df02-55c0-946f-0af9d0a835d9,1,2,2020-08-15T16:27:25Z,2020-08-15T18:47:30Z,140.0833333,229.811,230.211,0.4,46.66666667,50.55555556,3.888888889,27.822086,30.59866486,2.776578861,19.3634235,18.71744881,-0.6459746891,60.21266954,49.19854736,-11.01412218,0.90419905,0.4660636925,-0.4381353575,44.0204673,15.11728348,-28.90318383,1.675920733,1.349220001,-0.3267007313,986.8913889,986.8791667,-0.01222222222,0,0,0,850.6098611,870.9166667,20.30680556,58.47617261,61.15062778,2.674455167,139.3585447,210.2132122,70.85466751,66.97530864,229.563,229.563,True,True
a3016f3b-449e-576c-bf0f-284c71eddb34__TO__b58b5c13-1a21-50cf-ab5b-8962cc4486f0,2020,81,Ben Hanley,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,1,2,2020-08-15T16:36:35Z,2020-08-15T19:30:50Z,174.25,220.946,222.917,1.971,47.77777778,53.33333333,5.555555556,28.24343893,30.73566081,2.492221875,19.0970125,18.84756008,-0.2494524214,57.76860102,49.20791641,-8.560684607,0.7652868167,0.6662215467,-0.09906526999,47.55705607,53.52060001,5.96354394,1.485156488,2.078262427,0.5931059391,987.5,986.8625,-0.6375,0,0,0,870.4559722,782.1666667,-88.28930556,59.57725669,55.88094473,-3.696311963,143.1155358,227.7454691,84.62993336,117.2839506,222.086,222.086,True,True
a7f0ef57-a971-5870-9606-1fe1cd378e2a__TO__df3c02a3-9655-512c-a2e6-4ffe9eadc505,2020,47,Conor Daly,a7f0ef57-a971-5870-9606-1fe1cd378e2a,df3c02a3-9655-512c-a2e6-4ffe9eadc505,1,2,2020-08-15T16:58:15Z,2020-08-15T19:00:50Z,122.5833333,229.884,229.955,0.071,48.88888889,50.55555556,1.666666667,28.77914365,30.85945494,2.080311288,18.82463633,18.53962881,-0.2850075192,54.94779042,47.87701858,-7.070771835,0.6835131842,0.4825775194,-0.2009356648,66.83809165,6.44820603,-60.38988562,1.04220765,1.291020566,0.2488129161,987.5,986.8986111,-0.6013888889,0,0,0,897.7920833,862.0972222,-35.69486111,61.7825877,59.74568868,-2.036899014,152.8783456,216.1275619,63.24921634,32.40740741,232.337,232.337,True,True
9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc__TO__0817e595-17c0-5e20-94bc-6778006bf613,2020,88,Colton Herta,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,1,2,2020-08-15T17:24:05Z,2020-08-15T19:05:50Z,101.75,230.56,230.775,0.215,50.55555556,50.55555556,0,29.30069059,30.91746631,1.616775725,18.58638552,18.4906036,-0.09578191969,52.58042103,47.58265857,-4.997762462,0.6349212184,0.4897691095,-0.1451521089,63.28718433,1.503899483,-61.78328485,0.9847908306,1.353879173,0.3690883422,987.3795833,986.8902778,-0.4893055556,0,0,0,905.6194444,856.6805556,-48.93888889,63.52540222,59.16426167,-4.361140553,166.0171482,218.2237598,52.20661166,0,231.595,231.595,True,True
75519828-93ba-5485-a4bf-a06b93f7cec3__TO__fb65c8cf-d1c6-583e-9563-6c22e29bb081,2020,59,Max Chilton,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,1,2,2020-08-15T17:29:05Z,2020-08-15T20:10:00Z,160.9166667,225.819,227.303,1.484,50.55555556,54.44444444,3.888888889,29.39998716,31.22256877,1.822581609,18.54148907,18.38181203,-0.1596770393,52.13622698,46.44564111,-5.69058587,0.6262041584,0.4858239878,-0.1403801706,62.22665387,42.42223339,-19.80442048,0.9802980591,2.284332819,1.30403476,987.3545833,987.1333333,-0.22125,0,0,0,906.7861111,731.1833333,-175.6027778,63.7345077,49.79345476,-13.94105294,168.7085094,239.8821249,71.17361557,97.22222222,227.61,227.61,True,True
f2f5d37e-6270-5e2d-8ae0-2e63cea098b3__TO__7799cc62-18bb-568d-9de2-16cb3622a0de,2020,3,Helio Castroneves,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,7799cc62-18bb-568d-9de2-16cb3622a0de,1,2,2020-08-15T17:34:05Z,2020-08-15T19:39:10Z,125.0833333,228.115,228.373,0.258,51.66666667,53.33333333,1.666666667,29.33661168,30.85203451,1.515422821,18.74768346,18.74267074,-0.005012724135,53.02135671,48.55791183,-4.463444877,0.7062880825,0.5818249336,-0.124463149,70.31107098,55.56794177,-14.74312921,1.248461719,2.139290667,0.890828948,987.6431944,986.9875,-0.6556944444,0,0,0,909.6333333,773.8333333,-135.8,63.89908082,54.66808991,-9.23099091,171.4334481,230.5876807,59.15423267,41.66666667,228.451,228.451,True,True
