held_out_year,model,term,coefficient
2020,M0_ELAPSED_REFERENCE,intercept,2.167874418
2020,M0_ELAPSED_REFERENCE,elapsed_minutes,-0.009745500068
2021,M0_ELAPSED_REFERENCE,intercept,0.5985405644
2021,M0_ELAPSED_REFERENCE,elapsed_minutes,0.0005969211924
2023,M0_ELAPSED_REFERENCE,intercept,1.012293162
2023,M0_ELAPSED_REFERENCE,elapsed_minutes,-0.004000273767
2020,M1_TRACK_LINEAR,intercept,1.834819226
2020,M1_TRACK_LINEAR,delta_track_temp_c,-0.1890989787
2021,M1_TRACK_LINEAR,intercept,0.8106318577
2021,M1_TRACK_LINEAR,delta_track_temp_c,-0.02238221592
2023,M1_TRACK_LINEAR,intercept,0.7750985911
2023,M1_TRACK_LINEAR,delta_track_temp_c,-0.06366869327
2020,M2_TRACK_NONLINEAR,intercept,1.699487363
2020,M2_TRACK_NONLINEAR,delta_track_temp_c,-0.1527621144
2020,M2_TRACK_NONLINEAR,delta_track_temp_centered_sq_c2,-0.007255831535
2021,M2_TRACK_NONLINEAR,intercept,0.9281990627
2021,M2_TRACK_NONLINEAR,delta_track_temp_c,0.03199751335
2021,M2_TRACK_NONLINEAR,delta_track_temp_centered_sq_c2,-0.005412106155
2023,M2_TRACK_NONLINEAR,intercept,0.7730141765
2023,M2_TRACK_NONLINEAR,delta_track_temp_c,-0.07224870113
2023,M2_TRACK_NONLINEAR,delta_track_temp_centered_sq_c2,0.00128885781
2020,M3_THERMAL_AIR_SOLAR,intercept,2.237196245
2020,M3_THERMAL_AIR_SOLAR,delta_track_temp_c,-0.0254008821
2020,M3_THERMAL_AIR_SOLAR,delta_track_temp_centered_sq_c2,-0.005918811429
2020,M3_THERMAL_AIR_SOLAR,delta_air_temp_c,-0.3979410699
2020,M3_THERMAL_AIR_SOLAR,delta_solar_radiation_wm2,0.0004980297548
2020,M3_THERMAL_AIR_SOLAR,delta_solar_elevation_deg,0.04676014317
2021,M3_THERMAL_AIR_SOLAR,intercept,1.29923254
2021,M3_THERMAL_AIR_SOLAR,delta_track_temp_c,0.210279825
2021,M3_THERMAL_AIR_SOLAR,delta_track_temp_centered_sq_c2,-0.003664152588
2021,M3_THERMAL_AIR_SOLAR,delta_air_temp_c,-0.6248456725
2021,M3_THERMAL_AIR_SOLAR,delta_solar_radiation_wm2,-0.003039802213
2021,M3_THERMAL_AIR_SOLAR,delta_solar_elevation_deg,-0.01539174453
2023,M3_THERMAL_AIR_SOLAR,intercept,0.9549772608
2023,M3_THERMAL_AIR_SOLAR,delta_track_temp_c,-0.105487138
2023,M3_THERMAL_AIR_SOLAR,delta_track_temp_centered_sq_c2,0.004848719982
2023,M3_THERMAL_AIR_SOLAR,delta_air_temp_c,-0.08634560079
2023,M3_THERMAL_AIR_SOLAR,delta_solar_radiation_wm2,0.002382058262
2023,M3_THERMAL_AIR_SOLAR,delta_solar_elevation_deg,-0.01072955913
2020,M4_EXTENDED_PHYSICS,intercept,2.444189859
2020,M4_EXTENDED_PHYSICS,delta_track_temp_c,0.05513128594
2020,M4_EXTENDED_PHYSICS,delta_track_temp_centered_sq_c2,-0.008371135628
2020,M4_EXTENDED_PHYSICS,delta_air_temp_c,-0.1216159234
2020,M4_EXTENDED_PHYSICS,delta_solar_radiation_wm2,0.002424387525
2020,M4_EXTENDED_PHYSICS,delta_solar_elevation_deg,0.05064020414
2020,M4_EXTENDED_PHYSICS,delta_wind_speed_ms,-0.04008445557
2020,M4_EXTENDED_PHYSICS,delta_relative_humidity_pct,0.0608102523
2020,M4_EXTENDED_PHYSICS,delta_dewpoint_c,0.3643494395
2020,M4_EXTENDED_PHYSICS,delta_cloud_cover_fraction,0.1174758514
2021,M4_EXTENDED_PHYSICS,intercept,0.1994954006
2021,M4_EXTENDED_PHYSICS,delta_track_temp_c,-0.01312454745
2021,M4_EXTENDED_PHYSICS,delta_track_temp_centered_sq_c2,0.0073334064
2021,M4_EXTENDED_PHYSICS,delta_air_temp_c,0.02057233254
2021,M4_EXTENDED_PHYSICS,delta_solar_radiation_wm2,-0.002823603492
2021,M4_EXTENDED_PHYSICS,delta_solar_elevation_deg,-0.009508296606
2021,M4_EXTENDED_PHYSICS,delta_wind_speed_ms,0.6369395099
2021,M4_EXTENDED_PHYSICS,delta_relative_humidity_pct,0.01379916215
2021,M4_EXTENDED_PHYSICS,delta_dewpoint_c,0.2607545137
2021,M4_EXTENDED_PHYSICS,delta_cloud_cover_fraction,29.97366918
2023,M4_EXTENDED_PHYSICS,intercept,0.8049716907
2023,M4_EXTENDED_PHYSICS,delta_track_temp_c,-0.09866890679
2023,M4_EXTENDED_PHYSICS,delta_track_temp_centered_sq_c2,0.005083102526
2023,M4_EXTENDED_PHYSICS,delta_air_temp_c,-0.06468686824
2023,M4_EXTENDED_PHYSICS,delta_solar_radiation_wm2,0.002564240973
2023,M4_EXTENDED_PHYSICS,delta_solar_elevation_deg,-0.01525368947
2023,M4_EXTENDED_PHYSICS,delta_wind_speed_ms,-0.746033771
2023,M4_EXTENDED_PHYSICS,delta_relative_humidity_pct,0.02161531249
2023,M4_EXTENDED_PHYSICS,delta_dewpoint_c,-0.2316605209
2023,M4_EXTENDED_PHYSICS,delta_cloud_cover_fraction,0.1700995757
2020,M5_ONLINE_STATE,intercept,3.566397715
2020,M5_ONLINE_STATE,delta_track_temp_c,-0.07345775905
2020,M5_ONLINE_STATE,delta_track_temp_centered_sq_c2,-0.003073520649
2020,M5_ONLINE_STATE,delta_air_temp_c,-0.5177380759
2020,M5_ONLINE_STATE,delta_solar_radiation_wm2,0.0006206028463
2020,M5_ONLINE_STATE,delta_solar_elevation_deg,0.04983962361
2020,M5_ONLINE_STATE,elapsed_minutes,0.001509960912
2020,M5_ONLINE_STATE,before_attempt_index,-0.9281110785
2021,M5_ONLINE_STATE,intercept,1.998068036
2021,M5_ONLINE_STATE,delta_track_temp_c,0.1517958663
2021,M5_ONLINE_STATE,delta_track_temp_centered_sq_c2,-0.003610370999
2021,M5_ONLINE_STATE,delta_air_temp_c,-1.011704769
2021,M5_ONLINE_STATE,delta_solar_radiation_wm2,-0.0009276466054
2021,M5_ONLINE_STATE,delta_solar_elevation_deg,-0.0006194253473
2021,M5_ONLINE_STATE,elapsed_minutes,0.01023499359
2021,M5_ONLINE_STATE,before_attempt_index,-0.8025191361
2023,M5_ONLINE_STATE,intercept,1.791972074
2023,M5_ONLINE_STATE,delta_track_temp_c,-0.09727582639
2023,M5_ONLINE_STATE,delta_track_temp_centered_sq_c2,0.00482333674
2023,M5_ONLINE_STATE,delta_air_temp_c,-0.02849084942
2023,M5_ONLINE_STATE,delta_solar_radiation_wm2,0.001974084724
2023,M5_ONLINE_STATE,delta_solar_elevation_deg,-0.01744362276
2023,M5_ONLINE_STATE,elapsed_minutes,-0.00279649706
2023,M5_ONLINE_STATE,before_attempt_index,-0.5688996668
2020,M_PHYSICS_PLUS_FF,intercept,94.04783571
2020,M_PHYSICS_PLUS_FF,delta_track_temp_c,-0.143382274
2020,M_PHYSICS_PLUS_FF,fast_friday_reference_mph_before,-0.4012665364
2021,M_PHYSICS_PLUS_FF,intercept,48.6932607
