transition_id,year,model,observed_delta_speed_mph,predicted_delta_speed_mph,error_mph,residual_mph
954d29f8-6770-5c41-9322-b23c885935ef__TO__e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,2020,M0_ELAPSED_REFERENCE,-0.104,0.6573219073,0.7613219073,-0.7613219073
25f997a4-1a33-565b-b2b0-1c30d3a0f19c__TO__33a57398-b346-53e3-b5e5-369a3ca71efc,2020,M0_ELAPSED_REFERENCE,-0.041,0.6573219073,0.6983219073,-0.6983219073
194c9baa-3297-571e-82bf-ac3ba81e07fc__TO__757828a3-822d-5bd8-b9f0-681a6918b48b,2020,M0_ELAPSED_REFERENCE,0.311,-0.6347689768,-0.9457689768,0.9457689768
518373d9-25de-58cf-8315-f6c215b6f672__TO__25ddda12-052a-5d71-ac52-6e96cf8edab9,2020,M0_ELAPSED_REFERENCE,0.094,0.9659294095,0.8719294095,-0.8719294095
9a2e168d-3dda-5e76-8daf-588c20d91341__TO__893c5471-df02-55c0-946f-0af9d0a835d9,2020,M0_ELAPSED_REFERENCE,0.4,0.8026922833,0.4026922833,-0.4026922833
a3016f3b-449e-576c-bf0f-284c71eddb34__TO__b58b5c13-1a21-50cf-ab5b-8962cc4486f0,2020,M0_ELAPSED_REFERENCE,1.971,0.469721031,-1.501278969,1.501278969
a7f0ef57-a971-5870-9606-1fe1cd378e2a__TO__df3c02a3-9655-512c-a2e6-4ffe9eadc505,2020,M0_ELAPSED_REFERENCE,0.071,0.9732385345,0.9022385345,-0.9022385345
9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc__TO__0817e595-17c0-5e20-94bc-6778006bf613,2020,M0_ELAPSED_REFERENCE,0.215,1.176269786,0.9612697859,-0.9612697859
75519828-93ba-5485-a4bf-a06b93f7cec3__TO__fb65c8cf-d1c6-583e-9563-6c22e29bb081,2020,M0_ELAPSED_REFERENCE,1.484,0.5996610319,-0.8843389681,0.8843389681
f2f5d37e-6270-5e2d-8ae0-2e63cea098b3__TO__7799cc62-18bb-568d-9de2-16cb3622a0de,2020,M0_ELAPSED_REFERENCE,0.258,0.9488747843,0.6908747843,-0.6908747843
33a57398-b346-53e3-b5e5-369a3ca71efc__TO__b4a08fbf-93db-50a2-9416-96b3b9d1b41a,2020,M0_ELAPSED_REFERENCE,0.102,1.444271038,1.342271038,-1.342271038
c2deab22-d3a0-5601-80f8-4cbf631c8f88__TO__b671a083-ccd6-5511-a882-53e7bf202c19,2021,M0_ELAPSED_REFERENCE,0.611,0.699509784,0.08850978404,-0.08850978404
4e9e7c88-ddeb-5840-93be-4f539f6eaf04__TO__4085390f-e83a-5315-8def-464aeb920059,2021,M0_ELAPSED_REFERENCE,0.798,0.7704638164,-0.02753618356,0.02753618356
8c31470a-6324-527c-bfc3-fe19d8c1dc4d__TO__09935cc4-f542-569f-b50c-7460e0663860,2021,M0_ELAPSED_REFERENCE,-0.02,0.6920582178,0.7120582178,-0.7120582178
c4c9ba22-d28c-5937-b36c-72fffbbb67b5__TO__2493785c-dc47-5ba6-8d28-5398e7a11983,2021,M0_ELAPSED_REFERENCE,0.022,0.6736531477,0.6516531477,-0.6516531477
