year,driver_name,source_path,source_type,line_or_row,speed_hits_mph,lap_time_hits_s,context,evidence_score
2021,Charlie Kimball,weather/evidence/last_chance_official/2021_last_chance_session_5847_v2.json,json,1,229.156;229.156;228.876;228.876;228.353;228.353;227.811;227.811;227.584;227.584;227.298;227.298;226.813;226.813,39.1250;39.2288;39.3235;39.4209;39.1215;39.2831;39.3316;39.5543;39.3222;39.3830;39.4528;39.4924;38.0256;39.4129;39.4789;39.5297;39.6041;38.1831;39.4758;39.5510;39.5601;39.5962;38.3823;39.4854;39.5940;39.6357;39.6672;38.7212;39.6084;39.6850;39.6822;39.7456,"{""EventName"":""105th Running of the Indianapolis 500"",""SessionName"":""Qualifications - Last Row"",""SessionDate"":""5/23/2021"",""SessionDateFormatted"":""Sunday, May 23, 2021"",""SessionType"":""Q"",""TrackType"":""I"",""records"":[{""DriverUrl"":null,""DriversID"":4247,""FirstName"":""Sage"",""LastName"":""Karam"",""CarNumber"":""24"",""EventsSessionsDetailsID"":101338,""EventsSessionsID"":5847,""EventsEntrylistID"":33926,""DriverOverrideID"":4247,""PositionStart"":null,""PositionFinish"":31,""ElapsedTime"":""02:37.0982"",""LapsComplete"":null,""LapsDown"":null,""BestLapTime"":null,""BestSpeed"":null,""InLap"":null,""Difference"":null,""Gap"":null,""SpeedAvg"":229.156,""TimesLed"":null,""LapsLed"":null,""PitStops"":null,""Status"":null,""PointsEarned"":null,""IsDeleted"":false,""QualLap1"":"" 39.1250"",""QualLap2"":"" 39.2288"",""QualLap3"":"" 39.3235"",""QualLap4"":"" 39.4209"",""DriverName"":""Sage Karam"",""SpeedAvgFormatted"":""229.156"",""BestSpeedFormatted"":null,""TeamName"":""Dreyer \u0026 Reinbold Racing""},{""DriverUrl"":""/Drivers/Will-Power"",""DriversID"":3667,""FirstName"":""Will"",""LastName"":""Power"",""CarNumber"":""12"",""EventsSessionsDetailsID"":101339,""EventsSessionsID"":5847,""EventsEntrylistID"":33904,""DriverOverrideID"":3667,""PositionStart"":null,""PositionFinish"":32,""ElapsedTime"":""02:37.2905"",""LapsComplete"":null,""LapsDown"":null,""BestLapTime"":null,""BestSpeed"":null,""InLap"":null,""Difference"":null,""Gap"":null,""SpeedAvg"":228.876,""TimesLed"":null,""LapsLed"":null,""PitStops"":null,""Status"":null,""PointsEarned"":null,""IsDeleted"":false,""QualLap1"":"" 39.1215"",""QualLap2"":"" 39.2831"",""QualLap3"":"" 39.3316"",""QualLap4"":"" 39.5543"",""DriverName"":""Will Power"",""SpeedAvgFormatted"":""228.876"",""BestSpeedFormatted"":null,""TeamName"":""Team Penske""},{""DriverUrl"":null,""DriversID"":3813,""FirstName"":""Simona"",""LastName"":""De Silvestro"",""CarNumber"":""16"",""EventsSessionsDetailsID"":101340,""EventsSessionsID"":5847,""EventsEntrylistID"":33924,""DriverOverrideID"":3813,""PositionStart"":null,""PositionFinish"":33,""ElapsedTime"":""02:37.6504"",""LapsComplete"":null,""LapsDown"":null,""BestLapTime"":null,""BestSpeed"":null,""InLap"":null,""Difference"":null,""Gap"":null,""SpeedAvg"":228.353,""TimesLed"":null,""LapsLed"":null,""PitStops"":null,""Status"":null,""PointsEarned"":null,""IsDeleted"":false,""QualLap1"":"" 39.3222"",""QualLap2"":"" 39.3830"",""QualLap3"":"" 39.4528"",""QualLap4"":"" 39.4924"",""DriverName"":""Simona De Silvestro"",""SpeedAvgFormatted"":""228.353"",""BestSpeedFormatted"":null,""TeamName"":""Paretta Autosport""},{""DriverUrl"":null,""DriversID"":4144,""FirstName"":""Charlie"",""LastName"":""Kimball"",""CarNumber"":""11"",""EventsSessionsDetailsID"":101341,""EventsSessionsID"":584",12
2021,Charlie Kimball,r4/output/r4lc3_last_chance_official_records_v1.csv,csv,5,227.811;227.811,38.0256;39.4129;39.4789;39.5297;39.6041,CarNumber=11 | DriverName=Charlie Kimball | DriverOverrideID=4144 | DriversID=4144 | ElapsedTime=02:38.0256 | EventsEntrylistID=33923 | EventsSessionsDetailsID=101341 | EventsSessionsID=5847 | FirstName=Charlie | IsDeleted=False | LastName=Kimball | PositionFinish=72 | QualLap1=39.4129 | QualLap2=39.4789 | QualLap3=39.5297 | QualLap4=39.6041 | SpeedAvg=227.811 | SpeedAvgFormatted=227.811 | TeamName=A.J. Foyt Enterprises | record_index=4 | session_id=5847 | year=2021,12
2021,Charlie Kimball,r4/output/r4lc3_last_chance_official_records_v1.csv,csv,6,227.584;227.584,38.1831;39.4758;39.5510;39.5601;39.5962,CarNumber=11 | DriverName=Charlie Kimball | DriverOverrideID=4144 | DriversID=4144 | ElapsedTime=02:38.1831 | EventsEntrylistID=33923 | EventsSessionsDetailsID=101342 | EventsSessionsID=5847 | FirstName=Charlie | IsDeleted=False | LastName=Kimball | PositionFinish=73 | QualLap1=39.4758 | QualLap2=39.5510 | QualLap3=39.5601 | QualLap4=39.5962 | SpeedAvg=227.584 | SpeedAvgFormatted=227.584 | TeamName=A.J. Foyt Enterprises | record_index=5 | session_id=5847 | year=2021,12
2021,Charlie Kimball,weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt,txt,59,229.016;228.880;228.453;228.401;228.395;228.173;228.013,39.1864;39.4108;39.3219;39.3219;39.1826;39.6081;39.3012;39.3831;39.4362;39.4968;39.0962;39.3756;39.4229;39.7267;39.2807;39.3708;39.4342;39.6892;39.4082;39.4810;39.4974;39.4994," 49    24   Karam, Sage            D/C/F    39.1864     39.4108     0.0000     0.0000    01:18.5972     229.016       Day 1        Waved Off ||  50    24   Karam, Sage            D/C/F    39.3219      0.0000     0.0000     0.0000    00:39.3219     228.880       Day 1        Waved Off ||  51    06   Castroneves, Helio     D/H/F    39.1826     39.6081     0.0000     0.0000    01:18.7907     228.453       Day 1        Waved Off ||  52    11   Kimball, Charlie       D/C/F    39.3012     39.3831    39.4362    39.4968    02:37.6173     228.401       Day 1      Failed Attempt ||  53    16   De Silvestro, Simona   D/C/F    39.0962     39.3756    39.4229    39.7267    02:37.6214     228.395       Day 1      Failed Attempt ||  54    16   De Silvestro, Simona   D/C/F    39.2807     39.3708    39.4342    39.6892    02:37.7749     228.173       Day 1      Failed Attempt ||  55    16   De Silvestro, Simona   D/C/F    39.4082     39.4810    39.4974    39.4994    02:37.8860     228.013       Day 1      Failed Attempt",11
2021,Charlie Kimball,weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt,txt,65,228.013;227.410;227.283;227.053;225.496;230.565,39.4082;39.4810;39.4974;39.4994;39.5314;39.6208;39.5355;39.5750;39.6273;39.6553;38.3931;39.6135;39.6631;39.2952;39.9568;39.9035;40.4927;39.6482," 55    16   De Silvestro, Simona   D/C/F    39.4082     39.4810    39.4974    39.4994    02:37.8860     228.013       Day 1      Failed Attempt ||  56    75   Enerson, RC            D/C/F    39.5314     39.6208     0.0000     0.0000    01:19.1522     227.410       Day 1        Waved Off ||  57    75   Enerson, RC            D/C/F    39.5355     39.5750    39.6273    39.6553    02:38.3931     227.283       Day 1      Failed Attempt ||  58    11   Kimball, Charlie       D/C/F    39.6135     39.6631     0.0000     0.0000    01:19.2766     227.053       Day 1        Waved Off ||  59    60   Harvey, Jack           D/H/F    39.2952     39.9568    39.9035    40.4927    02:39.6482     225.496       Day 1          Bumped ||  ||                                                       Field Average: 230.565 mph",11
2021,Charlie Kimball,weather/output/official_day1_results_attempt_rows_v1.csv,csv,112,228.401;228.401,39.3012;39.3831;39.4362;39.4968;39.3012;39.3831;39.4362;39.4968,"year=2021 | source_file=2021_5838_01_Results.txt | source_line_number=59 | result_row=52 | car_number=11 | driver_name_pdf=Kimball, Charlie | engine_tire=D/C/F | qual_lap_1=39.3012 | qual_lap_2=39.3831 | qual_lap_3=39.4362 | qual_lap_4=39.4968 | elapsed_time=02:37.6173 | speed_avg_mph=228.401 | status=Failed Attempt | raw_line= 52    11   Kimball, Charlie       D/C/F    39.3012     39.3831    39.4362    39.4968    02:37.6173     228.401       Day 1      Failed Attempt",11
2021,Charlie Kimball,weather/output/official_day1_results_attempt_rows_v1.csv,csv,118,227.053;227.053,39.6135;39.6631;39.6135;39.6631,"year=2021 | source_file=2021_5838_01_Results.txt | source_line_number=65 | result_row=58 | car_number=11 | driver_name_pdf=Kimball, Charlie | engine_tire=D/C/F | qual_lap_1=39.6135 | qual_lap_2=39.6631 | qual_lap_3=0.0000 | qual_lap_4=0.0000 | elapsed_time=01:19.2766 | speed_avg_mph=227.053 | status=Waved Off | raw_line= 58    11   Kimball, Charlie       D/C/F    39.6135     39.6631     0.0000     0.0000    01:19.2766     227.053       Day 1        Waved Off",11
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,139,228.401;228.880;228.453;228.401;228.395;228.173,39.3012;39.3831;39.4362;39.4968;39.3219;39.3219;39.1826;39.6081;39.3012;39.3831;39.4362;39.4968;39.0962;39.3756;39.4229;39.7267;39.2807;39.3708;39.4342;39.6892,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=attempt | line_number=59 | line_text=52    11   Kimball, Charlie       D/C/F    39.3012     39.3831    39.4362    39.4968    02:37.6173     228.401       Day 1      Failed Attempt | context=57:  50    24   Karam, Sage            D/C/F    39.3219      0.0000     0.0000     0.0000    00:39.3219     228.880       Day 1        Waved Off || 58:  51    06   Castroneves, Helio     D/H/F    39.1826     39.6081     0.0000     0.0000    01:18.7907     228.453       Day 1        Waved Off || 59:  52    11   Kimball, Charlie       D/C/F    39.3012     39.3831    39.4362    39.4968    02:37.6173     228.401       Day 1      Failed Attempt || 60:  53    16   De Silvestro, Simona   D/C/F    39.0962     39.3756    39.4229    39.7267    02:37.6214     228.395       Day 1      Failed Attempt || 61:  54    16   De Silvestro, Simona   D/C/F    39.2807     39.3708    39.4342    39.6892    02:37.7749     228.173       Day 1      Failed Attempt",11
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,140,228.395;228.453;228.401;228.395;228.173;228.013,39.0962;39.3756;39.4229;39.7267;39.1826;39.6081;39.3012;39.3831;39.4362;39.4968;39.0962;39.3756;39.4229;39.7267;39.2807;39.3708;39.4342;39.6892;39.4082;39.4810;39.4974;39.4994,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=attempt | line_number=60 | line_text=53    16   De Silvestro, Simona   D/C/F    39.0962     39.3756    39.4229    39.7267    02:37.6214     228.395       Day 1      Failed Attempt | context=58:  51    06   Castroneves, Helio     D/H/F    39.1826     39.6081     0.0000     0.0000    01:18.7907     228.453       Day 1        Waved Off || 59:  52    11   Kimball, Charlie       D/C/F    39.3012     39.3831    39.4362    39.4968    02:37.6173     228.401       Day 1      Failed Attempt || 60:  53    16   De Silvestro, Simona   D/C/F    39.0962     39.3756    39.4229    39.7267    02:37.6214     228.395       Day 1      Failed Attempt || 61:  54    16   De Silvestro, Simona   D/C/F    39.2807     39.3708    39.4342    39.6892    02:37.7749     228.173       Day 1      Failed Attempt || 62:  55    16   De Silvestro, Simona   D/C/F    39.4082     39.4810    39.4974    39.4994    02:37.8860     228.013       Day 1      Failed Attempt",11
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,141,228.173;228.401;228.395;228.173;228.013;227.410,39.2807;39.3708;39.4342;39.6892;39.3012;39.3831;39.4362;39.4968;39.0962;39.3756;39.4229;39.7267;39.2807;39.3708;39.4342;39.6892;39.4082;39.4810;39.4974;39.4994;39.5314;39.6208,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=attempt | line_number=61 | line_text=54    16   De Silvestro, Simona   D/C/F    39.2807     39.3708    39.4342    39.6892    02:37.7749     228.173       Day 1      Failed Attempt | context=59:  52    11   Kimball, Charlie       D/C/F    39.3012     39.3831    39.4362    39.4968    02:37.6173     228.401       Day 1      Failed Attempt || 60:  53    16   De Silvestro, Simona   D/C/F    39.0962     39.3756    39.4229    39.7267    02:37.6214     228.395       Day 1      Failed Attempt || 61:  54    16   De Silvestro, Simona   D/C/F    39.2807     39.3708    39.4342    39.6892    02:37.7749     228.173       Day 1      Failed Attempt || 62:  55    16   De Silvestro, Simona   D/C/F    39.4082     39.4810    39.4974    39.4994    02:37.8860     228.013       Day 1      Failed Attempt || 63:  56    75   Enerson, RC            D/C/F    39.5314     39.6208     0.0000     0.0000    01:19.1522     227.410       Day 1        Waved Off",11
