dataset,year,feature,column,n_total,n_available,coverage
FADE,2020,track_temp,track_temperature_c_assembled,46,39,0.8478260869565217
FADE,2021,track_temp,track_temperature_c_assembled,51,48,0.9411764705882353
FADE,2022,track_temp,track_temperature_c_assembled,40,0,0.0
FADE,2023,track_temp,track_temperature_c_assembled,69,28,0.4057971014492754
FADE,2024,track_temp,track_temperature_c_assembled,54,6,0.1111111111111111
FADE,ALL,track_temp_trend,NOT_FOUND,260,0,0.0
FADE,ALL,air_temp,NOT_FOUND,260,0,0.0
FADE,2020,dewpoint,forecast_dewpoint_c,46,39,0.8478260869565217
FADE,2021,dewpoint,forecast_dewpoint_c,51,49,0.9607843137254902
FADE,2022,dewpoint,forecast_dewpoint_c,40,0,0.0
FADE,2023,dewpoint,forecast_dewpoint_c,69,28,0.4057971014492754
FADE,2024,dewpoint,forecast_dewpoint_c,54,7,0.12962962962962962
FADE,2020,humidity,forecast_relative_humidity_pct,46,39,0.8478260869565217
FADE,2021,humidity,forecast_relative_humidity_pct,51,49,0.9607843137254902
FADE,2022,humidity,forecast_relative_humidity_pct,40,0,0.0
FADE,2023,humidity,forecast_relative_humidity_pct,69,28,0.4057971014492754
FADE,2024,humidity,forecast_relative_humidity_pct,54,7,0.12962962962962962
FADE,2020,pressure,forecast_pressure_hpa,46,39,0.8478260869565217
FADE,2021,pressure,forecast_pressure_hpa,51,49,0.9607843137254902
FADE,2022,pressure,forecast_pressure_hpa,40,0,0.0
FADE,2023,pressure,forecast_pressure_hpa,69,28,0.4057971014492754
FADE,2024,pressure,forecast_pressure_hpa,54,7,0.12962962962962962
FADE,2020,air_density,air_density_kg_m3,46,39,0.8478260869565217
FADE,2021,air_density,air_density_kg_m3,51,49,0.9607843137254902
FADE,2022,air_density,air_density_kg_m3,40,0,0.0
FADE,2023,air_density,air_density_kg_m3,69,28,0.4057971014492754
FADE,2024,air_density,air_density_kg_m3,54,7,0.12962962962962962
FADE,2020,wind_speed,forecast_wind_speed_10m_ms,46,39,0.8478260869565217
FADE,2021,wind_speed,forecast_wind_speed_10m_ms,51,49,0.9607843137254902
FADE,2022,wind_speed,forecast_wind_speed_10m_ms,40,0,0.0
FADE,2023,wind_speed,forecast_wind_speed_10m_ms,69,28,0.4057971014492754
FADE,2024,wind_speed,forecast_wind_speed_10m_ms,54,7,0.12962962962962962
FADE,2020,wind_gust,forecast_gust_ms,46,39,0.8478260869565217
FADE,2021,wind_gust,forecast_gust_ms,51,49,0.9607843137254902
FADE,2022,wind_gust,forecast_gust_ms,40,0,0.0
FADE,2023,wind_gust,forecast_gust_ms,69,28,0.4057971014492754
FADE,2024,wind_gust,forecast_gust_ms,54,7,0.12962962962962962
FADE,2020,wind_u,wind_u_ms,46,39,0.8478260869565217
FADE,2021,wind_u,wind_u_ms,51,49,0.9607843137254902
FADE,2022,wind_u,wind_u_ms,40,0,0.0
FADE,2023,wind_u,wind_u_ms,69,28,0.4057971014492754
FADE,2024,wind_u,wind_u_ms,54,7,0.12962962962962962
FADE,2020,wind_v,wind_v_ms,46,39,0.8478260869565217
FADE,2021,wind_v,wind_v_ms,51,49,0.9607843137254902
FADE,2022,wind_v,wind_v_ms,40,0,0.0
FADE,2023,wind_v,wind_v_ms,69,28,0.4057971014492754
FADE,2024,wind_v,wind_v_ms,54,7,0.12962962962962962
FADE,2020,solar_elevation,solar_elevation_deg_assembled,46,39,0.8478260869565217
FADE,2021,solar_elevation,solar_elevation_deg_assembled,51,49,0.9607843137254902
FADE,2022,solar_elevation,solar_elevation_deg_assembled,40,0,0.0
FADE,2023,solar_elevation,solar_elevation_deg_assembled,69,28,0.4057971014492754
FADE,2024,solar_elevation,solar_elevation_deg_assembled,54,7,0.12962962962962962
FADE,2020,shortwave,forecast_shortwave_radiation_wm2,46,39,0.8478260869565217
FADE,2021,shortwave,forecast_shortwave_radiation_wm2,51,49,0.9607843137254902
FADE,2022,shortwave,forecast_shortwave_radiation_wm2,40,0,0.0
FADE,2023,shortwave,forecast_shortwave_radiation_wm2,69,28,0.4057971014492754
FADE,2024,shortwave,forecast_shortwave_radiation_wm2,54,7,0.12962962962962962
FADE,2020,cloud,forecast_cloud_cover_pct,46,39,0.8478260869565217
FADE,2021,cloud,forecast_cloud_cover_pct,51,49,0.9607843137254902
FADE,2022,cloud,forecast_cloud_cover_pct,40,0,0.0
FADE,2023,cloud,forecast_cloud_cover_pct,69,28,0.4057971014492754
FADE,2024,cloud,forecast_cloud_cover_pct,54,7,0.12962962962962962
