dataset,year,feature,column,n_total,n_available,coverage
REPEAT,2020,delta_track_temp,delta_track_temp_c,13,11,0.8461538461538461
REPEAT,2021,delta_track_temp,delta_track_temp_c,16,15,0.9375
REPEAT,2022,delta_track_temp,delta_track_temp_c,8,0,0.0
REPEAT,2023,delta_track_temp,delta_track_temp_c,35,12,0.34285714285714286
REPEAT,2024,delta_track_temp,delta_track_temp_c,20,0,0.0
REPEAT,2020,delta_air_temp,delta_air_temp_c,13,11,0.8461538461538461
REPEAT,2021,delta_air_temp,delta_air_temp_c,16,16,1.0
REPEAT,2022,delta_air_temp,delta_air_temp_c,8,0,0.0
REPEAT,2023,delta_air_temp,delta_air_temp_c,35,12,0.34285714285714286
REPEAT,2024,delta_air_temp,delta_air_temp_c,20,1,0.05
REPEAT,2020,delta_dewpoint,delta_dewpoint_c,13,11,0.8461538461538461
REPEAT,2021,delta_dewpoint,delta_dewpoint_c,16,16,1.0
REPEAT,2022,delta_dewpoint,delta_dewpoint_c,8,0,0.0
REPEAT,2023,delta_dewpoint,delta_dewpoint_c,35,12,0.34285714285714286
REPEAT,2024,delta_dewpoint,delta_dewpoint_c,20,1,0.05
REPEAT,ALL,delta_humidity,NOT_FOUND,92,0,0.0
REPEAT,2020,delta_pressure,delta_pressure_hpa,13,11,0.8461538461538461
REPEAT,2021,delta_pressure,delta_pressure_hpa,16,16,1.0
REPEAT,2022,delta_pressure,delta_pressure_hpa,8,0,0.0
REPEAT,2023,delta_pressure,delta_pressure_hpa,35,12,0.34285714285714286
REPEAT,2024,delta_pressure,delta_pressure_hpa,20,1,0.05
REPEAT,2020,delta_air_density,delta_air_density_kg_m3,13,11,0.8461538461538461
REPEAT,2021,delta_air_density,delta_air_density_kg_m3,16,16,1.0
REPEAT,2022,delta_air_density,delta_air_density_kg_m3,8,0,0.0
REPEAT,2023,delta_air_density,delta_air_density_kg_m3,35,12,0.34285714285714286
REPEAT,2024,delta_air_density,delta_air_density_kg_m3,20,1,0.05
REPEAT,2020,delta_wind_speed,delta_wind_speed_ms,13,11,0.8461538461538461
REPEAT,2021,delta_wind_speed,delta_wind_speed_ms,16,16,1.0
REPEAT,2022,delta_wind_speed,delta_wind_speed_ms,8,0,0.0
REPEAT,2023,delta_wind_speed,delta_wind_speed_ms,35,12,0.34285714285714286
REPEAT,2024,delta_wind_speed,delta_wind_speed_ms,20,1,0.05
REPEAT,2020,delta_gust,delta_gust_ms,13,11,0.8461538461538461
REPEAT,2021,delta_gust,delta_gust_ms,16,16,1.0
REPEAT,2022,delta_gust,delta_gust_ms,8,0,0.0
REPEAT,2023,delta_gust,delta_gust_ms,35,12,0.34285714285714286
REPEAT,2024,delta_gust,delta_gust_ms,20,1,0.05
REPEAT,2020,delta_wind_u,delta_wind_u_ms,13,11,0.8461538461538461
REPEAT,2021,delta_wind_u,delta_wind_u_ms,16,16,1.0
REPEAT,2022,delta_wind_u,delta_wind_u_ms,8,0,0.0
REPEAT,2023,delta_wind_u,delta_wind_u_ms,35,12,0.34285714285714286
REPEAT,2024,delta_wind_u,delta_wind_u_ms,20,1,0.05
REPEAT,2020,delta_wind_v,delta_wind_v_ms,13,11,0.8461538461538461
REPEAT,2021,delta_wind_v,delta_wind_v_ms,16,16,1.0
REPEAT,2022,delta_wind_v,delta_wind_v_ms,8,0,0.0
REPEAT,2023,delta_wind_v,delta_wind_v_ms,35,12,0.34285714285714286
REPEAT,2024,delta_wind_v,delta_wind_v_ms,20,1,0.05
REPEAT,2020,delta_shortwave,delta_shortwave_radiation_wm2,13,11,0.8461538461538461
REPEAT,2021,delta_shortwave,delta_shortwave_radiation_wm2,16,16,1.0
REPEAT,2022,delta_shortwave,delta_shortwave_radiation_wm2,8,0,0.0
REPEAT,2023,delta_shortwave,delta_shortwave_radiation_wm2,35,12,0.34285714285714286
REPEAT,2024,delta_shortwave,delta_shortwave_radiation_wm2,20,1,0.05
REPEAT,2020,delta_cloud,delta_cloud_cover_pct,13,11,0.8461538461538461
REPEAT,2021,delta_cloud,delta_cloud_cover_pct,16,16,1.0
REPEAT,2022,delta_cloud,delta_cloud_cover_pct,8,0,0.0
REPEAT,2023,delta_cloud,delta_cloud_cover_pct,35,12,0.34285714285714286
REPEAT,2024,delta_cloud,delta_cloud_cover_pct,20,1,0.05
