year,table,field,rows,non_null,missing,coverage_pct
2020,DAY1_FIRST_RUN,own_car_fast_friday_baseline_reference,33,33,0,100
2020,DAY1_FIRST_RUN,own_car_fast_friday_four_lap_average_mph,33,0,33,0
2020,DAY1_FIRST_RUN,timestamp_utc,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,track_temperature,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,air_temperature_c,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,dew_point_c,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,humidity_pct,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,pressure_hpa,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,wind_speed_ms,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,gust_ms,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,solar_elevation_deg_assembled,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,shortwave_radiation_wm2,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,cloud_cover_pct,33,28,5,84.84848485
2021,DAY1_FIRST_RUN,own_car_fast_friday_baseline_reference,35,35,0,100
2021,DAY1_FIRST_RUN,own_car_fast_friday_four_lap_average_mph,35,0,35,0
2021,DAY1_FIRST_RUN,timestamp_utc,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,track_temperature,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,air_temperature_c,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,dew_point_c,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,humidity_pct,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,pressure_hpa,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,wind_speed_ms,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,gust_ms,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,solar_elevation_deg_assembled,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,shortwave_radiation_wm2,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,cloud_cover_pct,35,33,2,94.28571429
2022,DAY1_FIRST_RUN,own_car_fast_friday_baseline_reference,32,32,0,100
2022,DAY1_FIRST_RUN,own_car_fast_friday_four_lap_average_mph,32,5,27,15.625
2022,DAY1_FIRST_RUN,timestamp_utc,32,0,32,0
2022,DAY1_FIRST_RUN,track_temperature,32,0,32,0
2022,DAY1_FIRST_RUN,air_temperature_c,32,0,32,0
2022,DAY1_FIRST_RUN,dew_point_c,32,0,32,0
2022,DAY1_FIRST_RUN,humidity_pct,32,0,32,0
2022,DAY1_FIRST_RUN,pressure_hpa,32,0,32,0
2022,DAY1_FIRST_RUN,wind_speed_ms,32,0,32,0
2022,DAY1_FIRST_RUN,gust_ms,32,0,32,0
2022,DAY1_FIRST_RUN,solar_elevation_deg_assembled,32,0,32,0
2022,DAY1_FIRST_RUN,shortwave_radiation_wm2,32,0,32,0
2022,DAY1_FIRST_RUN,cloud_cover_pct,32,0,32,0
2023,DAY1_FIRST_RUN,own_car_fast_friday_baseline_reference,34,34,0,100
2023,DAY1_FIRST_RUN,own_car_fast_friday_four_lap_average_mph,34,4,30,11.76470588
2023,DAY1_FIRST_RUN,timestamp_utc,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,track_temperature,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,air_temperature_c,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,dew_point_c,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,humidity_pct,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,pressure_hpa,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,wind_speed_ms,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,gust_ms,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,solar_elevation_deg_assembled,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,shortwave_radiation_wm2,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,cloud_cover_pct,34,16,18,47.05882353
2024,DAY1_FIRST_RUN,own_car_fast_friday_baseline_reference,34,34,0,100
2024,DAY1_FIRST_RUN,own_car_fast_friday_four_lap_average_mph,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,timestamp_utc,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,track_temperature,34,5,29,14.70588235
2024,DAY1_FIRST_RUN,air_temperature_c,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,dew_point_c,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,humidity_pct,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,pressure_hpa,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,wind_speed_ms,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,gust_ms,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,solar_elevation_deg_assembled,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,shortwave_radiation_wm2,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,cloud_cover_pct,34,6,28,17.64705882
