year,car_number,driver_name,team_name,attempt_id,car_attempt_index,lap1_s,lap2_s,lap3_s,lap4_s,lap1_speed_mph,lap2_speed_mph,lap3_speed_mph,lap4_speed_mph,four_lap_average_speed_mph,lap2_minus_lap1,lap3_minus_lap2,lap4_minus_lap3,lap4_minus_lap1,mean_laps_3_4_minus_mean_laps_1_2,four_lap_slope_mph_per_lap,track_temperature_c_assembled,forecast_temp_c,forecast_dewpoint_c,forecast_relative_humidity_pct,forecast_pressure_hpa,air_density_kg_m3,forecast_wind_speed_10m_ms,forecast_gust_ms,forecast_wind_direction_deg,wind_u_ms,wind_v_ms,solar_elevation_deg_assembled,solar_zenith_deg_assembled,solar_azimuth_deg_assembled,forecast_shortwave_radiation_wm2,forecast_cloud_cover_pct,physical_link_quality,thermal_degradation_interpretation
2020,1,Josef Newgarden,Team Penske,00d1c34a-f916-5fa9-803b-2cc6962f2595,1,39.0572449,39.06114371,39.07674673,39.12516139,230.431,230.408,230.316,230.031,230.296,-0.023,-0.092,-0.285,-0.4,-0.246,-0.1292,40.55555556,26.59565421,19.91324899,66.90970744,986.9673611,1.136864783,0.924094772,2.232794189,11.71145099,-0.1875755257,-0.9048572096,51.60129492,38.39870508,123.1078547,772.3936111,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,10,Felix Rosenqvist,Chip Ganassi Racing,6041dd38-4b6d-5e38-81fd-8006cbe0bafd,1,39.02202143,39.09558871,39.10442184,39.12686233,230.639,230.205,230.153,230.021,230.254,-0.434,-0.052,-0.132,-0.618,-0.335,-0.1906,46.66666667,27.6946395,19.43122338,60.9092145,986.8747222,1.132904697,0.9154970124,1.718647718,40.43833302,-0.5938181438,-0.6967889148,57.83907032,32.16092968,137.4010066,843.9515278,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,12,Will Power,Team Penske,449bb30a-dc85-5fd4-bc68-156753bda025,1,39.07216629,39.16977486,39.22047134,39.26273312,230.343,229.769,229.472,229.225,229.701,-0.574,-0.297,-0.247,-1.118,-0.7075,-0.3651,,,,,,,,,,,,,,,,,UNAVAILABLE,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,14,Tony Kanaan,A.J. Foyt Enterprises,cbdbf766-10d3-516e-83ad-3cb56f8c02fb,1,39.1440501,39.24270304,39.32535174,39.38713616,229.92,229.342,228.86,228.501,229.154,-0.578,-0.482,-0.359,-1.419,-0.9505,-0.4739,50.55555556,29.20139402,18.63128196,53.02461508,987.4045833,1.128348018,0.6436382784,0.9892836021,64.3477148,-0.5801999069,-0.2786365043,63.27283219,26.72716781,163.3662861,904.4527778,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,15,Graham Rahal,Rahal Letterman Lanigan Racing,16cb7863-a6d0-5895-93e4-a76ac2c6c71f,1,38.94384298,38.98196434,39.00494063,39.03336051,231.102,230.876,230.74,230.572,230.822,-0.226,-0.136,-0.168,-0.53,-0.333,-0.1726,38.33333333,25.45509682,19.26181717,68.61784188,988.085,1.142917889,0.6490487116,1.887120992,323.0606215,0.3900586063,-0.5187663382,44.95996048,45.04003952,112.8575949,683.1475,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,18,Santino Ferrucci,Dale Coyne Racing with Vasser-Sullivan,1e794f15-e9b3-55c1-91a6-85cadd3ab366,1,39.05317741,39.11767902,39.20065509,39.2023626,230.455,230.075,229.588,229.578,229.924,-0.38,-0.487,-0.01,-0.877,-0.682,-0.3118,,,,,,,,,,,,,,,,,UNAVAILABLE,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,20,Ed Carpenter,ECR,9a2e168d-3dda-5e76-8daf-588c20d91341,1,38.89537145,39.06945246,39.14847712,39.53732543,231.39,230.359,229.894,227.633,229.811,-1.031,-0.465,-2.261,-3.757,-2.111,-1.1736,46.66666667,27.822086,19.3634235,60.21266954,986.8913889,1.132485832,0.90419905,1.675920733,44.0204673,-0.628341745,-0.6502019482,58.47617261,31.52382739,139.3585447,850.6098611,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,20,Ed Carpenter,ECR,893c5471-df02-55c0-946f-0af9d0a835d9,2,39.00595491,39.07946157,39.09083407,39.20167957,230.734,230.3,230.233,229.582,230.211,-0.434,-0.067,-0.651,-1.152,-0.6095,-0.3523,50.55555556,30.59866486,18.71744881,49.19854736,986.8791667,1.122504597,0.4660636925,1.349220001,15.11728348,-0.1215474233,-0.4499350946,61.15062778,28.84937222,210.2132122,870.9166667,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,21,Rinus VeeKay,ECR,e132bf44-6808-5d6b-819c-a993af279439,1,38.82841722,38.95614836,38.97993833,39.00274319,231.789,231.029,230.888,230.753,231.114,-0.76,-0.141,-0.135,-1.036,-0.5885,-0.3249,39.44444444,25.85312869,19.17511588,66.73542097,987.7683333,1.141080479,0.6529735358,1.79344015,335.3435414,0.2724052407,-0.5934389802,47.71899623,42.28100377,116.7325914,720.0391667,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,22,Simon Pagenaud,Team Penske,2fb75f25-92ad-5b41-90a1-3a1457ae8012,1,39.21073154,39.262048,39.29581892,39.54948739,229.529,229.229,229.032,227.563,228.836,-0.3,-0.197,-1.469,-1.966,-1.0815,-0.6095,50,29.00313187,18.72092519,53.91152254,987.4545,1.129093324,0.6610433416,0.9982541692,66.46524062,-0.6060564332,-0.2639581391,62.64361678,27.35638322,158.2182624,902.1233333,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,24,Sage Karam,Dreyer & Reinbold Racing,3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,1,39.5414944,39.60099795,39.6580594,39.72054391,227.609,227.267,226.94,226.583,227.099,-0.342,-0.327,-0.357,-1.026,-0.6765,-0.3405,41.66666667,26.8583597,19.82459034,65.47685281,986.8840278,1.135828464,0.9450349073,2.072169879,18.01866094,-0.2923245598,-0.8986864458,53.18076351,36.81923649,126.1275111,793.1602778,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,26,Zach Veach,Andretti Autosport,2d3ae29a-bc6b-5723-9247-439f79da15a6,1,39.02117549,39.11835912,39.18409996,39.22474471,230.644,230.071,229.685,229.447,229.961,-0.573,-0.386,-0.238,-1.197,-0.7915,-0.3977,,,,,,,,,,,,,,,,,UNAVAILABLE,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,27,Alexander Rossi,Andretti Autosport,81f0c457-15fb-5f7f-9649-8663a142764d,1,38.81217495,38.87739366,38.98145782,38.99277334,231.886,231.497,230.879,230.812,231.268,-0.389,-0.618,-0.067,-1.074,-0.846,-0.384,41.66666667,26.96782032,19.78764924,64.87983005,986.8493056,1.135397121,0.9537599637,2.005243083,20.64666509,-0.3362994964,-0.8925025025,53.82115246,36.17884754,127.4431078,801.8130556,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,28,Ryan Hunter-Reay,Andretti Autosport,d155ad85-3d5c-5b55-95d6-40ba696a0bde,1,38.85121281,38.87588227,38.92413686,38.97048635,231.653,231.506,231.219,230.944,231.33,-0.147,-0.287,-0.275,-0.709,-0.498,-0.2414,43.33333333,27.2273357,19.67982296,63.46321268,986.8136111,1.134442252,0.9569228745,1.875313329,27.30384065,-0.4389492489,-0.8503087349,55.31056786,34.68943214,130.748651,819.5376389,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,29,James Hinchcliffe,Andretti Autosport,917d4c7e-5c5e-5976-aa32-50a7bc958440,1,38.82824971,38.89486717,38.95294484,39.03657727,231.79,231.393,231.048,230.553,231.195,-0.397,-0.345,-0.495,-1.237,-0.791,-0.4056,47.77777778,28.14041879,19.14939253,58.3110646,987.5,1.13212309,0.7810125153,1.570338957,43.84916461,-0.5410559874,-0.5632397069,59.08794691,30.91205309,141.3805189,865.1990278,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,3,Helio Castroneves,Team Penske,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,1,39.3611252,39.44444688,39.47541559,39.53402562,228.652,228.169,227.99,227.652,228.115,-0.483,-0.179,-0.338,-1,-0.5895,-0.3179,51.66666667,29.33661168,18.74768346,53.02135671,987.6431944,1.128050118,0.7062880825,1.248461719,70.31107098,-0.6649954177,-0.2379578744,63.89908082,26.10091918,171.4334481,909.6333333,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,3,Helio Castroneves,Team Penske,7799cc62-18bb-568d-9de2-16cb3622a0de,2,39.18512359,39.41473498,39.47991788,39.55696203,229.679,228.341,227.964,227.52,228.373,-1.338,-0.377,-0.444,-2.159,-1.268,-0.6854,53.33333333,30.85203451,18.74267074,48.55791183,986.9875,1.121678432,0.5818249336,2.139290667,55.56794177,-0.4798876097,-0.3289804483,54.66808991,35.33191009,230.5876807,773.8333333,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,30,Takuma Sato,Rahal Letterman Lanigan Racing,d5a2b4ee-b067-59ca-8f42-44e0bc51b5c8,1,38.91992873,39.00105303,39.01001257,39.05334687,231.244,230.763,230.71,230.454,230.792,-0.481,-0.053,-0.256,-0.79,-0.4215,-0.2423,,,,,,,,,,,,,,,,,UNAVAILABLE,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,30,Takuma Sato,Rahal Letterman Lanigan Racing,64cc9d51-f91b-503f-8164-1a91d9713df9,2,39.06707817,39.14064539,39.18256463,39.2322681,230.373,229.94,229.694,229.403,229.852,-0.433,-0.246,-0.291,-0.97,-0.608,-0.3156,,,,,,,,,,,,,,,,,UNAVAILABLE,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,30,Takuma Sato,Rahal Letterman Lanigan Racing,ec187739-e976-517d-8f35-e70210af7a42,3,38.98821256,39.07827378,39.09338106,39.15341614,230.839,230.307,230.218,229.865,230.307,-0.532,-0.089,-0.353,-0.974,-0.5315,-0.3011,,,,,,,,,,,,,,,,,UNAVAILABLE,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
