year,regime,car_number,driver_name,queue_entry_time,run_time,observed_wait_minutes,lower_wait_bound_minutes,upper_wait_bound_minutes,related_attempt_interval_minutes,related_interval_lower_minutes,related_interval_upper_minutes,source,evidence_quality,evidence_class,note
2020-2024,DAY1_LANE1_PRIORITY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,weather/output/queue_wait_evidence_inventory_v1.csv,UNAVAILABLE_DIRECT_WAIT,unavailable,Day1 priority lane has no recovered queue-entry/run-start pair.
2020-2024,DAY1_LANE2_RETAIN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,weather/output/queue_wait_evidence_inventory_v1.csv,UNAVAILABLE_DIRECT_WAIT,unavailable,Day1 retain-result queue has no recovered queue-entry/run-start pair.
2020,DAY1_LANE_UNKNOWN_REPEAT,20,Ed Carpenter,UNKNOWN,2020-08-15T18:47:30Z,,,,140.083333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2020,DAY1_LANE_UNKNOWN_REPEAT,3,Helio Castroneves,UNKNOWN,2020-08-15T19:39:10Z,,,,125.083333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2020,DAY1_LANE_UNKNOWN_REPEAT,30,Takuma Sato,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2020,DAY1_LANE_UNKNOWN_REPEAT,30,Takuma Sato,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2020,DAY1_LANE_UNKNOWN_REPEAT,47,Conor Daly,UNKNOWN,2020-08-15T19:00:50Z,,,,122.583333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2020,DAY1_LANE_UNKNOWN_REPEAT,5,Pato O'Ward,UNKNOWN,2020-08-15T20:22:30Z,,,,287.583333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2020,DAY1_LANE_UNKNOWN_REPEAT,59,Max Chilton,UNKNOWN,2020-08-15T20:10:00Z,,,,160.916667,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2020,DAY1_LANE_UNKNOWN_REPEAT,60,Jack Harvey,UNKNOWN,2020-08-15T17:55:45Z,,,,155,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
