year,session_regime,session_id,car_number,driver_name,team_name,official_record_index,same_entry_record_index,same_entry_record_count,events_sessions_details_id,events_entrylist_id,position_finish_raw,elapsed_time_raw,lap1_s,lap2_s,lap3_s,lap4_s,four_lap_average_speed_mph,recomputed_four_lap_average_speed_mph,speed_recompute_error_mph,lap1_to_lap4_delta_s,late_run_fade_s,is_deleted_api,status_raw,repeat_evidence,chronology_status,attempt_sequence_status,strategy_action,withdraw_before_attempt,result_retained_before_attempt,time_quality,source_type,source_semantics,lap1_speed_mph,lap2_speed_mph,lap3_speed_mph,lap4_speed_mph,lap2_minus_lap1,lap3_minus_lap2,lap4_minus_lap3,lap4_minus_lap1,mean_laps_3_4_minus_mean_laps_1_2,four_lap_slope_seconds_per_lap,track_temperature_c,air_temperature_c,dewpoint_c,relative_humidity_pct,pressure_hpa,air_density_kg_m3,wind_speed_ms,gust_ms,wind_direction_deg,wind_u_ms,wind_v_ms,solar_elevation_deg,solar_zenith_deg,solar_azimuth_deg,shortwave_radiation_wm2,cloud_cover_pct,physical_link_quality,thermal_degradation_interpretation
2021,LAST_ROW,5847,11,Charlie Kimball,A.J. Foyt Enterprises,4,1,2,101341,33923,72,02:38.0256,39.4129,39.4789,39.5297,39.6041,227.811,227.81119,0.00019,0.1912,0.121,False,,MULTIPLE_OFFICIAL_RECORDS_SAME_ENTRY,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL,228.3516311,227.9698776,227.6769113,227.2491989,0.066,0.0508,0.0744,0.1912,0.121,0.06244,,,,,,,,,,,,,,,,,UNAVAILABLE_NO_EXACT_TIMESTAMP,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2021,LAST_ROW,5847,11,Charlie Kimball,A.J. Foyt Enterprises,5,2,2,101342,33923,73,02:38.1831,39.4758,39.551,39.5601,39.5962,227.584,227.584363,0.000363,0.1204,0.06475,False,,MULTIPLE_OFFICIAL_RECORDS_SAME_ENTRY,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL,227.9877799,227.554297,227.5019527,227.2945384,0.0752,0.0091,0.0361,0.1204,0.06475,0.03703,,,,,,,,,,,,,,,,,UNAVAILABLE_NO_EXACT_TIMESTAMP,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2021,LAST_ROW,5847,12,Will Power,Team Penske,2,1,1,101339,33904,32,02:37.2905,39.1215,39.2831,39.3316,39.5543,228.876,228.87587,-0.00013,0.4328,0.24065,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL,230.0525287,229.1061551,228.8236431,227.5353122,0.1616,0.0485,0.2227,0.4328,0.24065,0.13469,,,,,,,,,,,,,,,,,UNAVAILABLE_NO_EXACT_TIMESTAMP,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2021,LAST_ROW,5847,16,Simona De Silvestro,Paretta Autosport,3,1,1,101340,33924,33,02:37.6504,39.3222,39.383,39.4528,39.4924,228.353,228.353369,0.000369,0.1702,0.12,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL,228.8783435,228.5249981,228.1206911,227.8919488,0.0608,0.0698,0.0396,0.1702,0.12,0.05804,,,,,,,,,,,,,,,,,UNAVAILABLE_NO_EXACT_TIMESTAMP,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2021,LAST_ROW,5847,24,Sage Karam,Dreyer & Reinbold Racing,1,1,1,101338,33926,31,02:37.0982,39.125,39.2288,39.3235,39.4209,229.156,229.156031,3.1e-05,0.2959,0.1953,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL,230.0319489,229.4232809,228.870777,228.3052898,0.1038,0.0947,0.0974,0.2959,0.1953,0.09824,,,,,,,,,,,,,,,,,UNAVAILABLE_NO_EXACT_TIMESTAMP,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2021,LAST_ROW,5847,75,RC Enerson,Top Gun Racing,6,1,2,101343,33929,74,02:38.3823,39.4854,39.594,39.6357,39.6672,227.298,227.298126,0.000126,0.1818,0.11175,False,,MULTIPLE_OFFICIAL_RECORDS_SAME_ENTRY,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL,227.9323497,227.3071678,227.068022,226.8877057,0.1086,0.0417,0.0315,0.1818,0.11175,0.05871,,,,,,,,,,,,,,,,,UNAVAILABLE_NO_EXACT_TIMESTAMP,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2021,LAST_ROW,5847,75,RC Enerson,Top Gun Racing,7,2,2,101344,33929,75,02:38.7212,39.6084,39.685,39.6822,39.7456,226.813,226.812801,-0.000199,0.1372,0.0672,False,,MULTIPLE_OFFICIAL_RECORDS_SAME_ENTRY,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL,227.2245281,226.7859393,226.8019414,226.4401594,0.0766,-0.0028,0.0634,0.1372,0.0672,0.04088,,,,,,,,,,,,,,,,,UNAVAILABLE_NO_EXACT_TIMESTAMP,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2023,LAST_CHANCE,6205,15,Graham Rahal,Rahal Letterman Lanigan Racing,4,1,1,108670,35302,4,02:37.0960,39.196,39.2503,39.3056,39.3441,229.159,229.15924,0.00024,0.1481,0.1017,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL,229.6152669,229.2976105,228.9750061,228.7509436,0.0543,0.0553,0.0385,0.1481,0.1017,0.04996,,,,,,,,,,,,,,,,,UNAVAILABLE_NO_EXACT_TIMESTAMP,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2023,LAST_CHANCE,6205,30,Jack Harvey,Rahal Letterman Lanigan Racing,3,1,1,108669,35310,3,02:37.0916,39.2268,39.2873,39.2712,39.3063,229.166,229.165659,-0.000341,0.0795,0.0317,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL,229.4349781,229.0816625,229.1755791,228.9709283,0.0605,-0.0161,0.0351,0.0795,0.0317,0.02224,,,,,,,,,,,,,,,,,UNAVAILABLE_NO_EXACT_TIMESTAMP,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2023,LAST_CHANCE,6205,45,Christian Lundgaard,Rahal Letterman Lanigan Racing,1,1,1,108667,35311,1,02:36.7607,39.0753,39.1685,39.2377,39.2792,229.649,229.649396,0.000396,0.2039,0.13655,False,,SINGLE_OFFICIAL_RECORD,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OFFICIAL_INDYCAR_EVENTS_SESSION_DETAILS_API,OFFICIAL_SESSION_RECORD; DATABASE_ROW_ORDER_NOT_ASSUMED_CHRONOLOGICAL,230.3245273,229.7764785,229.3712425,229.1289028,0.0932,0.0692,0.0415,0.2039,0.13655,0.06809,,,,,,,,,,,,,,,,,UNAVAILABLE_NO_EXACT_TIMESTAMP,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
