year,evidence_layer,physical_variable,rows,non_null_rows,missing_rows,coverage_pct
2020,DAY1_ALL_COMPLETE_FADE,air_density,46,39,7,84.7826087
2020,DAY1_ALL_COMPLETE_FADE,air_temperature,46,39,7,84.7826087
2020,DAY1_ALL_COMPLETE_FADE,cloud_cover,46,39,7,84.7826087
2020,DAY1_ALL_COMPLETE_FADE,dew_point,46,39,7,84.7826087
2020,DAY1_ALL_COMPLETE_FADE,gust,46,39,7,84.7826087
2020,DAY1_ALL_COMPLETE_FADE,humidity,46,39,7,84.7826087
2020,DAY1_ALL_COMPLETE_FADE,pressure,46,39,7,84.7826087
2020,DAY1_ALL_COMPLETE_FADE,shortwave_radiation,46,39,7,84.7826087
2020,DAY1_ALL_COMPLETE_FADE,solar_geometry,46,39,7,84.7826087
2020,DAY1_ALL_COMPLETE_FADE,track_temperature,46,39,7,84.7826087
2020,DAY1_ALL_COMPLETE_FADE,wind_direction,46,39,7,84.7826087
2020,DAY1_ALL_COMPLETE_FADE,wind_speed,46,39,7,84.7826087
2021,DAY1_ALL_COMPLETE_FADE,air_density,51,49,2,96.07843137
2021,DAY1_ALL_COMPLETE_FADE,air_temperature,51,49,2,96.07843137
2021,DAY1_ALL_COMPLETE_FADE,cloud_cover,51,49,2,96.07843137
2021,DAY1_ALL_COMPLETE_FADE,dew_point,51,49,2,96.07843137
2021,DAY1_ALL_COMPLETE_FADE,gust,51,49,2,96.07843137
2021,DAY1_ALL_COMPLETE_FADE,humidity,51,49,2,96.07843137
2021,DAY1_ALL_COMPLETE_FADE,pressure,51,49,2,96.07843137
2021,DAY1_ALL_COMPLETE_FADE,shortwave_radiation,51,49,2,96.07843137
2021,DAY1_ALL_COMPLETE_FADE,solar_geometry,51,49,2,96.07843137
2021,DAY1_ALL_COMPLETE_FADE,track_temperature,51,48,3,94.11764706
2021,DAY1_ALL_COMPLETE_FADE,wind_direction,51,49,2,96.07843137
2021,DAY1_ALL_COMPLETE_FADE,wind_speed,51,49,2,96.07843137
2022,DAY1_ALL_COMPLETE_FADE,air_density,40,0,40,0
2022,DAY1_ALL_COMPLETE_FADE,air_temperature,40,0,40,0
2022,DAY1_ALL_COMPLETE_FADE,cloud_cover,40,0,40,0
2022,DAY1_ALL_COMPLETE_FADE,dew_point,40,0,40,0
2022,DAY1_ALL_COMPLETE_FADE,gust,40,0,40,0
2022,DAY1_ALL_COMPLETE_FADE,humidity,40,0,40,0
2022,DAY1_ALL_COMPLETE_FADE,pressure,40,0,40,0
2022,DAY1_ALL_COMPLETE_FADE,shortwave_radiation,40,0,40,0
2022,DAY1_ALL_COMPLETE_FADE,solar_geometry,40,0,40,0
2022,DAY1_ALL_COMPLETE_FADE,track_temperature,40,0,40,0
2022,DAY1_ALL_COMPLETE_FADE,wind_direction,40,0,40,0
2022,DAY1_ALL_COMPLETE_FADE,wind_speed,40,0,40,0
2023,DAY1_ALL_COMPLETE_FADE,air_density,69,28,41,40.57971014
2023,DAY1_ALL_COMPLETE_FADE,air_temperature,69,28,41,40.57971014
2023,DAY1_ALL_COMPLETE_FADE,cloud_cover,69,28,41,40.57971014
2023,DAY1_ALL_COMPLETE_FADE,dew_point,69,28,41,40.57971014
2023,DAY1_ALL_COMPLETE_FADE,gust,69,28,41,40.57971014
2023,DAY1_ALL_COMPLETE_FADE,humidity,69,28,41,40.57971014
2023,DAY1_ALL_COMPLETE_FADE,pressure,69,28,41,40.57971014
2023,DAY1_ALL_COMPLETE_FADE,shortwave_radiation,69,28,41,40.57971014
2023,DAY1_ALL_COMPLETE_FADE,solar_geometry,69,28,41,40.57971014
2023,DAY1_ALL_COMPLETE_FADE,track_temperature,69,28,41,40.57971014
2023,DAY1_ALL_COMPLETE_FADE,wind_direction,69,28,41,40.57971014
2023,DAY1_ALL_COMPLETE_FADE,wind_speed,69,28,41,40.57971014
2024,DAY1_ALL_COMPLETE_FADE,air_density,54,7,47,12.96296296
2024,DAY1_ALL_COMPLETE_FADE,air_temperature,54,7,47,12.96296296
2024,DAY1_ALL_COMPLETE_FADE,cloud_cover,54,7,47,12.96296296
2024,DAY1_ALL_COMPLETE_FADE,dew_point,54,7,47,12.96296296
2024,DAY1_ALL_COMPLETE_FADE,gust,54,7,47,12.96296296
2024,DAY1_ALL_COMPLETE_FADE,humidity,54,7,47,12.96296296
2024,DAY1_ALL_COMPLETE_FADE,pressure,54,7,47,12.96296296
2024,DAY1_ALL_COMPLETE_FADE,shortwave_radiation,54,7,47,12.96296296
2024,DAY1_ALL_COMPLETE_FADE,solar_geometry,54,7,47,12.96296296
2024,DAY1_ALL_COMPLETE_FADE,track_temperature,54,6,48,11.11111111
2024,DAY1_ALL_COMPLETE_FADE,wind_direction,54,7,47,12.96296296
2024,DAY1_ALL_COMPLETE_FADE,wind_speed,54,7,47,12.96296296
2020,DAY1_FIRST_RUN,air_density,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,air_temperature,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,cloud_cover,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,dew_point,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,gust,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,humidity,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,pressure,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,shortwave_radiation,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,solar_geometry,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,track_temperature,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,wind_direction,33,28,5,84.84848485
2020,DAY1_FIRST_RUN,wind_speed,33,28,5,84.84848485
2021,DAY1_FIRST_RUN,air_density,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,air_temperature,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,cloud_cover,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,dew_point,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,gust,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,humidity,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,pressure,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,shortwave_radiation,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,solar_geometry,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,track_temperature,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,wind_direction,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,wind_speed,35,33,2,94.28571429
2022,DAY1_FIRST_RUN,air_density,32,0,32,0
2022,DAY1_FIRST_RUN,air_temperature,32,0,32,0
2022,DAY1_FIRST_RUN,cloud_cover,32,0,32,0
2022,DAY1_FIRST_RUN,dew_point,32,0,32,0
2022,DAY1_FIRST_RUN,gust,32,0,32,0
2022,DAY1_FIRST_RUN,humidity,32,0,32,0
2022,DAY1_FIRST_RUN,pressure,32,0,32,0
2022,DAY1_FIRST_RUN,shortwave_radiation,32,0,32,0
2022,DAY1_FIRST_RUN,solar_geometry,32,0,32,0
2022,DAY1_FIRST_RUN,track_temperature,32,0,32,0
2022,DAY1_FIRST_RUN,wind_direction,32,0,32,0
2022,DAY1_FIRST_RUN,wind_speed,32,0,32,0
2023,DAY1_FIRST_RUN,air_density,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,air_temperature,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,cloud_cover,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,dew_point,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,gust,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,humidity,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,pressure,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,shortwave_radiation,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,solar_geometry,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,track_temperature,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,wind_direction,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,wind_speed,34,16,18,47.05882353
