model,fit,n,mae,rmse,bias,baseline_mae,baseline_rmse,beats_baseline_mae,beats_baseline_rmse
HORIZON_ONLY,OLS,563,1.8631614702219705,2.495629176135515,-0.0016216721803871768,1.9089458800913235,2.538693692082257,True,True
HORIZON_ONLY,HUBER,563,1.8425291812017741,2.496852296932071,0.13010464687375287,1.9089458800913235,2.538693692082257,True,True
THERMAL_CORE,OLS,563,1.5911748271228479,2.07631965205985,0.02717769217208535,1.9089458800913235,2.538693692082257,True,True
THERMAL_CORE,HUBER,563,1.588375874750726,2.0708435021453555,0.02979008743363833,1.9089458800913235,2.538693692082257,True,True
THERMAL_SOLAR,OLS,563,1.5972158231848443,2.0795214236906867,0.03282646549756132,1.9089458800913235,2.538693692082257,True,True
THERMAL_SOLAR,HUBER,563,1.5940889712526416,2.073004514849916,0.0347053577403256,1.9089458800913235,2.538693692082257,True,True
THERMAL_SOLAR_WIND,OLS,563,1.6399946681488302,2.091138999248098,-0.013955118213918578,1.9089458800913235,2.538693692082257,True,True
THERMAL_SOLAR_WIND,HUBER,563,1.6248087594434277,2.083553297379078,-0.039690913726570624,1.9089458800913235,2.538693692082257,True,True
FULL_COMPACT,OLS,563,2.111579877868707,2.6726892786452368,-0.6115602008967626,1.9089458800913235,2.538693692082257,False,False
FULL_COMPACT,HUBER,563,1.9907142138740241,2.4963194616146023,-0.5501177310149222,1.9089458800913235,2.538693692082257,False,True
