transition_id,year,session_id,car_number,driver_name,team_name,before_attempt_id,after_attempt_id,before_run_index,after_run_index,before_time_utc,after_time_utc,before_time_class,after_time_class,elapsed_between_performance_observations_min,elapsed_semantic,before_four_lap_average_speed_mph,after_four_lap_average_speed_mph,delta_four_lap_average_speed_mph,before_lap1_to_lap4_delta_mph,after_lap1_to_lap4_delta_mph,delta_lap1_to_lap4_shape_mph,before_late_run_fade_mph,after_late_run_fade_mph,delta_late_run_fade_mph,fade_retention_improved,speed_improved,before_ptsc_track_c,after_ptsc_track_c,delta_ptsc_track_c,ptsc_track_change_rate_c_per_min,before_ptsc_ambient_c,after_ptsc_ambient_c,delta_ptsc_ambient_c,ptsc_ambient_change_rate_c_per_min,delta_ptsc_humidity,delta_ptsc_wind,before_forecast_temp_c,after_forecast_temp_c,delta_forecast_temp_c,forecast_temp_change_rate_c_per_min,delta_forecast_relative_humidity_pct,delta_forecast_wind_speed_10m_ms,delta_forecast_gust_ms,delta_forecast_pressure_hpa,delta_forecast_cloud_cover_pct,delta_forecast_shortwave_radiation_wm2,forecast_shortwave_change_rate_wm2_per_min,hrrr_pair_available,ptsc_pair_available,full_environment_pair_available,strategy_before_lane_action,strategy_after_lane_action,performance_dataset_inclusion_depends_on_action,in_frozen_39,previous_track_temp_c,previous_air_temp_c,previous_dewpoint_c,previous_relative_humidity_pct,previous_pressure_hpa,previous_air_density_kg_m3,previous_wind_speed_ms,previous_gust_ms,previous_wind_direction_deg,previous_wind_u_ms,previous_wind_v_ms,previous_solar_elevation_deg,previous_solar_zenith_deg,previous_solar_azimuth_deg,previous_shortwave_radiation_wm2,previous_cloud_cover_pct,next_track_temp_c,next_air_temp_c,next_dewpoint_c,next_relative_humidity_pct,next_pressure_hpa,next_air_density_kg_m3,next_wind_speed_ms,next_gust_ms,next_wind_direction_deg,next_wind_u_ms,next_wind_v_ms,next_solar_elevation_deg,next_solar_zenith_deg,next_solar_azimuth_deg,next_shortwave_radiation_wm2,next_cloud_cover_pct,delta_track_temp_c,delta_air_temp_c,delta_dewpoint_c,delta_relative_humidity_pct,delta_pressure_hpa,delta_air_density_kg_m3,delta_wind_speed_ms,delta_gust_ms,delta_wind_direction_deg,delta_wind_u_ms,delta_wind_v_ms,delta_solar_elevation_deg,delta_solar_zenith_deg,delta_solar_azimuth_deg,delta_shortwave_radiation_wm2,delta_cloud_cover_pct,physical_link_quality,exclusion_reason,_frozen39,_pair_key,analysis_source
9a2e168d-3dda-5e76-8daf-588c20d91341__TO__893c5471-df02-55c0-946f-0af9d0a835d9,2020,INDY500_DAY1_2020,20,Ed Carpenter,ECR,9a2e168d-3dda-5e76-8daf-588c20d91341,893c5471-df02-55c0-946f-0af9d0a835d9,1.0,2.0,2020-08-15T16:27:25Z,2020-08-15T18:47:30Z,APPROXIMATE_POINT,APPROXIMATE_POINT,140.083333,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,229.811,230.211,0.4,-3.757,-1.152,2.605,-2.111,-0.6095,1.5015,True,True,47.58642,50.555556,2.969136,0.0211955,28.888889,30.0,1.111111,0.00793179,-0.031667,0.838889,27.822086,30.598665,2.776579,0.01982091,-11.014122,-0.438135,-0.326701,-0.012222,0.0,20.306806,0.14496232,True,True,True,UNKNOWN,UNKNOWN,False,True,46.66666667,27.822086,19.3634235,60.21266954,986.8913889,1.132485832,0.90419905,1.675920733,44.0204673,-0.628341745,-0.6502019482,58.47617261,31.52382739,139.3585447,850.6098611,0.0,50.55555556,30.59866486,18.71744881,49.19854736,986.8791667,1.122504597,0.4660636925,1.349220001,15.11728348,-0.1215474233,-0.4499350946,61.15062778,28.84937222,210.2132122,870.9166667,0.0,3.88888889,2.776578861,-0.6459746891,-11.01412218,-0.01222222222,-0.009981234755,-0.4381353575,-0.3267007313,-28.90318383,0.5067943218,0.2002668535,2.67445517,-2.67445517,70.8546675,20.30680556,0.0,FROZEN_39_FULL_ENVIRONMENT,,True,2020|20|229.811|230.211,FROZEN_39
f2f5d37e-6270-5e2d-8ae0-2e63cea098b3__TO__7799cc62-18bb-568d-9de2-16cb3622a0de,2020,INDY500_DAY1_2020,3,Helio Castroneves,Team Penske,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,7799cc62-18bb-568d-9de2-16cb3622a0de,1.0,2.0,2020-08-15T17:34:05Z,2020-08-15T19:39:10Z,APPROXIMATE_POINT,APPROXIMATE_POINT,125.083333,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,228.115,228.373,0.258,-1.0,-2.159,-1.159,-0.5895,-1.268,-0.6785,False,True,52.12037,54.012346,1.891975,0.01512572,30.555556,30.679012,0.123457,0.000987,-0.0095,-2.455556,29.336612,30.852035,1.515423,0.01211531,-4.463445,-0.124463,0.890829,-0.655694,0.0,-135.8,-1.08567622,True,True,True,UNKNOWN,UNKNOWN,False,True,51.66666667,29.33661168,18.74768346,53.02135671,987.6431944,1.128050118,0.7062880825,1.248461719,70.31107098,-0.6649954177,-0.2379578744,63.89908082,26.10091918,171.4334481,909.6333333,0.0,53.33333333,30.85203451,18.74267074,48.55791183,986.9875,1.121678432,0.5818249336,2.139290667,55.56794177,-0.4798876097,-0.3289804483,54.66808991,35.33191009,230.5876807,773.8333333,0.0,1.66666666,1.515422821,-0.005012724135,-4.463444877,-0.6556944444,-0.006371685928,-0.124463149,0.890828948,-14.74312921,0.185107808,-0.09102257389,-9.23099091,9.23099091,59.1542326,-135.8,0.0,FROZEN_39_FULL_ENVIRONMENT,,True,2020|3|228.115|228.373,FROZEN_39
a7f0ef57-a971-5870-9606-1fe1cd378e2a__TO__df3c02a3-9655-512c-a2e6-4ffe9eadc505,2020,INDY500_DAY1_2020,47,Conor Daly,ECR,a7f0ef57-a971-5870-9606-1fe1cd378e2a,df3c02a3-9655-512c-a2e6-4ffe9eadc505,1.0,2.0,2020-08-15T16:58:15Z,2020-08-15T19:00:50Z,APPROXIMATE_POINT,APPROXIMATE_POINT,122.583333,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,229.884,229.955,0.071,-2.61,-1.636,0.974,-1.487,-0.96,0.527,True,True,49.87037,50.58642,0.716049,0.00584133,28.888889,29.969136,1.080247,0.00881235,-0.038278,-4.65,28.779144,30.859455,2.080311,0.01697059,-7.070772,-0.200936,0.248813,-0.601389,0.0,-35.694861,-0.29118853,True,True,True,UNKNOWN,UNKNOWN,False,True,48.88888889,28.77914365,18.82463633,54.94779042,987.5,1.129922193,0.6835131842,1.04220765,66.83809165,-0.6284199973,-0.2688467593,61.7825877,28.2174123,152.8783456,897.7920833,0.0,50.55555556,30.85945494,18.53962881,47.87701858,986.8986111,1.121667441,0.4825775194,1.291020566,6.44820603,-0.05419586987,-0.4795246291,59.74568868,30.25431132,216.1275619,862.0972222,0.0,1.66666667,2.080311288,-0.2850075192,-7.070771835,-0.6013888889,-0.008254751975,-0.2009356648,0.2488129161,-60.38988562,0.5742241274,-0.2106778698,-2.03689902,2.03689902,63.2492163,-35.69486111,0.0,FROZEN_39_FULL_ENVIRONMENT,,True,2020|47|229.884|229.955,FROZEN_39
194c9baa-3297-571e-82bf-ac3ba81e07fc__TO__757828a3-822d-5bd8-b9f0-681a6918b48b,2020,INDY500_DAY1_2020,5,Pato O'Ward,Arrow McLaren,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,1.0,2.0,2020-08-15T15:34:55Z,2020-08-15T20:22:30Z,APPROXIMATE_POINT,APPROXIMATE_POINT,287.583333,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,229.902,230.213,0.311,-1.398,-1.051,0.347,-1.0705,-0.629,0.4415,True,True,40.919753,52.222222,11.302469,0.03930154,27.222222,31.111111,3.888889,0.01352265,-0.121722,-3.322778,26.464301,31.322069,4.857767,0.01689169,-21.789568,-0.284062,-0.038184,-0.084028,0.0,-58.097778,-0.20202067,True,True,True,UNKNOWN,UNKNOWN,False,True,40.55555556,26.46430147,19.95757832,67.62613475,987.0090278,1.137383522,0.9136247043,2.313106343,8.55784601,-0.1359545273,-0.9034525261,50.79095287,39.20904713,121.6666608,762.0102778,0.0,52.22222222,31.32206879,18.25851784,45.83656701,986.925,1.120154677,0.6295622216,2.274922261,19.59215492,-0.2111064271,-0.5931126936,47.68033759,42.31966241,243.1846909,703.9125,0.0,11.66666666,4.857767317,-1.699060482,-21.78956774,-0.08402777778,-0.01722884506,-0.2840624827,-0.03818408244,11.03430891,-0.07515189972,0.3103398324,-3.11061528,3.11061528,121.5180301,-58.09777778,0.0,FROZEN_39_FULL_ENVIRONMENT,,True,2020|5|229.902|230.213,FROZEN_39
75519828-93ba-5485-a4bf-a06b93f7cec3__TO__fb65c8cf-d1c6-583e-9563-6c22e29bb081,2020,INDY500_DAY1_2020,59,Max Chilton,Carlin,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,1.0,2.0,2020-08-15T17:29:05Z,2020-08-15T20:10:00Z,APPROXIMATE_POINT,APPROXIMATE_POINT,160.916667,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,225.819,227.303,1.484,-2.687,-1.181,1.506,-1.4155,-0.6,0.8155,True,True,51.598765,52.962963,1.364198,0.00847766,30.487654,31.481481,0.993827,0.00617604,-0.031833,-3.476667,29.399987,31.222569,1.822582,0.01132625,-5.690586,-0.14038,1.304035,-0.22125,0.0,-175.602778,-1.09126532,True,True,True,UNKNOWN,UNKNOWN,False,True,50.55555556,29.39998716,18.54148907,52.13622698,987.3545833,1.127602188,0.6262041584,0.9802980591,62.22665387,-0.5540640877,-0.2917955358,63.7345077,26.2654923,168.7085094,906.7861111,0.0,54.44444444,31.22256877,18.38181203,46.44564111,987.1333333,1.120688846,0.4858239878,2.284332819,42.42223339,-0.3277314653,-0.3586321705,49.79345476,40.20654524,239.8821249,731.1833333,0.0,3.88888888,1.822581609,-0.1596770393,-5.69058587,-0.22125,-0.006913341923,-0.1403801706,1.30403476,-19.80442048,0.2263326224,-0.06683663476,-13.94105294,13.94105294,71.1736155,-175.6027778,0.0,FROZEN_39_FULL_ENVIRONMENT,,True,2020|59|225.819|227.303,FROZEN_39
954d29f8-6770-5c41-9322-b23c885935ef__TO__e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,2020,INDY500_DAY1_2020,60,Jack Harvey,Meyer Shank Racing,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,1.0,2.0,2020-08-15T15:20:45Z,2020-08-15T17:55:45Z,APPROXIMATE_POINT,APPROXIMATE_POINT,155.0,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,229.861,229.757,-0.104,-0.954,-0.733,0.221,-0.719,-0.575,0.144,True,False,39.87037,50.944444,11.074074,0.07144564,26.87963,30.555556,3.675926,0.02371565,-0.111833,1.183333,25.957874,29.791196,3.833323,0.02473111,-15.406721,0.005709,-0.428897,-0.077917,0.0,188.5525,1.21646774,True,True,True,UNKNOWN,UNKNOWN,False,True,39.44444444,25.95787392,19.15229975,66.24004704,987.685,1.140597721,0.6540063842,1.768787297,338.5758888,0.2388879697,-0.6088159726,48.42984921,41.57015079,117.8087705,729.7475,0.0,53.33333333,29.79119644,18.5119606,50.83332555,987.6070833,1.12645355,0.6597157305,1.339890713,65.76110585,-0.601556272,-0.2708410911,64.08125048,25.91874952,183.4350256,918.3,0.0,13.88888889,3.833322525,-0.640339152,-15.4067215,-0.07791666667,-0.01414417095,0.005709346226,-0.4288965841,87.18521708,-0.8404442417,0.3379748815,15.65140127,-15.65140127,65.6262551,188.5525,0.0,FROZEN_39_FULL_ENVIRONMENT,,True,2020|60|229.861|229.757,FROZEN_39
518373d9-25de-58cf-8315-f6c215b6f672__TO__25ddda12-052a-5d71-ac52-6e96cf8edab9,2020,INDY500_DAY1_2020,8,Marcus Ericsson,Chip Ganassi Racing,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,1.0,2.0,2020-08-15T16:13:15Z,2020-08-15T18:16:35Z,APPROXIMATE_POINT,APPROXIMATE_POINT,123.333333,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,230.472,230.566,0.094,-1.107,-1.259,-0.152,-0.692,-0.646,0.046,True,True,46.277778,51.404321,5.126543,0.04156657,28.759259,29.503086,0.743827,0.00603103,-0.025722,1.977778,27.460988,30.149854,2.688867,0.02180162,-13.140699,-0.260426,-0.205507,0.562361,0.0,69.460972,0.56319707,True,True,True,UNKNOWN,UNKNOWN,False,True,43.33333333,27.4609876,19.55552317,62.18621359,986.8441667,1.133673138,0.9362099434,1.796980523,33.87108683,-0.5217743198,-0.7773291564,56.61034452,33.38965548,133.9745576,831.7445833,0.0,51.11111111,30.14985428,18.26007576,49.04551507,987.4065278,1.125036123,0.6757844024,1.59147312,52.08055685,-0.5331098148,-0.4153052899,63.44096863,26.55903137,194.7951526,901.2055556,0.0,7.77777778,2.688866679,-1.295447413,-13.14069853,0.5623611111,-0.008637014479,-0.2604255411,-0.205507403,18.20947002,-0.01133549499,0.3620238664,6.83062411,-6.83062411,60.820595,69.46097222,0.0,FROZEN_39_FULL_ENVIRONMENT,,True,2020|8|230.472|230.566,FROZEN_39
a3016f3b-449e-576c-bf0f-284c71eddb34__TO__b58b5c13-1a21-50cf-ab5b-8962cc4486f0,2020,INDY500_DAY1_2020,81,Ben Hanley,DragonSpeed / Cusick Motorsports,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,1.0,2.0,2020-08-15T16:36:35Z,2020-08-15T19:30:50Z,APPROXIMATE_POINT,APPROXIMATE_POINT,174.25,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,220.946,222.917,1.971,-3.148,-0.878,2.27,-2.4745,-0.6475,1.827,True,True,48.265432,53.395062,5.12963,0.02943833,28.888889,30.061728,1.17284,0.00673079,-0.046722,-0.438889,28.243439,30.735661,2.492222,0.01430256,-8.560685,-0.099065,0.593106,-0.6375,0.0,-88.289306,-0.50668181,True,True,True,UNKNOWN,UNKNOWN,False,True,47.77777778,28.24343893,19.0970125,57.76860102,987.5,1.13176771,0.7652868167,1.485156488,47.55705607,-0.5647432035,-0.5164581551,59.57725669,30.42274331,143.1155358,870.4559722,0.0,53.33333333,30.73566081,18.84756008,49.20791641,986.8625,1.121903054,0.6662215467,2.078262427,53.52060001,-0.5356892054,-0.396091182,55.88094473,34.11905527,227.7454691,782.1666667,0.0,5.55555555,2.492221875,-0.2494524214,-8.560684607,-0.6375,-0.009864656234,-0.09906526999,0.5931059391,5.96354394,0.02905399801,0.1203669731,-3.69631196,3.69631196,84.6299333,-88.28930556,0.0,FROZEN_39_FULL_ENVIRONMENT,,True,2020|81|220.946|222.917,FROZEN_39
9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc__TO__0817e595-17c0-5e20-94bc-6778006bf613,2020,INDY500_DAY1_2020,88,Colton Herta,Andretti Steinbrenner Autosport,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,1.0,2.0,2020-08-15T17:24:05Z,2020-08-15T19:05:50Z,APPROXIMATE_POINT,APPROXIMATE_POINT,101.75,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,230.56,230.775,0.215,-1.001,-1.592,-0.591,-0.6725,-0.972,-0.2995,False,True,51.228395,50.771605,-0.45679,-0.00448934,30.117284,29.783951,-0.333333,-0.003276,0.002056,-2.816667,29.300691,30.917466,1.616776,0.01588969,-4.997762,-0.145152,0.369088,-0.489306,0.0,-48.938889,-0.48097188,True,True,True,UNKNOWN,UNKNOWN,False,True,50.55555556,29.30069059,18.58638552,52.58042103,987.3795833,1.127975013,0.6349212184,0.9847908306,63.28718433,-0.5671566255,-0.2854090323,63.52540222,26.47459778,166.0171482,905.6194444,0.0,50.55555556,30.91746631,18.4906036,47.58265857,986.8902778,1.121472245,0.4897691095,1.353879173,1.503899483,-0.01285398231,-0.4896004041,59.16426167,30.83573833,218.2237598,856.6805556,0.0,0.0,1.616775725,-0.09578191969,-4.997762462,-0.4893055556,-0.006502768212,-0.1451521089,0.3690883422,-61.78328485,0.5543026432,-0.2041913719,-4.36114055,4.36114055,52.2066116,-48.93888889,0.0,FROZEN_39_FULL_ENVIRONMENT,,True,2020|88|230.56|230.775,FROZEN_39
25f997a4-1a33-565b-b2b0-1c30d3a0f19c__TO__33a57398-b346-53e3-b5e5-369a3ca71efc,2020,INDY500_DAY1_2020,9,Scott Dixon,Chip Ganassi Racing,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,33a57398-b346-53e3-b5e5-369a3ca71efc,1.0,2.0,2020-08-15T15:25:45Z,2020-08-15T18:00:45Z,APPROXIMATE_POINT,APPROXIMATE_POINT,155.0,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,231.094,231.053,-0.041,-1.267,-0.975,0.292,-0.758,-0.726,0.032,True,False,40.240741,50.055556,9.814815,0.06332139,27.064815,30.5,3.435185,0.02216249,-0.101833,0.083333,26.083568,29.892553,3.808985,0.0245741,-15.302909,-0.003526,-0.370812,0.00625,0.0,177.7525,1.14679032,True,True,True,UNKNOWN,UNKNOWN,False,True,39.44444444,26.08356819,19.1249204,65.64559834,987.585,1.140018835,0.6552458024,1.739203873,342.4547056,0.1975301725,-0.6247630691,49.27345675,40.72654325,119.1341432,741.3975,0.0,50.0,29.89255295,18.45642204,50.3426897,987.59125,1.12609076,0.6517202647,1.368391869,64.2902584,-0.5872020937,-0.2827242553,63.99946971,26.00053029,186.201162,919.15,0.0,10.55555556,3.808984756,-0.6684983571,-15.30290863,0.00625,-0.01392807509,-0.003525537719,-0.3708120048,81.8355528,-0.7847322662,0.3420388138,14.72601296,-14.72601296,67.0670188,177.7525,0.0,FROZEN_39_FULL_ENVIRONMENT,,True,2020|9|231.094|231.053,FROZEN_39
