year,session_date,local_time,timezone_name,local_datetime,utc_datetime,utc_offset_hours,source_sheet,source_row_index,source_block_occurrence,ambient_f,ambient_c,track_f,track_c,humidity,wind_raw,wind,wind_direction,pressure_raw,pressure,pressure_quality,sensor_1_name,sensor_1_f,sensor_2_name,sensor_2_f,sensor_3_name,sensor_3_f,sensor_4_name,sensor_4_f,sensor_avg_f,time_utc,hrrr_match_time_utc,hrrr_offset_min,hrrr_temp_c,hrrr_dewpoint_c,hrrr_relative_humidity_pct,hrrr_wind_speed_10m_ms,hrrr_gust_ms,hrrr_cloud_cover_pct,hrrr_shortwave_radiation_wm2,hrrr_pressure_hpa
2020,2020-08-15,08:15:00,America/Indiana/Indianapolis,2020-08-15 08:15:00-04:00,2020-08-15 12:15:00+00:00,-4.0,2020 Temp Archive,325,1,70.0,21.11111111111111,80.0,26.666666666666668,0.87,0.0,0.0,E,29.17,29.17,VALID,SF,79.0,I6,77.9,I10,79.0,I15,82.9,79.7,2020-08-15 12:15:00+00:00,2020-08-15 12:00:00+00:00,15.0,19.094506835937523,18.675744628906273,97.41919637443134,0.673767997843418,0.908822864294052,1.375,138.1,987.8
2020,2020-08-15,08:30:00,America/Indiana/Indianapolis,2020-08-15 08:30:00-04:00,2020-08-15 12:30:00+00:00,-4.0,2020 Temp Archive,326,1,71.0,21.666666666666668,81.0,27.22222222222222,0.85,0.0,0.0,E,29.17,29.17,VALID,SF,80.6,I6,78.1,I10,79.3,I15,85.3,80.825,2020-08-15 12:30:00+00:00,2020-08-15 12:00:00+00:00,30.0,19.094506835937523,18.675744628906273,97.41919637443134,0.673767997843418,0.908822864294052,1.375,138.1,987.8
2020,2020-08-15,08:45:00,America/Indiana/Indianapolis,2020-08-15 08:45:00-04:00,2020-08-15 12:45:00+00:00,-4.0,2020 Temp Archive,327,1,72.0,22.22222222222222,82.0,27.77777777777778,0.82,4.0,4.0,SE,29.16,29.16,VALID,SF,83.3,I6,78.3,I10,80.4,I15,87.3,82.325,2020-08-15 12:45:00+00:00,2020-08-15 13:00:00+00:00,15.0,21.178826904296898,20.040673828125023,93.22649362975235,1.3135441473597769,1.4195531122386456,0.0,335.20000000000005,987.8
2020,2020-08-15,09:00:00,America/Indiana/Indianapolis,2020-08-15 09:00:00-04:00,2020-08-15 13:00:00+00:00,-4.0,2020 Temp Archive,328,1,74.0,23.333333333333332,84.0,28.88888888888889,0.79,2.0,2.0,SE,29.16,29.16,VALID,SF,85.8,I6,78.3,I10,81.3,I15,89.8,83.8,2020-08-15 13:00:00+00:00,2020-08-15 13:00:00+00:00,0.0,21.178826904296898,20.040673828125023,93.22649362975235,1.3135441473597769,1.4195531122386456,0.0,335.20000000000005,987.8
2020,2020-08-15,09:15:00,America/Indiana/Indianapolis,2020-08-15 09:15:00-04:00,2020-08-15 13:15:00+00:00,-4.0,2020 Temp Archive,329,1,75.0,23.88888888888889,86.0,30.0,0.77,2.0,2.0,ESE,29.17,29.17,VALID,SF,88.3,I6,78.4,I10,84.2,I15,92.1,85.75,2020-08-15 13:15:00+00:00,2020-08-15 13:00:00+00:00,15.0,21.178826904296898,20.040673828125023,93.22649362975235,1.3135441473597769,1.4195531122386456,0.0,335.20000000000005,987.8
2020,2020-08-15,09:30:00,America/Indiana/Indianapolis,2020-08-15 09:30:00-04:00,2020-08-15 13:30:00+00:00,-4.0,2020 Temp Archive,330,1,75.0,23.88888888888889,88.0,31.11111111111111,0.75,0.0,0.0,SE,29.17,29.17,VALID,SF,91.0,I6,78.6,I10,86.5,I15,95.0,87.775,2020-08-15 13:30:00+00:00,2020-08-15 13:00:00+00:00,30.0,21.178826904296898,20.040673828125023,93.22649362975235,1.3135441473597769,1.4195531122386456,0.0,335.20000000000005,987.8
2020,2020-08-15,10:45:00,America/Indiana/Indianapolis,2020-08-15 10:45:00-04:00,2020-08-15 14:45:00+00:00,-4.0,2020 Temp Archive,331,1,78.0,25.555555555555557,99.0,37.22222222222222,0.7,1.0,1.0,SE,29.17,29.17,VALID,SF,105.3,I6,79.9,I10,100.4,I15,110.5,99.025,2020-08-15 14:45:00+00:00,2020-08-15 15:00:00+00:00,15.0,25.113610839843773,20.833093261718773,77.17196007798827,0.4815214243127341,2.9325572177767754,0.0,697.5,987.9
2020,2020-08-15,11:00:00,America/Indiana/Indianapolis,2020-08-15 11:00:00-04:00,2020-08-15 15:00:00+00:00,-4.0,2020 Temp Archive,332,1,80.0,26.666666666666668,101.0,38.333333333333336,0.67,1.0,1.0,SSW,29.17,29.17,VALID,SF,107.2,I6,80.1,I10,102.6,I15,112.8,100.675,2020-08-15 15:00:00+00:00,2020-08-15 15:00:00+00:00,0.0,25.113610839843773,20.833093261718773,77.17196007798827,0.4815214243127341,2.9325572177767754,0.0,697.5,987.9
2020,2020-08-15,11:15:00,America/Indiana/Indianapolis,2020-08-15 11:15:00-04:00,2020-08-15 15:15:00+00:00,-4.0,2020 Temp Archive,333,1,80.0,26.666666666666668,103.0,39.44444444444444,0.65,0.0,0.0,S,29.17,29.17,VALID,SF,110.1,I6,80.4,I10,105.4,I15,115.9,102.95,2020-08-15 15:15:00+00:00,2020-08-15 15:00:00+00:00,15.0,25.113610839843773,20.833093261718773,77.17196007798827,0.4815214243127341,2.9325572177767754,0.0,697.5,987.9
2020,2020-08-15,11:30:00,America/Indiana/Indianapolis,2020-08-15 11:30:00-04:00,2020-08-15 15:30:00+00:00,-4.0,2020 Temp Archive,334,1,81.0,27.22222222222222,105.0,40.55555555555556,0.64,4.0,4.0,NNW,29.17,29.17,VALID,SF,113.0,I6,80.8,I10,108.5,I15,118.4,105.175,2020-08-15 15:30:00+00:00,2020-08-15 15:00:00+00:00,30.0,25.113610839843773,20.833093261718773,77.17196007798827,0.4815214243127341,2.9325572177767754,0.0,697.5,987.9
