year,event_name,event_id,EventsSessionID,SessionName
2018,102nd Running of the Indianapolis 500,3822,5225,Race
2018,102nd Running of the Indianapolis 500,3822,5325,Final Practice
2018,102nd Running of the Indianapolis 500,3822,5326,Practice 8
2018,102nd Running of the Indianapolis 500,3822,5323,Qualifications - Fast 9
2018,102nd Running of the Indianapolis 500,3822,5322,Qualifications - Positions 10-33
2018,102nd Running of the Indianapolis 500,3822,5324,Practice 7
2018,102nd Running of the Indianapolis 500,3822,5320,Qualifications - Day 1
2018,102nd Running of the Indianapolis 500,3822,5321,Practice 6
2018,102nd Running of the Indianapolis 500,3822,5319,Practice 5
2018,102nd Running of the Indianapolis 500,3822,5318,Practice 4
2018,102nd Running of the Indianapolis 500,3822,5317,Practice 3
2018,102nd Running of the Indianapolis 500,3822,5316,Practice 2
2018,102nd Running of the Indianapolis 500,3822,5315,Practice 1
2019,103rd Running of the Indianapolis 500,5226,5473,Race
2019,103rd Running of the Indianapolis 500,5226,5558,Practice Final
2019,103rd Running of the Indianapolis 500,5226,5557,Practice 8
2019,103rd Running of the Indianapolis 500,5226,5556,Qualifications - Fast 9
2019,103rd Running of the Indianapolis 500,5226,5555,Qualifications - Positions 31-33
2019,103rd Running of the Indianapolis 500,5226,5564,Practice 6
2019,103rd Running of the Indianapolis 500,5226,5565,Qualifications - Day 1
2019,103rd Running of the Indianapolis 500,5226,5563,Practice 5
2019,103rd Running of the Indianapolis 500,5226,5562,Practice 4
2019,103rd Running of the Indianapolis 500,5226,5561,Practice 3
2019,103rd Running of the Indianapolis 500,5226,5560,Practice 2
2019,103rd Running of the Indianapolis 500,5226,5559,Practice 1
2025,109th Running of the Indianapolis 500,5502,6460,Race
2025,109th Running of the Indianapolis 500,5502,6662,Final Practice (Carb Day)
2025,109th Running of the Indianapolis 500,5502,6663,Practice 8
2025,109th Running of the Indianapolis 500,5502,6617,Combined Qualifications
2025,109th Running of the Indianapolis 500,5502,6660,Qualifications - Firestone Fast 6
2025,109th Running of the Indianapolis 500,5502,6659,Qualifications - Last Chance
2025,109th Running of the Indianapolis 500,5502,6658,Qualifications - Top-12
2025,109th Running of the Indianapolis 500,5502,6661,Practice 7
2025,109th Running of the Indianapolis 500,5502,6656,Qualifications - Day 1
2025,109th Running of the Indianapolis 500,5502,6657,Practice 6
2025,109th Running of the Indianapolis 500,5502,6655,Practice 5
2025,109th Running of the Indianapolis 500,5502,6654,Practice 4
2025,109th Running of the Indianapolis 500,5502,6653,Practice 3
2025,109th Running of the Indianapolis 500,5502,6651,Practice 1
2026,110th Running of the Indianapolis 500,5526,6743,Race
2026,110th Running of the Indianapolis 500,5526,6849,Final Practice (Carb Day)
2026,110th Running of the Indianapolis 500,5526,6841,Practice 7
2026,110th Running of the Indianapolis 500,5526,6835,Combined Qualifying
2026,110th Running of the Indianapolis 500,5526,6836,Qualifying - Firestone Fast 6
2026,110th Running of the Indianapolis 500,5526,6838,Qualifying - Top 12
2026,110th Running of the Indianapolis 500,5526,6840,Qualifying - All Cars
2026,110th Running of the Indianapolis 500,5526,6839,Practice 6
2026,110th Running of the Indianapolis 500,5526,6848,Practice 4
2026,110th Running of the Indianapolis 500,5526,6843,Practice 3
2026,110th Running of the Indianapolis 500,5526,6844,Practice 2
2026,110th Running of the Indianapolis 500,5526,6847,Practice 1
