year,file,page,line_no,raw_line
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,7,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,4,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,4,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,5,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,5,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,6,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,6,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,7,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,7,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,8,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,8,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,9,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,9,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,10,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,10,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,11,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,11,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,12,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,12,6,Rank Car Driver C/E/T Time Speed Lap
