year,file,page,line_count,char_count
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,1,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,2,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,3,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,4,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,5,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,6,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,7,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,8,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,9,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,10,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,11,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,12,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,13,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,14,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,15,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,16,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,17,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,18,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,19,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,20,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,21,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,22,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,23,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,24,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,25,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,26,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,27,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,28,0,0
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,29,0,0
