case_id,driver_name,car_number,actual_wait_min,status
2025_01_Power_Will,"Power, Will",12,136.76105,EXCLUDED_WAIT_GT_120
2025_02_Ferrucci_Santino,"Ferrucci, Santino",14,174.53732499999998,EXCLUDED_WAIT_GT_120
2025_03_Larson_Kyle,"Larson, Kyle",17,155.04387499999999,EXCLUDED_WAIT_GT_120
2025_04_Veekay_Rinus,"Veekay, Rinus",18,162.80125833333335,EXCLUDED_WAIT_GT_120
2025_05_Rossi_Alexander,"Rossi, Alexander",20,172.190725,EXCLUDED_WAIT_GT_120
2025_06_Rossi_Alexander,"Rossi, Alexander",20,81.4826,BACKTEST_INCLUDED
2025_07_Rossi_Alexander,"Rossi, Alexander",20,90.79689166666667,BACKTEST_INCLUDED
2025_08_Hunter_Reay_Ryan,"Hunter-Reay, Ryan",23,307.6924916666667,EXCLUDED_WAIT_GT_120
2025_09_Harvey_Jack,"Harvey, Jack",24,317.91699166666666,EXCLUDED_WAIT_GT_120
2025_10_Kirkwood_Kyle,"Kirkwood, Kyle",27,138.096925,EXCLUDED_WAIT_GT_120
2025_11_DeFrancesco_Devlin,"DeFrancesco, Devlin",30,164.30269166666668,EXCLUDED_WAIT_GT_120
2025_12_Carpenter_Ed,"Carpenter, Ed",33,233.85662499999998,EXCLUDED_WAIT_GT_120
2025_13_Malukas_David,"Malukas, David",4,292.2432416666667,EXCLUDED_WAIT_GT_120
2025_14_Foster_Louis,"Foster, Louis",45,245.49584166666668,EXCLUDED_WAIT_GT_120
2025_15_Siegel_Nolan,"Siegel, Nolan",6,202.06845,EXCLUDED_WAIT_GT_120
2025_16_Lundgaard_Christian,"Lundgaard, Christian",7,254.98469166666666,EXCLUDED_WAIT_GT_120
2025_17_Sato_Takuma,"Sato, Takuma",75,256.7931916666667,EXCLUDED_WAIT_GT_120
2025_18_Daly_Conor,"Daly, Conor",76,154.62345833333333,EXCLUDED_WAIT_GT_120
2025_19_Robb_Sting_Ray,"Robb, Sting Ray",77,136.39906666666667,EXCLUDED_WAIT_GT_120
2025_20_Ilott_Callum,"Ilott, Callum",90,172.03464166666666,EXCLUDED_WAIT_GT_120
2025_21_Andretti_Marco,"Andretti, Marco",98,127.453475,EXCLUDED_WAIT_GT_120
2025_22_Andretti_Marco,"Andretti, Marco",98,115.26858333333332,BACKTEST_INCLUDED
2025_23_Andretti_Marco,"Andretti, Marco",98,39.023225000000004,BACKTEST_INCLUDED
