wait_minutes,target_time_utc,forecast_ambient_c,delta_ambient_c,expected_delta_track_c,track_uncertainty_sd_c,expected_physical_delta_speed_mph,median_total_delta_speed_mph,q10_delta_speed_mph,q90_delta_speed_mph,q05_delta_speed_mph,q95_delta_speed_mph,p_improve,expected_future_speed_mph,median_future_speed_mph
0.0,2025-05-17 17:27:57.697000+00:00,22.146726543209876,0.0,0.0,0.0,0.0,0.0,-0.7199597912553156,0.7199597912553156,-1.1702080190504822,1.1702080190504822,0.4885,230.917,230.917
1.0,2025-05-17 17:28:57.697000+00:00,22.183763580246914,0.03703703703703809,0.06992461721012914,0.09709999999999999,0.004652697370885774,0.004508994643840525,-0.7232517154963588,0.7244549791759191,-1.1716820396755205,1.1779151033202915,0.52065,230.9216526973709,230.92150899464383
2.0,2025-05-17 17:29:57.697000+00:00,22.22080061728395,0.07407407407407263,0.1398492344202523,0.19419999999999998,0.009280889026138783,0.008758980669487704,-0.7230785339955278,0.7293329549223674,-1.1696605265461446,1.1862451619782624,0.52065,230.92628088902615,230.92575898066949
3.0,2025-05-17 17:30:57.697000+00:00,22.22222222222222,0.07549567901234511,0.14959204769757867,0.2913,0.009172354235665946,0.009021349311793894,-0.7292167990666867,0.7298307030817612,-1.1739644250260024,1.19015279870419,0.51915,230.92617235423566,230.92602134931178
4.0,2025-05-17 17:31:57.697000+00:00,22.22222222222222,0.07549567901234511,0.1569326789817801,0.38839999999999997,0.009163888648402735,0.009135258633246464,-0.7307136956469822,0.7297439464261687,-1.1798720962174076,1.191514557023948,0.5172,230.9261638886484,230.92613525863325
5.0,2025-05-17 17:32:57.697000+00:00,22.22222222222222,0.07549567901234511,0.16427331026598155,0.48549999999999993,0.008439988500270326,0.007884870528412483,-0.7329453693837541,0.7291347915534876,-1.1853492992115082,1.1974638063378675,0.5129,230.92543998850027,230.92488487052842
6.0,2025-05-17 17:33:57.697000+00:00,22.22222222222222,0.07549567901234511,0.171613941550183,0.5826,0.008408929293201828,0.008535429264187593,-0.7283683603888663,0.7297985429216761,-1.1919345039612328,1.2026430045715375,0.51355,230.9254089292932,230.9255354292642
7.0,2025-05-17 17:34:57.697000+00:00,22.22222222222222,0.07549567901234511,0.17895457283438443,0.6797,0.008012701127810407,0.009685739812395896,-0.7305510747171544,0.7292167025574324,-1.1963065015548076,1.2047423392199843,0.5136,230.9250127011278,230.9266857398124
8.0,2025-05-17 17:35:57.697000+00:00,22.22222222222222,0.07549567901234511,0.18629520411858588,0.7767999999999999,0.008028749418273876,0.007884703699333244,-0.7308111447467943,0.7283377539760214,-1.203756506223449,1.1985724719796782,0.51175,230.9250287494183,230.92488470369935
9.0,2025-05-17 17:36:57.697000+00:00,22.22222222222222,0.07549567901234511,0.19363583540278734,0.8738999999999999,0.007744279385423485,0.009083851711951623,-0.7295264369479623,0.7280382501434894,-1.1954717462600017,1.2049024649015678,0.5117,230.92474427938544,230.92608385171195
