wait_minutes,target_time_utc,forecast_ambient_c,delta_ambient_c,expected_delta_track_c,track_uncertainty_sd_c,expected_physical_delta_speed_mph,median_total_delta_speed_mph,q10_delta_speed_mph,q90_delta_speed_mph,q05_delta_speed_mph,q95_delta_speed_mph,p_improve,expected_future_speed_mph,median_future_speed_mph
0.0,2025-05-17 17:37:34.710500+00:00,22.22222222222222,0.0,0.0,0.0,0.0,0.0,-0.7199597912553156,0.7199597912553156,-1.1702080190504822,1.2722536368737916,0.49065,230.704,230.704
1.0,2025-05-17 17:38:34.710500+00:00,22.22222222222222,0.0,0.005906045742371451,0.09709999999999999,-0.00016159610262218014,0.00014379070053504775,-0.721202026577038,0.7245370873302166,-1.174430019386029,1.2697483525387658,0.5022,230.70383840389738,230.70414379070056
2.0,2025-05-17 17:39:34.710500+00:00,22.22222222222222,0.0,0.011812091484742902,0.19419999999999998,-0.0004107554056483541,8.446603467726583e-05,-0.7232330940480439,0.7283664284130545,-1.1786882772399094,1.2660494925027832,0.50105,230.70358924459435,230.7040844660347
3.0,2025-05-17 17:40:34.710500+00:00,22.22222222222222,0.0,0.017718137227114353,0.2913,-0.0007319076017495986,0.00018199168021387185,-0.7249611909852615,0.733189659724345,-1.184971211559164,1.2630771801857155,0.50185,230.70326809239825,230.70418199168023
4.0,2025-05-17 17:41:34.710500+00:00,22.22222222222222,0.0,0.023624182969485805,0.38839999999999997,-0.0007220866978987962,0.0006917965132182283,-0.7273227563081243,0.7339930572346134,-1.184867817621695,1.2613701648510418,0.5023,230.70327791330212,230.70469179651323
5.0,2025-05-17 17:42:34.710500+00:00,22.22222222222222,0.0,0.029530228711857245,0.48549999999999993,-0.0012148337331733725,0.00023776306045926487,-0.725473544615289,0.733998398902817,-1.1888726510590142,1.2594179265912635,0.5017,230.70278516626684,230.70423776306046
6.0,2025-05-17 17:43:34.710500+00:00,22.22222222222222,0.0,0.03543627445422871,0.5826,-0.0008370325141422333,0.0004195133407496604,-0.725549938800225,0.7313316625898277,-1.1995883959752658,1.2538895839361364,0.50165,230.70316296748587,230.70441951334075
7.0,2025-05-17 17:44:34.710500+00:00,22.22222222222222,0.0,0.041342320196600155,0.6797,-0.001138741843470359,0.0010837509959785866,-0.7265170007198826,0.7353783771177148,-1.2003803552416006,1.2528102975858608,0.5024,230.70286125815653,230.70508375099598
8.0,2025-05-17 17:45:34.710500+00:00,22.20079598765432,-0.021426234567901048,0.01104300854760773,0.7767999999999999,-0.004532563911284126,-0.0021244622181688304,-0.731021411702967,0.7336262838301242,-1.2024342668982149,1.2470726779429477,0.4956,230.69946743608872,230.70187553778183
9.0,2025-05-17 17:46:34.710500+00:00,22.163758950617282,-0.05846327160493914,-0.04563493163594853,0.8738999999999999,-0.009406337855645222,-0.006030339179400819,-0.7323575089790831,0.7249053330911864,-1.2120229967890712,1.2454544848219125,0.4918,230.69459366214437,230.6979696608206
10.0,2025-05-17 17:47:34.710500+00:00,22.126721913580248,-0.09550030864197367,-0.1023128718194988,0.9709999999999999,-0.014597407376341982,-0.010068468609034324,-0.7343210839394313,0.7197936424796926,-1.218413992806488,1.2301925610885158,0.48745,230.68940259262368,230.69393153139097
11.0,2025-05-17 17:48:34.710500+00:00,22.08968487654321,-0.13253734567901176,-0.15899081200305504,1.0680999999999998,-0.019279450340885747,-0.015038466347877666,-0.7437484682940554,0.7185660129225779,-1.2231265209586972,1.2319698015096425,0.4848,230.68472054965912,230.68896153365213
12.0,2025-05-17 17:49:34.710500+00:00,22.05264783950617,-0.16957438271604985,-0.2156687521866113,1.1652,-0.02507337751817575,-0.018489891449115302,-0.7511589318270919,0.7103403015127753,-1.2358585197219567,1.2296782923183247,0.4815,230.67892662248184,230.6855101085509
13.0,2025-05-17 17:50:34.710500+00:00,22.015610802469137,-0.2066114197530844,-0.2723466923701615,1.2623,-0.031015256336486486,-0.026722411690404742,-0.7529763298686802,0.7059679392326523,-1.2375285942529304,1.2154361743979385,0.47465,230.67298474366353,230.6772775883096
14.0,2025-05-17 17:51:34.710500+00:00,21.9785737654321,-0.24364845679012248,-0.32902463255371783,1.3594,-0.03524054622338946,-0.029398961225520805,-0.7596062173046243,0.6998549534734702,-1.2393268454570456,1.2109258669899459,0.47215,230.66875945377663,230.67460103877448
15.0,2025-05-17 17:52:34.710500+00:00,21.94153672839506,-0.28068549382716057,-0.38570257273727404,1.4565,-0.040120465992163304,-0.03336975444061824,-0.7648285342149831,0.7014476722913782,-1.2443176905837074,1.2119907971072978,0.46855,230.66387953400783,230.67063024555938
16.0,2025-05-17 17:53:34.710500+00:00,21.904499691358026,-0.3177225308641951,-0.4423805129208243,1.4894399999999999,-0.04503659168164287,-0.039227159203643495,-0.7700986639720968,0.6967812296032574,-1.2563371552092055,1.2143693650639604,0.46385,230.65896340831836,230.66477284079636
17.0,2025-05-17 17:54:34.710500+00:00,21.86746265432099,-0.3547595679012332,-0.4990584531043806,1.5223799999999998,-0.05060310951890172,-0.04768571950573698,-0.7720092584549498,0.6935066998220921,-1.2588984744469054,1.206209516803365,0.45865,230.6533968904811,230.65631428049426
18.0,2025-05-17 17:55:34.710500+00:00,21.83042561728395,-0.3917966049382713,-0.5557363932879368,1.5553199999999998,-0.05620453569365789,-0.04860875720737959,-0.7797806608449211,0.6851505679747877,-1.2635616920111683,1.190256858064425,0.45515,230.64779546430634,230.65539124279263
